Fecha,VariedadPapa,PMax,PMin,PProm,Volumen
ENE-2015,Papa Amarilla,3.0,1.1,1.72,1968.0
FEB-2015,Papa Amarilla,1.7,1.4,1.52,1290.0
MAR-2015,Papa Amarilla,2.2,1.4,1.64,1629.0
ABR-2015,Papa Amarilla,1.4,0.9,1.16,1286.0
MAY-2015,Papa Amarilla,1.6,1.0,1.23,1210.0
JUN-2015,Papa Amarilla,1.45,1.1,1.33,1409.0
JUL-2015,Papa Amarilla,2.2,1.3,1.59,1679.0
AGO-2015,Papa Amarilla,3.0,1.7,2.18,1313.0
SEP-2015,Papa Amarilla,3.5,2.6,3.02,824.0
OCT-2015,Papa Amarilla,3.4,2.7,2.93,1207.0
NOV-2015,Papa Amarilla,3.3,1.7,2.51,1658.0
DIC-2015,Papa Amarilla,2.9,1.9,2.19,3469.0
ENE-2016,Papa Amarilla,3.0,2.2,2.73,1145.0
FEB-2016,Papa Amarilla,2.1,1.3,1.84,3440.0
MAR-2016,Papa Amarilla,2.1,1.3,1.59,3292.0
ABR-2016,Papa Amarilla,1.9,1.4,1.62,2484.0
MAY-2016,Papa Amarilla,1.7,1.4,1.58,2121.0
JUN-2016,Papa Amarilla,1.9,1.3,1.56,2315.0
JUL-2016,Papa Amarilla,3.2,1.9,2.33,2550.0
AGO-2016,Papa Amarilla,3.8,2.7,3.32,2060.0
SEP-2016,Papa Amarilla,3.3,2.9,3.1,2514.0
OCT-2016,Papa Amarilla,3.1,2.2,2.66,2802.0
NOV-2016,Papa Amarilla,3.0,1.9,2.45,3705.0
DIC-2016,Papa Amarilla,2.6,1.7,2.18,3563.0
ENE-2017,Papa Amarilla,2.3,1.6,1.95,2789.0
FEB-2017,Papa Amarilla,2.6,1.6,2.06,1912.0
MAR-2017,Papa Amarilla,3.0,1.2,2.08,2426.0
ABR-2017,Papa Amarilla,2.0,1.2,1.61,2802.0
MAY-2017,Papa Amarilla,1.6,1.1,1.43,2641.0
JUN-2017,Papa Amarilla,1.6,1.2,1.34,2842.0
JUL-2017,Papa Amarilla,1.6,1.2,1.38,2813.0
AGO-2017,Papa Amarilla,1.7,1.2,1.43,3267.0
SEP-2017,Papa Amarilla,1.6,1.2,1.44,3271.0
OCT-2017,Papa Amarilla,1.3,0.8,1.05,4092.0
NOV-2017,Papa Amarilla,1.3,0.9,1.09,4369.0
DIC-2017,Papa Amarilla,1.8,0.9,1.27,4356.0
ENE-2018,Papa Amarilla,2.8,1.2,1.64,3808.0
FEB-2018,Papa Amarilla,2.9,0.9,1.66,3116.0
