Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,3.0,2.15,2.5,2.35,2.2,2.0,2.4,2.0,2.6,2.2,2.3
FEB-2015,1.7,1.3,1.6,1.53,1.3,1.3,1.4,1.4,1.5,1.5,1.3
MAR-2015,2.2,1.45,1.4,1.33,1.5,1.5,1.4,1.4,1.5,1.4,1.5
ABR-2015,1.4,1.1,1.1,1.08,1.2,1.2,1.3,1.1,1.2,1.15,1.2
MAY-2015,1.6,0.78,0.9,0.85,1.1,1.1,0.95,0.8,1.0,0.9,0.85
JUN-2015,1.45,0.7,0.9,0.88,1.05,0.95,0.9,0.7,0.9,0.9,0.75
JUL-2015,2.2,0.8,1.1,1.03,1.2,1.0,1.1,1.0,1.0,1.05,0.78
AGO-2015,3.0,0.82,1.1,1.05,1.25,1.0,1.1,1.0,1.4,1.0,0.85
SEP-2015,3.5,1.0,1.1,1.0,2.0,1.4,1.4,0.95,2.1,1.0,1.15
OCT-2015,3.4,1.4,1.45,1.3,2.3,1.7,1.5,1.3,2.9,1.2,1.5
NOV-2015,3.3,2.0,1.75,1.68,3.0,3.0,2.1,1.75,3.3,1.6,2.0
DIC-2015,2.9,2.25,2.3,2.2,2.5,2.5,2.5,2.1,2.7,2.2,2.5
ENE-2016,3.0,2.15,2.5,2.35,2.2,2.0,2.4,2.1,2.6,2.3,2.3
FEB-2016,2.1,1.75,1.9,1.9,1.6,1.5,1.7,1.8,2.0,2.0,1.75
MAR-2016,2.1,1.35,1.4,1.38,1.4,1.35,1.2,1.4,1.9,1.35,1.4
ABR-2016,1.9,0.85,1.0,0.98,1.2,1.1,0.95,1.0,1.6,1.0,0.8
MAY-2016,1.7,0.84,1.0,1.03,1.2,1.2,0.9,0.85,1.3,1.05,0.8
JUN-2016,1.9,1.1,1.25,1.3,1.4,1.3,1.1,1.4,1.5,1.4,0.8
JUL-2016,3.2,1.35,1.8,1.7,1.8,1.6,1.4,1.6,2.1,1.7,1.2
AGO-2016,3.8,1.35,1.6,1.53,2.2,1.5,1.7,1.45,2.9,1.45,1.6
SEP-2016,3.3,2.45,2.0,1.98,3.0,2.3,2.3,2.15,3.1,1.95,2.5
OCT-2016,3.1,1.98,1.55,1.55,2.7,2.4,2.2,1.85,3.3,1.55,2.2
NOV-2016,3.0,1.6,1.8,1.7,2.7,3.0,1.8,1.65,3.1,1.65,1.8
DIC-2016,2.6,1.7,1.85,1.9,2.3,2.6,1.8,1.85,2.7,2.0,1.7
ENE-2017,2.3,1.25,1.4,1.63,1.9,1.5,1.4,1.5,2.3,1.85,1.1
FEB-2017,2.6,1.1,1.1,1.25,1.5,1.5,0.9,1.3,2.1,1.5,0.9
MAR-2017,3.0,1.1,1.2,1.15,1.8,1.7,1.1,1.2,2.5,1.2,1.0
ABR-2017,2.0,0.71,1.0,1.0,1.4,1.6,0.85,0.82,1.7,1.0,0.7
MAY-2017,1.6,0.8,0.95,0.93,1.4,1.4,0.9,0.9,1.5,0.9,0.7
JUN-2017,1.6,0.8,1.0,1.0,1.4,1.3,0.85,0.9,1.3,1.0,0.75
JUL-2017,1.6,0.8,1.0,0.95,1.5,1.5,0.85,1.0,1.4,0.95,0.75
AGO-2017,1.7,0.73,0.9,0.9,1.4,1.4,0.8,0.75,1.2,0.9,0.75
SEP-2017,1.6,0.63,0.8,0.73,1.4,1.3,0.9,0.55,1.3,0.7,0.75
OCT-2017,1.3,0.6,0.8,0.78,1.5,1.2,0.85,0.55,1.3,0.75,0.65
NOV-2017,1.3,0.63,0.85,0.68,1.2,1.2,0.8,0.6,1.2,0.55,0.65
DIC-2017,1.8,0.55,0.7,0.6,1.2,1.4,0.7,0.6,1.6,0.6,0.5
ENE-2018,2.8,0.55,0.65,0.51,1.8,1.8,1.0,0.5,2.0,0.45,0.65
FEB-2018,2.9,0.7,0.8,0.75,1.6,2.4,0.85,0.7,2.3,0.75,0.8
MAR-2018,2.2,0.8,0.85,0.8,1.2,1.4,0.85,0.85,1.3,0.8,0.8
ABR-2018,1.4,0.83,0.9,0.85,1.1,1.3,0.85,0.85,1.2,0.9,0.9
MAY-2018,1.4,0.88,0.9,0.9,1.1,1.1,0.95,0.95,1.0,0.9,0.85
JUN-2018,2.0,0.78,0.95,0.9,1.3,1.2,0.95,0.8,1.5,0.9,0.9
JUL-2018,2.8,0.9,1.05,0.98,1.3,1.4,1.05,1.0,1.5,1.0,0.9
AGO-2018,2.8,1.15,1.2,1.08,1.4,1.4,1.4,1.0,1.6,1.0,1.2
SEP-2018,3.3,1.3,1.2,1.1,1.7,1.6,1.8,1.1,2.2,1.05,1.4
OCT-2018,2.8,1.3,1.05,1.02,1.8,1.6,2.0,1.05,2.7,1.0,1.3
NOV-2018,2.9,0.9,1.1,0.95,2.0,2.2,1.2,1.0,2.6,0.8,1.0
DIC-2018,3.7,1.08,1.1,0.98,2.7,2.4,1.4,0.95,3.1,0.93,1.3
ENE-2019,3.2,1.5,1.3,1.35,2.4,2.4,1.5,1.3,3.0,1.4,1.5
FEB-2019,2.3,1.48,1.7,1.75,1.7,1.4,1.4,1.8,2.2,1.9,1.25
MAR-2019,2.6,1.65,1.7,1.7,1.7,1.65,1.7,1.7,2.6,1.7,1.7
ABR-2019,2.8,1.5,1.65,1.63,1.6,1.6,1.7,1.6,2.5,1.6,1.5
MAY-2019,2.2,1.2,1.3,1.2,1.7,1.6,1.3,1.2,1.8,1.2,1.2
