Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1968.0,32700.0,876.0,5572.0,0.0,81.0,72.0,165.0,22.0,579.0,1666.0
FEB-2015,1290.0,33062.0,282.0,6823.0,0.0,53.0,24.0,29.0,11.0,49.0,195.0
MAR-2015,1629.0,36114.0,1055.0,7463.0,0.0,287.0,21.0,155.0,86.0,107.0,1320.0
ABR-2015,1286.0,34342.0,1435.0,6999.0,0.0,329.0,56.0,315.0,238.0,248.0,1121.0
MAY-2015,1210.0,34938.0,1456.0,4803.0,0.0,215.0,21.0,293.0,157.0,442.0,1714.0
JUN-2015,1409.0,32901.0,1478.0,4642.0,0.0,252.0,0.0,171.0,241.0,400.0,1805.0
JUL-2015,1679.0,39694.0,1405.0,1261.0,0.0,174.0,14.0,352.0,112.0,279.0,1283.0
AGO-2015,1313.0,35977.0,990.0,4172.0,2.0,288.0,32.0,101.0,104.0,540.0,1459.0
SEP-2015,824.0,34087.0,1202.0,4581.0,0.0,274.0,0.0,186.0,94.0,432.0,1368.0
OCT-2015,1207.0,33281.0,1211.0,4962.0,0.0,332.0,0.0,234.0,48.0,639.0,1526.0
NOV-2015,1658.0,27958.0,1381.0,4569.0,0.0,48.0,6.0,157.0,2.0,1018.0,1541.0
DIC-2015,3469.0,25035.0,1985.0,5575.0,37.0,627.0,64.0,496.0,189.0,1965.0,2999.0
ENE-2016,1145.0,8820.0,904.0,1885.0,0.0,104.0,13.0,180.0,97.0,241.0,1039.0
FEB-2016,3440.0,23816.0,4359.0,4867.0,0.0,1125.0,152.0,451.0,240.0,262.0,5382.0
MAR-2016,3292.0,27021.0,5873.0,4536.0,0.0,2046.0,69.0,461.0,356.0,247.0,6193.0
ABR-2016,2484.0,21576.0,6493.0,5511.0,10.0,1500.0,155.0,363.0,626.0,958.0,6736.0
MAY-2016,2121.0,18230.0,8008.0,4968.0,0.0,1383.0,21.0,425.0,660.0,1018.0,6900.0
JUN-2016,2315.0,21908.0,5997.0,4807.0,0.0,1070.0,37.0,174.0,358.0,658.0,6163.0
JUL-2016,2550.0,26632.0,3555.0,1969.0,0.0,969.0,9.0,323.0,661.0,1748.0,6593.0
AGO-2016,2060.0,18586.0,5250.0,6331.0,0.0,855.0,16.0,351.0,575.0,4097.0,4521.0
SEP-2016,2514.0,18900.0,8480.0,4028.0,13.0,1129.0,0.0,285.0,381.0,3819.0,3316.0
OCT-2016,2802.0,18907.0,7463.0,4077.0,17.0,582.0,41.0,354.0,208.0,3763.0,6069.0
NOV-2016,3705.0,17136.0,6841.0,2904.0,12.0,204.0,33.0,247.0,133.0,3609.0,6982.0
DIC-2016,3563.0,23055.0,7938.0,4022.0,34.0,897.0,16.0,452.0,247.0,2226.0,7496.0
ENE-2017,2789.0,27126.0,7053.0,4611.0,22.0,539.0,30.0,264.0,84.0,613.0,6546.0
FEB-2017,1912.0,27026.0,6990.0,3659.0,20.0,843.0,32.0,233.0,41.0,521.0,6887.0
MAR-2017,2426.0,29114.0,7011.0,4713.0,12.0,1041.0,66.0,105.0,183.0,769.0,6738.0
ABR-2017,2802.0,24047.0,7663.0,5713.0,0.0,999.0,47.0,126.0,463.0,1063.0,7203.0
MAY-2017,2641.0,17759.0,8767.0,4865.0,0.0,1247.0,99.0,202.0,615.0,1679.0,10809.0
JUN-2017,2842.0,20801.0,6090.0,4474.0,16.0,982.0,73.0,172.0,420.0,1788.0,9858.0
JUL-2017,2813.0,27215.0,6137.0,1885.0,81.0,1056.0,46.0,282.0,658.0,2255.0,7376.0
AGO-2017,3267.0,21038.0,6680.0,5588.0,14.0,1195.0,88.0,424.0,626.0,3100.0,9764.0
SEP-2017,3271.0,22319.0,6816.0,3639.0,11.0,978.0,29.0,536.0,638.0,2902.0,9647.0
OCT-2017,4092.0,22004.0,7448.0,4365.0,0.0,853.0,19.0,223.0,317.0,2104.0,9294.0
NOV-2017,4369.0,22401.0,6069.0,4603.0,9.0,653.0,93.0,127.0,278.0,3189.0,8904.0
DIC-2017,4356.0,23065.0,5572.0,7385.0,16.0,657.0,56.0,175.0,296.0,2973.0,8919.0
ENE-2018,3808.0,27974.0,4348.0,5543.0,3.0,405.0,24.0,92.0,169.0,2888.0,4825.0
FEB-2018,3116.0,25572.0,4959.0,4394.0,0.0,459.0,0.0,217.0,223.0,2357.0,4697.0
MAR-2018,3754.0,30204.0,6620.0,5588.0,35.0,968.0,61.0,160.0,404.0,1042.0,5851.0
ABR-2018,2687.0,28658.0,8645.0,4142.0,1.0,851.0,37.0,126.0,546.0,1106.0,5147.0
MAY-2018,3025.0,28675.0,7666.0,5031.0,0.0,1130.0,18.0,198.0,571.0,1192.0,5736.0
JUN-2018,1740.0,28996.0,6715.0,4286.0,0.0,1090.0,22.0,66.0,540.0,1314.0,5818.0
JUL-2018,1830.0,29600.0,4716.0,5296.0,0.0,601.0,45.0,75.0,558.0,2756.0,4084.0
AGO-2018,2215.0,26636.0,4615.0,6831.0,17.0,611.0,22.0,202.0,503.0,4164.0,4951.0
SEP-2018,2114.0,28439.0,4170.0,7628.0,20.0,597.0,11.0,155.0,310.0,2632.0,3023.0
OCT-2018,2035.0,30123.0,3827.0,5533.0,3.0,636.0,0.0,62.0,108.0,3487.0,5889.0
NOV-2018,2739.0,29188.0,2702.0,4953.0,0.0,336.0,0.0,134.0,180.0,4240.0,7590.0
DIC-2018,3180.0,31785.0,2526.0,3942.0,0.0,433.0,8.0,162.0,141.0,5547.0,6223.0
ENE-2019,4582.0,25453.0,1957.0,7102.0,0.0,429.0,0.0,99.0,91.0,3050.0,5730.0
FEB-2019,2742.0,24535.0,2543.0,8569.0,0.0,599.0,24.0,178.0,196.0,1160.0,7668.0
MAR-2019,2585.0,31400.0,1825.0,9257.0,0.0,574.0,18.0,159.0,23.0,863.0,5431.0
ABR-2019,2580.0,31535.0,3738.0,8355.0,0.0,692.0,0.0,40.0,329.0,1280.0,4970.0
