NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
,,,
TACNA,TACNA,TACNA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,PALCA,Semiseco con invierno seco. Semifrsgido.
TACNA,TARATA,TARATA,Semiseco con invierno seco. Semifrsgido.
PUNO,CHUCUITO,PISACOMA,Semiseco con oto o e invierno secos. Frso.
PUNO,YUNGUYO,YUNGUYO,Lluvioso con oto
PUNO,YUNGUYO,OLLARAYA,Semiseco con oto o e invierno secos. Frso.
PUNO,MOHO,TILALI,Lluvioso con oto
PUNO,HUANCANE,COJATA,Lluvioso con oto
PUNO,MOHO,MOHO,Lluvioso con oto
PUNO,MOHO,HUAYRAPATA,Lluvioso con oto
LIMA,LIMA,SANTA MARIA DEL MAR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,Lluvioso con humedad abundante todas las estaciones del a
MADRE DE DIOS,TAHUAMANU,TAHUAMANU,Lluvioso con humedad abundante todas las estaciones del a
MADRE DE DIOS,TAHUAMANU,IÑAPARI,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,TRUJILLO,HUANCHACO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,TRUJILLO,SIMBAL,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,OTUZCO,SINSICAP,Semiseco con invierno seco. Templado.
LA LIBERTAD,ASCOPE,CHICAMA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,GRAN CHIMU,MARMOT,Semi)rido con invierno seco. Templado.
LA LIBERTAD,GRAN CHIMU,CASCAS,Semi)rido con invierno seco. Templado.
CAJAMARCA,CONTUMAZA,SAN BENITO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,MORO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,NUEVO CHIMBOTE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,NEPEÑA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,HUAYLAS,PAMPAROMAS,Lluvioso con oto
ANCASH,CORONGO,BAMBAS,Semiseco con invierno seco. Templado.
ICA,NASCA,NASCA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,HUARAZ,HUANCHAY,Lluvioso con oto
ANCASH,BOLOGNESI,CHIQUIAN,Lluvioso con oto
LA LIBERTAD,BOLIVAR,BOLIVAR,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN MARCOS,JOSE SABOGAL,Lluvioso con oto
