Departamento,Provincia,Distrito,Promedio_Ponderado
CAJAMARCA,CONTUMAZA,GUZMANGO,68.171875
CAJAMARCA,SAN PABLO,SAN LUIS,29.26890756302521
LAMBAYEQUE,CHICLAYO,LAGUNAS,0.0
LAMBAYEQUE,CHICLAYO,MONSEFU,0.0
LAMBAYEQUE,CHICLAYO,CAYALTI,2.238805970149253
LIMA,BARRANCA,BARRANCA,68.37092731829574
LIMA,HUAURA,HUAURA,34.48362720403023
LIMA,OYON,COCHAMARCA,67.55352628592065
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,59.52435064935065
ANCASH,HUAYLAS,PAMPAROMAS,48.52053140096618
ANCASH,BOLOGNESI,CAJACAY,91.08962264150944
ANCASH,BOLOGNESI,CANIS,77.08928571428572
ANCASH,BOLOGNESI,TICLLOS,90.32591324200914
ANCASH,SANTA,NUEVO CHIMBOTE,13.621394669587442
AREQUIPA,CONDESUYOS,YANAQUIHUA,47.61386076740407
AREQUIPA,CASTILLA,MACHAGUAY,32.2460654813596
AREQUIPA,CASTILLA,ORCOPAMPA,91.38945439739413
AREQUIPA,CASTILLA,PAMPACOLCA,76.21842121842121
AREQUIPA,CASTILLA,URACA,47.79095603191989
AREQUIPA,CAYLLOMA,LLUTA,64.2397114767057
AREQUIPA,CAYLLOMA,MACA,88.03960396039605
AREQUIPA,CAYLLOMA,MADRIGAL,60.74814814814815
AREQUIPA,ISLAY,PUNTA DE BOMBON,50.86292834890966
AREQUIPA,LA UNION,QUECHUALLA,66.26708876708878
AREQUIPA,LA UNION,TORO,69.9998546427118
AREQUIPA,AREQUIPA,VITOR,64.15554329840043
AREQUIPA,CAMANA,CAMANA,36.36363636363637
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,22.943986105080327
AREQUIPA,AREQUIPA,CAYMA,77.9384275518296
AREQUIPA,AREQUIPA,POCSI,66.53999425232303
AREQUIPA,CARAVELI,BELLA UNION,10.464324520101414
AREQUIPA,AREQUIPA,AREQUIPA,87.5
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,55.55555555555556
AREQUIPA,AREQUIPA,MIRAFLORES,4.761904761904762
AREQUIPA,AREQUIPA,SACHACA,95.41666666666666
AREQUIPA,AREQUIPA,MARIANO MELGAR,10.572390572390573
AYACUCHO,LA MAR,ANCHIHUAY,71.8671218487395
AYACUCHO,HUANTA,PUCACOLPA,86.10578348986654
HUANCAVELICA,TAYACAJA,ANDAYMARCA,92.09351280834915
APURIMAC,ABANCAY,CURAHUASI,82.40045879075865
APURIMAC,CHINCHEROS,OCOBAMBA,85.19681106138108
APURIMAC,ANDAHUAYLAS,PACOBAMBA,85.8985429033999
PIURA,MORROPON,CHALACO,49.22518159806296
PIURA,PAITA,COLAN,0.0
PIURA,PAITA,TAMARINDO,0.0
PIURA,AYABACA,PAIMAS,0.0
PIURA,AYABACA,MONTERO,7.4230769230769225
PIURA,TALARA,LA BREA,0.0
PIURA,SULLANA,LANCONES,0.0
PIURA,TALARA,LOS ORGANOS,0.0
PIURA,SULLANA,BELLAVISTA,0.0
TACNA,TACNA,LA YARADA LOS PALOS,14.905535299966854
APURIMAC,CHINCHEROS,EL PORVENIR,75.99476809954751
APURIMAC,CHINCHEROS,ROCCHACC,92.98113810741688
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,71.25750454821103
HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,3.934165129466421
CAJAMARCA,CUTERVO,LA RAMADA,62.25694444444445
MADRE DE DIOS,TAHUAMANU,IÑAPARI,0.0
APURIMAC,CHINCHEROS,LOS CHANKAS,87.63429752066116
PUNO,SAN ROMAN,SAN MIGUEL,85.26442307692308
AREQUIPA,ISLAY,MOLLENDO,97.93121019108281
AREQUIPA,ISLAY,COCACHACRA,67.81327845770605
AREQUIPA,AREQUIPA,CHARACATO,71.38812785388127
PUNO,EL COLLAO,SANTA ROSA,0.4443895476504172
PUNO,CHUCUITO,HUACULLANI,94.46658878504672
PUNO,EL COLLAO,CONDURIRI,3.1330060776063577
PUNO,CHUCUITO,ZEPITA,80.9706546275395
PUNO,PUNO,CHUCUITO,84.64666666666666
PUNO,LAMPA,CALAPUJA,90.56306306306305
PUNO,AZANGARO,ACHAYA,68.92201834862385
PUNO,AZANGARO,CAMINACA,91.9921875
PUNO,MELGAR,SANTA ROSA,98.18735206452178
PUNO,PUNO,MAÑAZO,70.65721899224806
PUNO,LAMPA,SANTA LUCIA,22.481301421092
PUNO,PUNO,HUATA,60.83180428134556
PUNO,LAMPA,PARATIA,2.9828199052132702
PUNO,HUANCANE,PUSI,74.96323529411765
PUNO,HUANCANE,VILQUE CHICO,86.27761627906978
PUNO,AZANGARO,CHUPA,96.38695355191257
PUNO,AZANGARO,SANTIAGO DE PUPUJA,94.67830882352942
PUNO,LAMPA,PUCARA,87.86079545454545
PUNO,AZANGARO,SAN JUAN DE SALINAS,96.61557539682539
PUNO,MELGAR,UMACHIRI,88.1469275210084
PUNO,MELGAR,CUPI,73.59199438202248
PUNO,AZANGARO,POTONI,98.76676245210729
PUNO,MELGAR,ANTAUTA,97.45754312654023
PUNO,CARABAYA,CRUCERO,69.35841480446928
PUNO,CARABAYA,USICAYOS,97.36288848263254
AREQUIPA,CAYLLOMA,TAPAY,81.30074021012416
ANCASH,PALLASCA,PALLASCA,71.16071428571429
ANCASH,PALLASCA,TAUCA,58.01957831325301
ANCASH,POMABAMBA,POMABAMBA,94.39964157706093
HUANUCO,HUAMALIES,JIRCAN,91.15967452971037
HUANUCO,MARAÑON,HUACRACHUCO,88.2224870017331
HUANUCO,MARAÑON,SAN BUENAVENTURA,93.38333333333333
JUNIN,TARMA,HUASAHUASI,88.77349049260536
JUNIN,CHANCHAMAYO,CHANCHAMAYO,3.543709150326797
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,94.16872427983539
ANCASH,ASUNCION,CHACAS,94.54122340425532
ANCASH,ASUNCION,ACOCHACA,92.7116935483871
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,95.44375
ANCASH,OCROS,SANTIAGO DE CHILCAS,80.40066512434933
ANCASH,RECUAY,LLACLLIN,54.5
ANCASH,RECUAY,PAMPAS CHICO,96.19670542635657
ANCASH,YUNGAY,MATACOTO,62.62291666666667
ANCASH,YUNGAY,QUILLO,60.08539603960395
ANCASH,YUNGAY,RANRAHIRCA,83.69078947368422
ANCASH,YUNGAY,SHUPLUY,76.18033459078235
ANCASH,HUAYLAS,HUALLANCA,31.90159082500925
ANCASH,HUAYLAS,HUATA,69.76973684210526
ANCASH,HUAYLAS,MATO,60.70740365111563
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,87.58421985815602
ANCASH,HUAYLAS,SANTA CRUZ,84.22882252215955
ANCASH,HUAYLAS,SANTO TORIBIO,51.59768907563026
ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,88.08531746031746
ANCASH,MARISCAL LUZURIAGA,LLUMPA,83.625
ANCASH,MARISCAL LUZURIAGA,LUCMA,89.033203125
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,92.67427884615384
ANCASH,CARHUAZ,SHILLA,95.70152243589746
ANCASH,CARHUAZ,TINCO,83.71212121212122
ANCASH,CARHUAZ,YUNGAR,91.60955598455598
ANCASH,HUARI,ANRA,93.78793532338308
ANCASH,OCROS,OCROS,83.06303669008587
ANCASH,OCROS,ACAS,49.113977809629986
ANCASH,PALLASCA,CONCHUCOS,90.91123949579833
ANCASH,PALLASCA,HUANDOVAL,93.19972826086956
ANCASH,PALLASCA,LLAPO,90.5400641025641
ANCASH,SANTA,SANTA,0.0
ANCASH,SIHUAS,ACOBAMBA,69.0625
ANCASH,SIHUAS,HUAYLLABAMBA,83.21391552215599
ANCASH,SIHUAS,RAGASH,97.65980113636363
ANCASH,SIHUAS,SAN JUAN,92.13299418604652
ANCASH,SIHUAS,SICSIBAMBA,84.32898009950249
LIMA,HUAURA,AMBAR,45.784641784641785
LIMA,CAJATAMBO,GORGOR,91.17712014134277
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,0.0
