Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1.1,0.8,1.1,1.05,0.7,1.0,0.9,0.8,1.1,1.0,0.7
FEB-2015,1.4,1.03,1.3,1.25,0.9,0.9,1.0,1.1,1.1,1.2,0.85
MAR-2015,1.4,0.98,1.0,1.0,0.9,0.9,0.95,0.9,1.1,0.9,0.95
ABR-2015,0.9,0.6,0.7,0.65,0.95,0.65,0.7,0.55,0.8,0.55,0.6
MAY-2015,1.0,0.55,0.65,0.65,0.85,0.75,0.7,0.5,0.7,0.6,0.6
JUN-2015,1.1,0.53,0.7,0.69,0.8,0.7,0.7,0.5,0.75,0.65,0.55
JUL-2015,1.3,0.6,0.8,0.8,1.0,0.75,0.7,0.6,0.8,0.75,0.5
AGO-2015,1.7,0.63,0.8,0.75,1.0,0.72,0.8,0.65,0.85,0.65,0.5
SEP-2015,2.6,0.73,0.75,0.75,1.0,0.8,0.9,0.7,1.25,0.7,0.75
OCT-2015,2.7,0.95,1.0,0.95,1.5,1.3,1.2,0.85,2.0,0.85,1.0
NOV-2015,1.7,1.23,1.3,1.18,1.5,1.5,1.4,1.05,1.6,1.05,1.4
DIC-2015,1.9,1.55,1.5,1.48,1.3,1.6,1.6,1.3,1.9,1.4,1.7
ENE-2016,2.2,1.91,2.03,2.04,1.88,1.6,2.0,1.9,1.8,2.03,1.93
FEB-2016,1.3,0.95,1.1,1.13,1.1,1.1,0.9,1.0,1.2,1.1,0.9
MAR-2016,1.3,0.65,0.75,0.73,0.95,0.7,0.75,0.7,1.25,0.65,0.5
ABR-2016,1.4,0.6,0.65,0.65,0.9,0.55,0.6,0.6,1.1,0.65,0.55
MAY-2016,1.4,0.6,0.65,0.65,0.9,0.9,0.68,0.6,1.0,0.6,0.6
JUN-2016,1.3,0.6,0.75,0.85,0.9,0.7,0.8,0.6,1.0,0.95,0.5
JUL-2016,1.9,0.98,1.15,1.15,1.45,1.2,1.0,1.1,1.5,1.3,0.7
AGO-2016,2.7,0.98,1.1,1.05,1.6,1.3,1.0,0.85,2.0,0.9,1.0
SEP-2016,2.9,1.33,1.1,1.08,2.4,1.4,1.55,1.0,2.6,1.0,1.6
OCT-2016,2.2,1.25,1.2,1.18,1.7,1.9,1.6,1.1,2.5,1.1,1.4
NOV-2016,1.9,1.1,1.2,1.2,1.6,2.3,1.3,1.0,2.0,1.1,1.2
DIC-2016,1.7,0.9,1.3,1.5,1.4,0.9,1.3,1.1,1.6,1.5,0.9
ENE-2017,1.6,0.7,0.9,1.1,1.0,0.9,0.7,0.85,1.2,1.2,0.55
FEB-2017,1.6,0.8,0.85,0.93,1.1,0.9,0.65,1.0,1.25,0.9,0.5
MAR-2017,1.2,0.5,0.6,0.6,1.0,1.0,0.6,0.55,1.5,0.5,0.4
ABR-2017,1.2,0.5,0.6,0.6,1.0,1.15,0.6,0.5,1.3,0.55,0.4
MAY-2017,1.1,0.58,0.7,0.68,1.0,1.2,0.6,0.6,0.9,0.65,0.55
JUN-2017,1.2,0.5,0.7,0.75,1.0,1.0,0.65,0.5,1.0,0.7,0.5
JUL-2017,1.2,0.55,0.6,0.6,1.2,1.1,0.65,0.5,0.8,0.6,0.55
AGO-2017,1.2,0.53,0.6,0.6,1.1,1.2,0.55,0.45,0.9,0.6,0.55
SEP-2017,1.2,0.48,0.6,0.58,1.2,0.85,0.55,0.35,0.85,0.5,0.55
OCT-2017,0.8,0.4,0.5,0.45,0.8,0.9,0.65,0.38,0.8,0.4,0.4
NOV-2017,0.9,0.4,0.5,0.45,0.8,0.9,0.6,0.4,0.9,0.3,0.4
DIC-2017,0.9,0.28,0.5,0.38,0.8,0.9,0.5,0.2,0.9,0.2,0.3
ENE-2018,1.2,0.28,0.4,0.33,1.0,1.2,0.5,0.2,1.1,0.2,0.3
FEB-2018,0.9,0.4,0.5,0.45,0.9,0.9,0.55,0.35,0.9,0.3,0.4
MAR-2018,1.1,0.6,0.65,0.63,0.65,0.9,0.6,0.5,1.0,0.55,0.6
ABR-2018,1.0,0.63,0.68,0.64,0.85,0.85,0.65,0.5,0.8,0.55,0.65
MAY-2018,1.0,0.65,0.7,0.67,0.85,0.9,0.7,0.55,0.8,0.6,0.65
JUN-2018,1.4,0.63,0.75,0.75,0.9,0.8,0.7,0.5,0.9,0.7,0.65
JUL-2018,1.6,0.65,0.65,0.7,0.9,0.8,0.8,0.55,0.9,0.7,0.65
AGO-2018,1.9,0.75,0.85,0.84,1.0,1.0,0.85,0.7,1.1,0.75,0.75
SEP-2018,2.0,0.85,0.8,0.8,1.1,1.0,0.9,0.7,1.4,0.75,1.0
OCT-2018,2.0,0.75,0.7,0.68,1.3,1.0,1.0,0.7,2.0,0.6,0.75
NOV-2018,2.0,0.6,0.65,0.63,1.4,1.3,0.8,0.7,1.7,0.55,0.6
DIC-2018,2.5,0.7,0.7,0.65,1.5,1.6,0.9,0.6,2.2,0.55,0.7
ENE-2019,2.1,0.98,0.8,0.75,1.5,1.2,1.2,0.95,1.8,0.7,1.0
FEB-2019,1.6,0.95,1.2,1.25,1.2,0.9,1.2,1.1,1.3,1.2,0.9
MAR-2019,1.8,1.0,1.2,1.15,1.2,1.0,1.2,1.1,1.3,1.1,0.95
ABR-2019,1.2,0.9,1.0,0.98,1.2,1.0,0.95,0.8,1.2,0.8,0.8
MAY-2019,1.4,0.8,0.9,0.88,1.2,1.0,0.9,0.7,1.1,0.8,0.9
JUN-2019,1.3,0.83,1.0,0.98,1.3,0.9,1.0,0.75,1.2,0.95,0.8
JUL-2019,1.6,0.9,1.4,1.15,1.4,1.2,1.2,1.0,1.3,0.9,0.9
AGO-2019,1.6,0.98,1.3,1.2,1.2,1.3,1.2,1.0,1.3,1.0,0.9
SEP-2019,2.0,1.15,1.3,1.3,1.3,1.4,1.4,1.1,1.3,1.3,1.2
OCT-2019,2.1,1.3,1.2,1.05,1.2,1.8,1.4,1.3,2.0,0.9,1.3
NOV-2019,2.3,1.25,1.15,1.08,1.8,2.2,1.5,1.0,2.2,0.9,1.4
DIC-2019,2.2,0.8,0.9,0.9,1.5,1.6,1.2,0.7,2.1,0.8,0.9
ENE-2020,1.4,0.55,0.7,0.7,0.7,0.9,0.7,0.5,1.2,0.7,0.55
FEB-2020,1.2,0.5,0.65,0.7,0.8,0.9,0.5,0.5,0.9,0.7,0.5
MAR-2020,1.0,0.4,0.5,0.48,0.7,0.8,0.5,0.6,0.9,0.3,0.4
ABR-2020,0.9,0.4,0.5,0.45,0.7,0.8,0.5,0.65,0.8,0.4,0.4
MAY-2020,1.0,0.4,0.45,0.43,0.6,0.6,0.45,0.4,0.7,0.3,0.4
JUN-2020,1.0,0.35,0.5,0.5,0.7,0.85,0.5,,0.9,0.45,0.35
JUL-2020,1.4,0.4,0.5,0.45,0.9,1.0,0.5,,1.1,0.4,0.4
AGO-2020,1.8,0.4,0.5,0.45,1.1,1.3,0.65,,1.3,0.35,0.4
SEP-2020,2.0,0.4,0.5,0.4,1.2,1.5,0.6,,1.7,0.3,0.4
OCT-2020,1.5,0.4,0.35,0.33,1.4,1.7,0.7,,1.5,0.3,0.4
NOV-2020,1.5,0.4,0.35,0.35,1.3,1.5,0.6,,1.4,0.3,0.4
DIC-2020,1.5,0.45,0.4,0.35,1.1,1.4,0.6,,1.4,0.3,0.5
ENE-2021,1.8,0.5,0.55,0.53,1.2,1.6,0.7,,1.8,0.45,0.5
FEB-2021,2.0,0.4,0.75,0.8,1.2,1.2,0.7,,1.7,0.65,0.4
MAR-2021,1.8,0.6,0.8,0.83,1.2,1.1,0.7,,1.8,0.8,0.6
ABR-2021,1.4,0.65,1.2,1.2,1.2,0.7,0.9,,1.3,1.1,0.65
MAY-2021,1.3,0.65,1.1,1.15,1.2,0.75,0.8,,1.2,1.15,0.65
JUN-2021,1.2,0.7,1.2,1.2,1.3,0.9,0.9,,1.1,1.2,0.7
JUL-2021,1.2,0.8,1.2,1.23,1.4,0.9,1.1,,1.1,1.25,0.8
AGO-2021,1.4,0.8,1.0,1.08,1.3,0.9,1.0,,1.0,1.1,0.8
SEP-2021,1.2,1.0,0.9,1.0,1.3,1.0,1.0,,1.0,1.0,1.0
OCT-2021,0.8,0.9,0.8,0.75,0.9,0.9,1.1,,0.9,0.6,0.9
NOV-2021,1.1,0.95,0.8,0.75,0.9,1.0,1.0,,1.0,0.6,0.95
DIC-2021,1.2,0.9,0.8,0.8,1.1,1.1,1.0,,1.1,0.7,0.9
ENE-2022,1.8,0.9,0.9,0.95,1.2,1.4,1.1,,1.3,1.0,0.9
FEB-2022,2.0,1.1,1.2,1.3,1.4,1.2,1.2,,1.5,1.4,1.1
MAR-2022,1.5,1.0,1.1,1.25,1.3,1.1,1.1,,1.2,1.4,1.0
ABR-2022,1.4,0.9,1.0,1.1,1.3,1.1,1.0,,1.0,1.2,0.9
MAY-2022,1.4,0.9,0.9,1.13,1.4,1.1,1.0,,1.0,1.3,0.9
JUN-2022,1.8,0.95,0.95,1.25,1.6,1.2,1.0,,1.0,1.4,0.95
JUL-2022,2.3,1.0,1.1,1.33,1.8,1.4,1.3,,1.5,1.4,1.0
AGO-2022,3.3,1.2,1.2,1.23,2.4,1.8,1.4,,2.1,1.1,1.2
SEP-2022,3.6,1.7,1.2,1.3,2.5,2.3,1.7,,2.8,1.3,1.7
OCT-2022,2.8,1.3,1.3,1.3,1.8,3.3,1.7,,1.8,1.3,1.3
NOV-2022,3.8,1.4,1.75,1.7,2.0,3.3,1.8,,3.2,1.5,1.4
DIC-2022,3.3,1.8,1.8,1.68,2.35,3.0,1.9,,3.3,1.5,1.8
ENE-2023,2.5,1.6,1.8,1.85,2.3,2.3,2.0,,2.6,1.7,1.6
FEB-2023,2.0,1.1,1.6,1.9,1.8,1.5,1.5,,1.8,2.0,1.1
MAR-2023,1.8,0.8,1.1,1.3,1.6,1.3,1.1,,1.6,1.2,0.8
ABR-2023,1.8,0.6,0.9,1.1,1.2,1.0,0.8,,1.8,1.1,0.6
MAY-2023,1.5,0.65,1.1,1.1,1.4,1.3,0.8,,1.4,1.1,0.65
JUN-2023,1.2,0.6,0.9,1.0,1.3,1.2,0.9,,1.3,1.0,0.6
JUL-2023,1.3,0.6,0.9,0.85,1.5,1.5,1.0,,1.4,0.8,0.6
AGO-2023,1.8,0.6,0.95,1.0,1.5,1.6,1.0,,1.5,1.0,0.6
SEP-2023,3.1,0.6,1.0,1.05,1.6,1.6,1.0,,1.8,1.0,0.6
OCT-2023,3.3,0.65,1.0,1.0,2.0,2.3,1.1,,2.5,1.0,0.65
NOV-2023,3.3,1.0,1.3,1.3,2.1,3.1,1.3,,3.0,1.0,1.0
DIC-2023,2.8,1.1,1.2,1.23,1.6,1.8,1.2,,2.6,1.1,1.1
ENE-2024,2.3,0.7,0.8,0.95,1.6,1.3,1.0,,2.2,1.1,0.7
FEB-2024,1.8,0.7,0.7,0.95,1.2,1.1,0.8,,1.3,1.1,0.7
MAR-2024,1.6,0.8,0.7,1.0,1.2,1.1,0.8,,1.3,1.1,0.8
ABR-2024,1.5,0.65,0.8,1.0,1.1,1.0,0.8,,1.1,1.1,0.65
MAY-2024,1.6,0.8,0.9,1.05,1.2,1.0,0.8,,1.2,1.2,0.8
JUN-2024,2.6,0.85,0.9,1.2,1.3,1.4,0.9,,1.4,1.4,0.85
JUL-2024,3.1,1.2,1.3,1.5,1.6,1.6,1.2,,1.7,1.4,1.2
AGO-2024,3.7,1.6,1.5,1.35,1.8,1.7,1.5,,2.0,1.1,1.6
SEP-2024,2.6,1.9,1.2,1.25,2.0,1.9,2.0,,2.2,1.1,1.9
OCT-2024,1.7,1.3,0.8,0.75,1.7,2.1,1.6,,2.0,0.65,1.3
NOV-2024,1.6,1.1,0.8,0.68,1.8,1.8,1.1,,1.6,0.45,1.1
DIC-2024,1.6,0.8,0.5,0.48,1.6,1.6,1.0,,1.4,0.4,0.8
