Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1.72,1.03,1.33,1.31,1.17,1.28,1.09,1.1,1.63,1.23,0.95
FEB-2015,1.52,1.15,1.46,1.39,1.06,1.06,1.15,1.25,1.35,1.41,0.99
MAR-2015,1.64,1.12,1.18,1.18,1.13,1.13,1.03,1.05,1.29,1.19,1.23
ABR-2015,1.16,0.82,0.9,0.85,1.08,0.89,1.06,0.77,0.95,0.76,0.82
MAY-2015,1.23,0.64,0.81,0.78,1.02,0.9,0.84,0.61,0.83,0.73,0.69
JUN-2015,1.33,0.61,0.78,0.75,0.88,0.8,0.8,0.58,0.83,0.74,0.64
JUL-2015,1.59,0.7,0.92,0.91,1.08,0.86,0.8,0.79,0.9,0.85,0.64
AGO-2015,2.18,0.74,0.99,0.91,1.08,0.88,0.9,0.87,1.1,0.86,0.65
SEP-2015,3.02,0.89,0.95,0.88,1.65,1.07,1.15,0.81,1.94,0.82,0.97
OCT-2015,2.93,1.2,1.13,1.05,1.94,1.48,1.38,1.07,2.8,0.99,1.28
NOV-2015,2.51,1.7,1.54,1.47,2.27,2.47,1.54,1.32,2.83,1.36,1.72
DIC-2015,2.19,1.82,1.92,1.88,1.44,1.97,1.97,1.77,2.15,1.89,2.03
ENE-2016,2.73,2.09,2.26,2.22,2.02,1.8,2.24,2.02,2.09,2.18,2.19
FEB-2016,1.84,1.52,1.56,1.63,1.41,1.29,1.44,1.54,1.69,1.69,1.44
MAR-2016,1.59,0.91,0.96,0.94,1.12,0.99,0.9,0.97,1.42,0.93,0.88
ABR-2016,1.62,0.72,0.86,0.85,1.04,0.88,0.86,0.78,1.28,0.84,0.66
MAY-2016,1.58,0.71,0.85,0.86,1.05,1.08,0.83,0.69,1.15,0.81,0.7
JUN-2016,1.56,0.84,1.03,1.08,1.15,1.02,0.98,1.0,1.28,1.14,0.68
JUL-2016,2.33,1.16,1.44,1.48,1.65,1.34,1.26,1.33,1.79,1.47,0.94
AGO-2016,3.32,1.19,1.31,1.2,1.79,1.43,1.28,1.05,2.09,1.09,1.24
SEP-2016,3.1,1.78,1.48,1.46,2.63,1.84,1.95,1.51,2.87,1.45,2.01
OCT-2016,2.66,1.61,1.4,1.41,1.96,2.19,1.73,1.54,2.93,1.34,1.71
NOV-2016,2.45,1.4,1.51,1.43,1.85,2.56,1.54,1.33,2.46,1.42,1.46
DIC-2016,2.18,1.42,1.6,1.64,1.63,1.57,1.68,1.44,2.14,1.73,1.43
ENE-2017,1.95,1.01,1.21,1.39,1.08,1.21,0.97,1.29,1.81,1.67,0.85
FEB-2017,2.06,0.93,0.95,1.06,1.44,1.19,0.75,1.21,1.93,1.16,0.67
