Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,1.60,0.70,0.80,0.73,1.00,1.30,0.75,1.60,0.75,0.70
JUL-2020,2.30,0.60,0.70,0.70,1.40,1.50,0.80,1.60,0.70,0.60
AGO-2020,2.50,0.70,0.80,0.70,1.50,1.70,0.80,2.00,0.60,0.70
SEP-2020,2.80,0.70,0.65,0.60,2.00,2.20,0.80,2.20,0.55,0.70
OCT-2020,2.20,0.65,0.60,0.58,2.00,2.00,1.00,2.10,0.55,0.65
NOV-2020,1.80,0.65,0.60,0.53,2.00,2.20,0.80,1.80,0.45,0.65
DIC-2020,2.20,0.75,0.70,0.65,1.60,2.00,0.85,1.90,0.60,0.75
ENE-2021,2.30,0.80,1.05,0.90,1.60,2.00,0.90,2.20,0.90,0.80
FEB-2021,2.60,0.75,1.05,1.00,1.60,1.80,0.85,2.20,1.05,0.75
MAR-2021,2.90,1.35,1.85,1.90,1.70,1.80,1.40,2.70,2.00,1.35
ABR-2021,2.30,1.00,1.60,1.55,1.60,1.40,1.30,2.20,1.55,1.00
MAY-2021,1.90,0.90,1.50,1.50,1.60,1.20,1.15,1.40,1.50,0.90
JUN-2021,1.80,0.95,1.60,1.60,1.70,1.30,1.30,1.40,1.75,0.95
JUL-2021,1.70,1.10,1.50,1.60,1.80,1.30,1.40,1.40,1.75,1.10
AGO-2021,1.80,1.25,1.50,1.50,1.80,1.40,1.35,1.40,1.50,1.25
SEP-2021,1.80,1.30,1.40,1.25,1.60,1.40,1.50,1.50,1.30,1.30
OCT-2021,1.40,1.30,1.20,1.20,1.40,1.30,1.40,1.20,1.20,1.30
NOV-2021,1.70,1.20,1.15,0.98,1.40,1.40,1.40,1.30,0.90,1.20
DIC-2021,2.10,1.20,1.15,1.15,1.50,1.60,1.45,1.70,1.20,1.20
ENE-2022,2.20,1.40,1.40,1.50,1.70,1.80,1.45,1.80,1.60,1.40
FEB-2022,2.50,1.70,1.80,1.85,2.00,1.90,1.80,2.00,2.10,1.70
MAR-2022,2.20,1.50,1.50,1.70,1.70,1.50,1.50,1.70,1.90,1.50
ABR-2022,2.20,2.05,1.60,1.85,2.20,1.80,1.80,2.00,2.20,2.05
MAY-2022,2.40,1.20,1.40,1.60,2.20,2.00,1.20,1.50,1.90,1.20
JUN-2022,4.00,2.70,2.00,2.10,3.00,2.50,3.20,3.20,2.20,2.70
JUL-2022,4.80,1.70,1.50,1.75,3.20,2.20,1.90,2.30,2.00,1.70
AGO-2022,4.00,2.00,1.65,1.55,3.00,2.50,1.90,3.20,1.60,2.00
SEP-2022,5.50,2.30,2.45,2.40,4.00,4.00,2.60,4.80,2.45,2.30
OCT-2022,5.00,2.50,2.50,2.48,4.00,4.50,3.00,5.00,2.50,2.50
NOV-2022,5.40,2.20,2.20,2.00,4.00,5.50,2.30,4.30,2.00,2.20
DIC-2022,6.20,3.00,2.30,2.13,4.40,5.50,3.00,4.90,2.00,3.00
ENE-2023,4.40,2.50,2.30,2.30,2.80,4.00,2.60,4.40,2.70,2.50
FEB-2023,3.00,1.80,2.20,2.35,2.70,2.40,2.20,2.90,2.70,1.80
MAR-2023,3.50,1.30,1.80,2.05,2.50,1.80,1.80,3.00,2.30,1.30
ABR-2023,3.00,1.10,1.70,1.65,2.70,2.00,1.40,2.70,1.70,1.10
MAY-2023,2.50,0.95,1.50,1.55,2.20,2.00,1.10,2.20,1.70,0.95
JUN-2023,2.20,1.00,1.30,1.40,2.00,1.80,1.10,1.90,1.60,1.00
JUL-2023,2.50,1.50,1.30,1.43,2.50,2.10,1.30,2.20,1.70,1.50
AGO-2023,3.30,0.85,1.30,1.25,2.20,2.20,1.20,2.20,1.30,0.85
SEP-2023,4.50,0.90,1.40,1.40,2.40,2.50,1.30,3.00,1.40,0.90
OCT-2023,4.50,1.10,1.50,1.40,3.00,3.50,1.40,3.30,1.40,1.10
NOV-2023,4.80,1.40,1.80,1.58,3.50,4.00,1.70,3.80,1.45,1.40
DIC-2023,4.50,1.80,1.80,1.60,3.40,3.50,1.70,4.00,1.50,1.80
ENE-2024,4.50,1.50,1.65,1.53,2.50,2.60,1.50,3.70,1.50,1.50
FEB-2024,2.60,1.10,1.10,1.18,2.00,1.70,1.20,2.20,1.40,1.10
MAR-2024,2.50,1.20,1.10,1.35,1.60,1.50,1.00,2.00,1.60,1.20
ABR-2024,2.00,1.10,1.10,1.30,1.70,1.40,1.00,1.90,1.60,1.10
MAY-2024,3.00,1.10,1.20,1.40,1.80,1.80,1.10,1.70,1.70,1.10
JUN-2024,3.40,1.40,1.40,1.70,2.00,2.20,1.40,2.20,2.00,1.40
JUL-2024,4.00,1.80,2.00,1.85,2.20,2.10,1.80,2.40,2.10,1.80
AGO-2024,4.50,2.30,2.40,2.05,2.50,2.20,2.20,3.00,1.90,2.30
SEP-2024,4.00,2.30,1.70,1.50,2.60,2.80,2.50,3.00,1.50,2.50
OCT-2024,3.10,2.50,1.35,1.25,2.50,2.80,2.50,2.80,1.20,2.50
NOV-2024,2.80,1.80,1.20,0.98,2.60,3.20,2.10,3.00,0.75,1.80
DIC-2024,2.20,1.20,1.00,0.83,2.20,2.20,1.50,2.20,0.90,1.20
