Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,3.00,2.15,2.50,2.35,2.20,2.00,2.40,2.00,2.60,2.20,2.30
FEB-2015,1.70,1.30,1.60,1.53,1.30,1.30,1.40,1.40,1.50,1.50,1.30
MAR-2015,2.20,1.45,1.40,1.33,1.50,1.50,1.40,1.40,1.50,1.40,1.50
ABR-2015,1.40,1.10,1.10,1.08,1.20,1.20,1.30,1.10,1.20,1.15,1.20
MAY-2015,1.60,0.78,0.90,0.85,1.10,1.10,0.95,0.80,1.00,0.90,0.85
JUN-2015,1.45,0.70,0.90,0.88,1.05,0.95,0.90,0.70,0.90,0.90,0.75
JUL-2015,2.20,0.80,1.10,1.03,1.20,1.00,1.10,1.00,1.00,1.05,0.78
AGO-2015,3.00,0.82,1.10,1.05,1.25,1.00,1.10,1.00,1.40,1.00,0.85
SEP-2015,3.50,1.00,1.10,1.00,2.00,1.40,1.40,0.95,2.10,1.00,1.15
OCT-2015,3.40,1.40,1.45,1.30,2.30,1.70,1.50,1.30,2.90,1.20,1.50
NOV-2015,3.30,2.00,1.75,1.68,3.00,3.00,2.10,1.75,3.30,1.60,2.00
DIC-2015,2.90,2.25,2.30,2.20,2.50,2.50,2.50,2.10,2.70,2.20,2.50
ENE-2016,3.00,2.15,2.50,2.35,2.20,2.00,2.40,2.10,2.60,2.30,2.30
FEB-2016,2.10,1.75,1.90,1.90,1.60,1.50,1.70,1.80,2.00,2.00,1.75
MAR-2016,2.10,1.35,1.40,1.38,1.40,1.35,1.20,1.40,1.90,1.35,1.40
ABR-2016,1.90,0.85,1.00,0.98,1.20,1.10,0.95,1.00,1.60,1.00,0.80
MAY-2016,1.70,0.84,1.00,1.03,1.20,1.20,0.90,0.85,1.30,1.05,0.80
JUN-2016,1.90,1.10,1.25,1.30,1.40,1.30,1.10,1.40,1.50,1.40,0.80
JUL-2016,3.20,1.35,1.80,1.70,1.80,1.60,1.40,1.60,2.10,1.70,1.20
AGO-2016,3.80,1.35,1.60,1.53,2.20,1.50,1.70,1.45,2.90,1.45,1.60
SEP-2016,3.30,2.45,2.00,1.98,3.00,2.30,2.30,2.15,3.10,1.95,2.50
OCT-2016,3.10,1.98,1.55,1.55,2.70,2.40,2.20,1.85,3.30,1.55,2.20
NOV-2016,3.00,1.60,1.80,1.70,2.70,3.00,1.80,1.65,3.10,1.65,1.80
DIC-2016,2.60,1.70,1.85,1.90,2.30,2.60,1.80,1.85,2.70,2.00,1.70
ENE-2017,2.30,1.25,1.40,1.63,1.90,1.50,1.40,1.50,2.30,1.85,1.10
FEB-2017,2.60,1.10,1.10,1.25,1.50,1.50,0.90,1.30,2.10,1.50,0.90
MAR-2017,3.00,1.10,1.20,1.15,1.80,1.70,1.10,1.20,2.50,1.20,1.00
ABR-2017,2.00,0.71,1.00,1.00,1.40,1.60,0.85,0.82,1.70,1.00,0.70
MAY-2017,1.60,0.80,0.95,0.93,1.40,1.40,0.90,0.90,1.50,0.90,0.70
JUN-2017,1.60,0.80,1.00,1.00,1.40,1.30,0.85,0.90,1.30,1.00,0.75
JUL-2017,1.60,0.80,1.00,0.95,1.50,1.50,0.85,1.00,1.40,0.95,0.75
AGO-2017,1.70,0.73,0.90,0.90,1.40,1.40,0.80,0.75,1.20,0.90,0.75
SEP-2017,1.60,0.63,0.80,0.73,1.40,1.30,0.90,0.55,1.30,0.70,0.75
OCT-2017,1.30,0.60,0.80,0.78,1.50,1.20,0.85,0.55,1.30,0.75,0.65
NOV-2017,1.30,0.63,0.85,0.68,1.20,1.20,0.80,0.60,1.20,0.55,0.65
DIC-2017,1.80,0.55,0.70,0.60,1.20,1.40,0.70,0.60,1.60,0.60,0.50
ENE-2018,2.80,0.55,0.65,0.51,1.80,1.80,1.00,0.50,2.00,0.45,0.65
FEB-2018,2.90,0.70,0.80,0.75,1.60,2.40,0.85,0.70,2.30,0.75,0.80
MAR-2018,2.20,0.80,0.85,0.80,1.20,1.40,0.85,0.85,1.30,0.80,0.80
ABR-2018,1.40,0.83,0.90,0.85,1.10,1.30,0.85,0.85,1.20,0.90,0.90
MAY-2018,1.40,0.88,0.90,0.90,1.10,1.10,0.95,0.95,1.00,0.90,0.85
JUN-2018,2.00,0.78,0.95,0.90,1.30,1.20,0.95,0.80,1.50,0.90,0.90
JUL-2018,2.80,0.90,1.05,0.98,1.30,1.40,1.05,1.00,1.50,1.00,0.90
AGO-2018,2.80,1.15,1.20,1.08,1.40,1.40,1.40,1.00,1.60,1.00,1.20
SEP-2018,3.30,1.30,1.20,1.10,1.70,1.60,1.80,1.10,2.20,1.05,1.40
OCT-2018,2.80,1.30,1.05,1.02,1.80,1.60,2.00,1.05,2.70,1.00,1.30
NOV-2018,2.90,0.90,1.10,0.95,2.00,2.20,1.20,1.00,2.60,0.80,1.00
DIC-2018,3.70,1.08,1.10,0.98,2.70,2.40,1.40,0.95,3.10,0.93,1.30
ENE-2019,3.20,1.50,1.30,1.35,2.40,2.40,1.50,1.30,3.00,1.40,1.50
FEB-2019,2.30,1.48,1.70,1.75,1.70,1.40,1.40,1.80,2.20,1.90,1.25
MAR-2019,2.60,1.65,1.70,1.70,1.70,1.65,1.70,1.70,2.60,1.70,1.70
ABR-2019,2.80,1.50,1.65,1.63,1.60,1.60,1.70,1.60,2.50,1.60,1.50
MAY-2019,2.20,1.20,1.30,1.20,1.70,1.60,1.30,1.20,1.80,1.20,1.20
JUN-2019,1.90,1.25,1.60,1.60,2.00,1.40,1.35,1.40,1.50,1.60,1.10
JUL-2019,2.00,1.35,1.80,1.75,2.00,1.60,1.60,1.50,1.60,1.70,1.30
AGO-2019,2.30,1.30,1.50,1.45,1.50,1.70,1.50,1.30,1.60,1.45,1.40
SEP-2019,2.40,1.60,1.65,1.63,2.20,2.20,2.10,1.65,2.20,1.65,1.60
OCT-2019,2.60,1.60,1.70,1.65,1.80,2.40,2.00,1.60,2.50,1.60,1.60
NOV-2019,3.20,1.70,1.60,1.40,2.50,2.90,1.80,1.60,3.00,1.30,1.80
DIC-2019,2.70,1.60,1.40,1.23,2.20,2.80,1.90,1.15,2.60,1.10,1.60
ENE-2020,2.40,1.05,1.20,1.13,1.70,1.80,1.50,0.90,2.20,1.10,1.20
FEB-2020,2.00,0.83,1.10,1.10,1.40,1.20,0.90,1.00,1.50,1.20,0.75
MAR-2020,1.90,1.00,1.00,1.05,1.30,1.40,1.00,1.10,1.70,1.15,1.00
ABR-2020,2.00,1.00,1.10,1.10,1.20,1.40,1.00,0.70,1.60,0.80,1.00
MAY-2020,2.00,0.65,0.80,0.68,1.10,1.30,0.80,0.45,1.60,0.70,0.65
