0,1,2,3,4,5,6,7,8,9,10
Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,1.00,0.35,0.50,0.50,0.70,0.85,0.50,0.90,0.45,0.35
JUL-2020,1.40,0.40,0.50,0.45,0.90,1.00,0.50,1.10,0.40,0.40
AGO-2020,1.80,0.40,0.50,0.45,1.10,1.30,0.65,1.30,0.35,0.40
SEP-2020,2.00,0.40,0.50,0.40,1.20,1.50,0.60,1.70,0.30,0.40
OCT-2020,1.50,0.40,0.35,0.33,1.40,1.70,0.70,1.50,0.30,0.40
NOV-2020,1.50,0.40,0.35,0.35,1.30,1.50,0.60,1.40,0.30,0.40
DIC-2020,1.50,0.45,0.40,0.35,1.10,1.40,0.60,1.40,0.30,0.50
ENE-2021,1.80,0.50,0.55,0.53,1.20,1.60,0.70,1.80,0.45,0.50
FEB-2021,2.00,0.40,0.75,0.80,1.20,1.20,0.70,1.70,0.65,0.40
MAR-2021,1.80,0.60,0.80,0.83,1.20,1.10,0.70,1.80,0.80,0.60
ABR-2021,1.40,0.65,1.20,1.20,1.20,0.70,0.90,1.30,1.10,0.65
MAY-2021,1.30,0.65,1.10,1.15,1.20,0.75,0.80,1.20,1.15,0.65
JUN-2021,1.20,0.70,1.20,1.20,1.30,0.90,0.90,1.10,1.20,0.70
JUL-2021,1.20,0.80,1.20,1.23,1.40,0.90,1.10,1.10,1.25,0.80
AGO-2021,1.40,0.80,1.00,1.08,1.30,0.90,1.00,1.00,1.10,0.80
SEP-2021,1.20,1.00,0.90,1.00,1.30,1.00,1.00,1.00,1.00,1.00
OCT-2021,0.80,0.90,0.80,0.75,0.90,0.90,1.10,0.90,0.60,0.90
NOV-2021,1.10,0.95,0.80,0.75,0.90,1.00,1.00,1.00,0.60,0.95
DIC-2021,1.20,0.90,0.80,0.80,1.10,1.10,1.00,1.10,0.70,0.90
ENE-2022,1.80,0.90,0.90,0.95,1.20,1.40,1.10,1.30,1.00,0.90
FEB-2022,2.00,1.10,1.20,1.30,1.40,1.20,1.20,1.50,1.40,1.10
MAR-2022,1.50,1.00,1.10,1.25,1.30,1.10,1.10,1.20,1.40,1.00
ABR-2022,1.40,0.90,1.00,1.10,1.30,1.10,1.00,1.00,1.20,0.90
MAY-2022,1.40,0.90,0.90,1.13,1.40,1.10,1.00,1.00,1.30,0.90
JUN-2022,1.80,0.95,0.95,1.25,1.60,1.20,1.00,1.00,1.40,0.95
JUL-2022,2.30,1.00,1.10,1.33,1.80,1.40,1.30,1.50,1.40,1.00
AGO-2022,3.30,1.20,1.20,1.23,2.40,1.80,1.40,2.10,1.10,1.20
SEP-2022,3.60,1.70,1.20,1.30,2.50,2.30,1.70,2.80,1.30,1.70
OCT-2022,2.80,1.30,1.30,1.30,1.80,3.30,1.70,1.80,1.30,1.30
NOV-2022,3.80,1.40,1.75,1.70,2.00,3.30,1.80,3.20,1.50,1.40
DIC-2022,3.30,1.80,1.80,1.68,2.35,3.00,1.90,3.30,1.50,1.80
ENE-2023,2.50,1.60,1.80,1.85,2.30,2.30,2.00,2.60,1.70,1.60
FEB-2023,2.00,1.10,1.60,1.90,1.80,1.50,1.50,1.80,2.00,1.10
MAR-2023,1.80,0.80,1.10,1.30,1.60,1.30,1.10,1.60,1.20,0.80
ABR-2023,1.80,0.60,0.90,1.10,1.20,1.00,0.80,1.80,1.10,0.60
MAY-2023,1.50,0.65,1.10,1.10,1.40,1.30,0.80,1.40,1.10,0.65
JUN-2023,1.20,0.60,0.90,1.00,1.30,1.20,0.90,1.30,1.00,0.60
JUL-2023,1.30,0.60,0.90,0.85,1.50,1.50,1.00,1.40,0.80,0.60
AGO-2023,1.80,0.60,0.95,1.00,1.50,1.60,1.00,1.50,1.00,0.60
SEP-2023,3.10,0.60,1.00,1.05,1.60,1.60,1.00,1.80,1.00,0.60
OCT-2023,3.30,0.65,1.00,1.00,2.00,2.30,1.10,2.50,1.00,0.65
NOV-2023,3.30,1.00,1.30,1.30,2.10,3.10,1.30,3.00,1.00,1.00
DIC-2023,2.80,1.10,1.20,1.23,1.60,1.80,1.20,2.60,1.10,1.10
ENE-2024,2.30,0.70,0.80,0.95,1.60,1.30,1.00,2.20,1.10,0.70
FEB-2024,1.80,0.70,0.70,0.95,1.20,1.10,0.80,1.30,1.10,0.70
MAR-2024,1.60,0.80,0.70,1.00,1.20,1.10,0.80,1.30,1.10,0.80
ABR-2024,1.50,0.65,0.80,1.00,1.10,1.00,0.80,1.10,1.10,0.65
MAY-2024,1.60,0.80,0.90,1.05,1.20,1.00,0.80,1.20,1.20,0.80
JUN-2024,2.60,0.85,0.90,1.20,1.30,1.40,0.90,1.40,1.40,0.85
JUL-2024,3.10,1.20,1.30,1.50,1.60,1.60,1.20,1.70,1.40,1.20
AGO-2024,3.70,1.60,1.50,1.35,1.80,1.70,1.50,2.00,1.10,1.60
SEP-2024,2.60,1.90,1.20,1.25,2.00,1.90,2.00,2.20,1.10,1.90
OCT-2024,1.70,1.30,0.80,0.75,1.70,2.10,1.60,2.00,0.65,1.30
NOV-2024,1.60,1.10,0.80,0.68,1.80,1.80,1.10,1.60,0.45,1.10
DIC-2024,1.60,0.80,0.50,0.48,1.60,1.60,1.00,1.40,0.40,0.80
