0,1,2,3,4,5,6,7,8,9,10,11
Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1.10,0.80,1.10,1.05,0.70,1.00,0.90,0.80,1.10,1.00,0.70
FEB-2015,1.40,1.03,1.30,1.25,0.90,0.90,1.00,1.10,1.10,1.20,0.85
MAR-2015,1.40,0.98,1.00,1.00,0.90,0.90,0.95,0.90,1.10,0.90,0.95
ABR-2015,0.90,0.60,0.70,0.65,0.95,0.65,0.70,0.55,0.80,0.55,0.60
MAY-2015,1.00,0.55,0.65,0.65,0.85,0.75,0.70,0.50,0.70,0.60,0.60
JUN-2015,1.10,0.53,0.70,0.69,0.80,0.70,0.70,0.50,0.75,0.65,0.55
JUL-2015,1.30,0.60,0.80,0.80,1.00,0.75,0.70,0.60,0.80,0.75,0.50
AGO-2015,1.70,0.63,0.80,0.75,1.00,0.72,0.80,0.65,0.85,0.65,0.50
SEP-2015,2.60,0.73,0.75,0.75,1.00,0.80,0.90,0.70,1.25,0.70,0.75
OCT-2015,2.70,0.95,1.00,0.95,1.50,1.30,1.20,0.85,2.00,0.85,1.00
NOV-2015,1.70,1.23,1.30,1.18,1.50,1.50,1.40,1.05,1.60,1.05,1.40
DIC-2015,1.90,1.55,1.50,1.48,1.30,1.60,1.60,1.30,1.90,1.40,1.70
ENE-2016,2.20,1.91,2.03,2.04,1.88,1.60,2.00,1.90,1.80,2.03,1.93
FEB-2016,1.30,0.95,1.10,1.13,1.10,1.10,0.90,1.00,1.20,1.10,0.90
MAR-2016,1.30,0.65,0.75,0.73,0.95,0.70,0.75,0.70,1.25,0.65,0.50
ABR-2016,1.40,0.60,0.65,0.65,0.90,0.55,0.60,0.60,1.10,0.65,0.55
MAY-2016,1.40,0.60,0.65,0.65,0.90,0.90,0.68,0.60,1.00,0.60,0.60
JUN-2016,1.30,0.60,0.75,0.85,0.90,0.70,0.80,0.60,1.00,0.95,0.50
JUL-2016,1.90,0.98,1.15,1.15,1.45,1.20,1.00,1.10,1.50,1.30,0.70
AGO-2016,2.70,0.98,1.10,1.05,1.60,1.30,1.00,0.85,2.00,0.90,1.00
SEP-2016,2.90,1.33,1.10,1.08,2.40,1.40,1.55,1.00,2.60,1.00,1.60
OCT-2016,2.20,1.25,1.20,1.18,1.70,1.90,1.60,1.10,2.50,1.10,1.40
NOV-2016,1.90,1.10,1.20,1.20,1.60,2.30,1.30,1.00,2.00,1.10,1.20
DIC-2016,1.70,0.90,1.30,1.50,1.40,0.90,1.30,1.10,1.60,1.50,0.90
ENE-2017,1.60,0.70,0.90,1.10,1.00,0.90,0.70,0.85,1.20,1.20,0.55
FEB-2017,1.60,0.80,0.85,0.93,1.10,0.90,0.65,1.00,1.25,0.90,0.50
MAR-2017,1.20,0.50,0.60,0.60,1.00,1.00,0.60,0.55,1.50,0.50,0.40
ABR-2017,1.20,0.50,0.60,0.60,1.00,1.15,0.60,0.50,1.30,0.55,0.40
MAY-2017,1.10,0.58,0.70,0.68,1.00,1.20,0.60,0.60,0.90,0.65,0.55
JUN-2017,1.20,0.50,0.70,0.75,1.00,1.00,0.65,0.50,1.00,0.70,0.50
JUL-2017,1.20,0.55,0.60,0.60,1.20,1.10,0.65,0.50,0.80,0.60,0.55
AGO-2017,1.20,0.53,0.60,0.60,1.10,1.20,0.55,0.45,0.90,0.60,0.55
SEP-2017,1.20,0.48,0.60,0.58,1.20,0.85,0.55,0.35,0.85,0.50,0.55
OCT-2017,0.80,0.40,0.50,0.45,0.80,0.90,0.65,0.38,0.80,0.40,0.40
NOV-2017,0.90,0.40,0.50,0.45,0.80,0.90,0.60,0.40,0.90,0.30,0.40
DIC-2017,0.90,0.28,0.50,0.38,0.80,0.90,0.50,0.20,0.90,0.20,0.30
ENE-2018,1.20,0.28,0.40,0.33,1.00,1.20,0.50,0.20,1.10,0.20,0.30
FEB-2018,0.90,0.40,0.50,0.45,0.90,0.90,0.55,0.35,0.90,0.30,0.40
MAR-2018,1.10,0.60,0.65,0.63,0.65,0.90,0.60,0.50,1.00,0.55,0.60
ABR-2018,1.00,0.63,0.68,0.64,0.85,0.85,0.65,0.50,0.80,0.55,0.65
MAY-2018,1.00,0.65,0.70,0.67,0.85,0.90,0.70,0.55,0.80,0.60,0.65
JUN-2018,1.40,0.63,0.75,0.75,0.90,0.80,0.70,0.50,0.90,0.70,0.65
JUL-2018,1.60,0.65,0.65,0.70,0.90,0.80,0.80,0.55,0.90,0.70,0.65
AGO-2018,1.90,0.75,0.85,0.84,1.00,1.00,0.85,0.70,1.10,0.75,0.75
SEP-2018,2.00,0.85,0.80,0.80,1.10,1.00,0.90,0.70,1.40,0.75,1.00
OCT-2018,2.00,0.75,0.70,0.68,1.30,1.00,1.00,0.70,2.00,0.60,0.75
NOV-2018,2.00,0.60,0.65,0.63,1.40,1.30,0.80,0.70,1.70,0.55,0.60
DIC-2018,2.50,0.70,0.70,0.65,1.50,1.60,0.90,0.60,2.20,0.55,0.70
ENE-2019,2.10,0.98,0.80,0.75,1.50,1.20,1.20,0.95,1.80,0.70,1.00
FEB-2019,1.60,0.95,1.20,1.25,1.20,0.90,1.20,1.10,1.30,1.20,0.90
MAR-2019,1.80,1.00,1.20,1.15,1.20,1.00,1.20,1.10,1.30,1.10,0.95
ABR-2019,1.20,0.90,1.00,0.98,1.20,1.00,0.95,0.80,1.20,0.80,0.80
MAY-2019,1.40,0.80,0.90,0.88,1.20,1.00,0.90,0.70,1.10,0.80,0.90
JUN-2019,1.30,0.83,1.00,0.98,1.30,0.90,1.00,0.75,1.20,0.95,0.80
JUL-2019,1.60,0.90,1.40,1.15,1.40,1.20,1.20,1.00,1.30,0.90,0.90
AGO-2019,1.60,0.98,1.30,1.20,1.20,1.30,1.20,1.00,1.30,1.00,0.90
SEP-2019,2.00,1.15,1.30,1.30,1.30,1.40,1.40,1.10,1.30,1.30,1.20
OCT-2019,2.10,1.30,1.20,1.05,1.20,1.80,1.40,1.30,2.00,0.90,1.30
NOV-2019,2.30,1.25,1.15,1.08,1.80,2.20,1.50,1.00,2.20,0.90,1.40
