AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2015,2,AMAZONAS,LUYA,LAMUD,PAPA CANCHAN (mejoradas)- color,3.0,0.0,0.0,0.0
2015,3,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,PAPA CANCHAN (mejoradas)- color,0.0,4.0,41.7,0.6
2015,11,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,12,HUANCAVELICA,TAYACAJA,PAZOS,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,9,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,PAPA CANCHAN (mejoradas)- color,45.0,0.0,0.0,0.0
2018,2,HUANCAVELICA,TAYACAJA,QUISHUAR,PAPA PERRICHOLI (mejoradas),0.0,3.0,38.0,0.45
2019,1,APURIMAC,GRAU,SAN ANTONIO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,1,AMAZONAS,LUYA,LAMUD,PAPA CANCHAN (mejoradas)- color,3.0,0.0,0.0,0.0
2021,9,LIMA,CAÑETE,SAN LUIS,PAPA UNICA (mejoradas)-color,3.0,4.0,96.0,0.45
2022,2,APURIMAC,GRAU,PROGRESO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,5,LIMA,YAUYOS,VIÑAC,PAPA CANCHAN (mejoradas)- color,0.0,2.0,21.5,1.2
2023,4,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,1.0,5.0,67.5,1.1
2023,4,LIMA,YAUYOS,VIÑAC,PAPA CANCHAN (mejoradas)- color,0.0,3.0,22.8,1.5
2023,1,LIMA,YAUYOS,CACRA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2023,7,AMAZONAS,LUYA,LONYA CHICO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,3,HUANCAVELICA,TAYACAJA,PAZOS,PAPA PERRICHOLI (mejoradas),0.0,12.0,128.0,0.7
2015,7,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA CANCHAN (mejoradas)- color,0.0,26.0,275.0,0.45
2015,10,HUANCAVELICA,TAYACAJA,AHUAYCHA,PAPA PERRICHOLI (mejoradas),10.0,4.0,42.0,0.7
2016,2,AMAZONAS,LUYA,SANTO TOMAS,PAPA CANCHAN (mejoradas)- color,5.0,0.0,0.0,0.0
2016,6,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,PAPA PERRICHOLI (mejoradas),0.0,4.0,45.0,0.5
2016,3,HUANCAVELICA,TAYACAJA,COLCABAMBA,PAPA PERRICHOLI (mejoradas),0.0,14.0,189.0,0.5
2016,12,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2016,5,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,PAPA PERRICHOLI (mejoradas),0.0,9.0,95.0,0.5
2017,3,AMAZONAS,LUYA,TRITA,PAPA CANCHAN (mejoradas)- color,2.0,2.0,42.0,0.8
2018,9,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,PAPA CANCHAN (mejoradas)- color,13.0,0.0,0.0,0.0
2018,4,HUANCAVELICA,TAYACAJA,TINTAY PUNCU,PAPA CANCHAN (mejoradas)- color,14.0,0.0,0.0,0.0
2018,2,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,10,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,PAPA PERRICHOLI (mejoradas),3.0,0.0,0.0,0.0
2018,12,HUANCAVELICA,ACOBAMBA,ANTA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,2,HUANCAVELICA,HUAYTARA,AYAVI,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2019,1,HUANCAVELICA,ACOBAMBA,ANTA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,8,LIMA,YAUYOS,AZANGARO,PAPA CANCHAN (mejoradas)- color,7.0,0.0,0.0,0.0
2021,1,LIMA,YAUYOS,TUPE,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2021,4,LIMA,CAÑETE,IMPERIAL,PAPA UNICA (mejoradas)-color,34.0,0.0,0.0,0.0
2021,2,LIMA,CAÑETE,NUEVO IMPERIAL,PAPA UNICA (mejoradas)-color,0.0,19.0,456.0,0.6
2021,12,AMAZONAS,LUYA,LAMUD,PAPA CANCHAN (mejoradas)- color,3.0,0.0,0.0,0.0
2022,2,AMAZONAS,LUYA,SAN CRISTOBAL,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,8,AMAZONAS,LUYA,SANTA CATALINA,PAPA CANCHAN (mejoradas)- color,0.0,1.0,16.0,1.87
2022,11,LIMA,CAÑETE,IMPERIAL,PAPA UNICA (mejoradas)-color,0.0,22.0,550.0,1.8
2023,3,APURIMAC,GRAU,SANTA ROSA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,6,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,0.0,1.0,20.0,0.88
2016,6,AMAZONAS,LUYA,MARIA,PAPA CANCHAN (mejoradas)- color,0.0,3.0,55.5,0.8
2016,2,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,1.0,0.0,0.0,0.0
