ID,CULTVRNAME,LAT,LONG,SPP2
6121,Curua,-6.45,-78.52,Papa
6122,Celendina Pintada,-6.53,-78.58,Papa
6123,Kello Huaccoto,-13.47,-72.25,Papa
6124,Ccohui Sohuillu,-13.47,-72.25,Papa
6127,Yurac Charca,-13.47,-72.25,Papa
6128,Erika,-13.47,-72.25,Papa
6129,Puca Huaccoto,-13.47,-72.25,Papa
6130,Paspasunchu,-13.47,-72.25,Papa
6131,Cuchi Runtu,-13.47,-72.25,Papa
6132,Wacca Sullu,-13.47,-72.25,Papa
6133,Paucartambo,-13.47,-72.25,Papa
6134,Jamachi,-13.47,-72.25,Papa
6135,Moro Quehuillo,-13.47,-72.25,Papa
6136,Ocke Mactillo,-13.47,-72.25,Papa
6137,Yana Pacus,-13.47,-72.25,Papa
6138,Alcca Chichico,-13.47,-72.25,Papa
6139,Azul Amajaya,-13.47,-72.25,Papa
6140,Kello Paco Huayro,-13.47,-72.25,Papa
6141,Llutu Runtu,-13.47,-72.25,Papa
6142,Yana Waca Callum,-13.47,-72.25,Papa
6143,Ccopa,-13.47,-72.25,Papa
6144,Yana Palta,-13.47,-72.25,Papa
6145,Percearo,-13.47,-72.25,Papa
6146,Yurac Wana,-13.47,-72.25,Papa
6147,Moro Sunchu,-13.47,-72.25,Papa
6148,Tayamita,-13.47,-72.25,Papa
6149,Anckallo,-13.47,-72.25,Papa
6150,Kayanita,-13.47,-72.25,Papa
6151,Puca Mama,-13.47,-72.25,Papa
6154,Incalo,-13.47,-72.25,Papa
6155,Yurac Sale,-13.47,-72.25,Papa
6156,Wacca Wasi,-13.47,-72.25,Papa
6157,Yurac Cusi,-13.47,-72.25,Papa
6161,Suso,-12.42,-74.68,Papa
6162,Chicchisapa,-12.42,-74.68,Papa
6163,Chata Negra,-12.42,-74.68,Papa
6164,Uchuchaqui,-12.42,-74.68,Papa
6165,Kari Huahua,-13.47,-72.25,Papa
6173,Santa Rosa,-10.97,-75.88,Papa
6174,Peshgo Papa,-10.97,-75.88,Papa
6175,Quishuarmy,-11.27,-75.65,Papa
6176,Llamapa Chupam,-11.27,-75.65,Papa
6177,Mano De Oso,-11.27,-75.65,Papa
6181,Muru Imilla,-15.83,-70.02,Papa
6185,Puca Bole,-15.83,-70.02,Papa
6186,Puqya,-13.23,-74.35,Papa
6187,Wamanpa Uman,-13.23,-74.35,Papa
6188,Acashlulum,-11.65,-75.1,Papa
6189,Chihuacup Lulum,-11.65,-75.1,Papa
6190,Cayguay,-12.12,-74.63,Papa
6191,Imilla Blanca,-15.83,-70.02,Papa
6192,Sotamari,-15.83,-70.02,Papa
6193,Wila Imilla,-15.83,-70.02,Papa
6194,Peruanita,-15.83,-70.02,Papa
6195,Pucca Uchuccaspa,-15.83,-70.02,Papa
6196,Jara Callhuan,-10.85,-76.55,Papa
6197,Erasmo Pisqu,-13.23,-74.35,Papa
6198,Algash Papa,-11.27,-75.84,Papa
6199,Yana Mataj,-10.97,-75.88,Papa
6200,Chunta Huarmy,-11.27,-75.84,Papa
6201,Pollunta  Chata,-11.52,-75.65,Papa
6202,Azul Siqui,-11.27,-75.84,Papa
6203,Tamag,-10.97,-75.88,Papa
6204,Siete Colores,-11.27,-75.84,Papa
6205,Pachac Huachanan,-11.52,-75.65,Papa
6206,Muru Capiaj,-10.97,-75.88,Papa
6208,Puca Suytu,-13.23,-74.35,Papa
6209,Kuchipa Akan,-13.23,-74.35,Papa
6210,Sua Pusay,-13.23,-74.35,Papa
6211,Violeta,-11.27,-75.65,Papa
6212,Sandia,-11.27,-75.65,Papa
6213,Cushpaj,-11.52,-75.65,Papa
6214,Badolaque,-10.97,-75.88,Papa
6215,Allqo Pichikan,-13.65,-73.38,Papa
6216,Qala Suytu,-13.65,-73.38,Papa
6217,Chalwanquina,-13.55,-72.7,Papa
6218,Raura Urqu,-13.55,-72.7,Papa
6219,Choqllas,-13.55,-72.7,Papa
6220,Mano Paqana,-13.63,-73.08,Papa
6221,Puca Suito,-13.6,-73.35,Papa
6222,Qala Sawintu,-13.68,-73.12,Papa
6223,Alca Suito,-13.6,-73.35,Papa
6224,Yurac Sisa,-13.52,-73.37,Papa
6225,Yana Imilla,-13.52,-73.37,Papa
6226,Watila,-13.52,-73.37,Papa
6227,Maqta Suytu,-13.6,-73.35,Papa
6228,Watila,-13.6,-73.35,Papa
6229,Susu,-13.52,-73.37,Papa
6230,Papa Ordinaria,-13.52,-73.37,Papa
6231,Yurac Sisa,-13.23,-74.35,Papa
6232,Uqa Papa,-13.23,-74.35,Papa
6233,Yana Allqa,-13.23,-74.35,Papa
6234,Tambinilla,-13.23,-74.35,Papa
6235,Yana Suytu,-13.68,-73.12,Papa
6236,Yurac Susu,-13.65,-73.38,Papa
6237,Putis,-13.63,-73.08,Papa
6238,Puca Suytu,-13.63,-73.08,Papa
6239,Wichi Papa,-13.63,-73.08,Papa
6240,Papa Blanca,-13.55,-72.7,Papa
6241,Wana,-13.55,-72.7,Papa
6242,Tranqa,-13.62,-73.08,Papa
6243,Puca Qala,-13.62,-73.08,Papa
6244,Qawina,-13.62,-73.08,Papa
6245,Pasna Suytu,-13.55,-72.7,Papa
6246,Yurac Ccompis,-13.5,-72.93,Papa
6247,Puca Chawcha,-13.5,-72.93,Papa
6248,Yanama,-13.5,-72.93,Papa
6249,Anaspa Chupan,-13.6,-73.35,Papa
6250,Qawina,-13.6,-73.35,Papa
6251,Yurac Pepino,-14.4,-73.2,Papa
6252,Puca Papa,-14.4,-73.2,Papa
6253,Lekqo,-14.4,-73.2,Papa
6254,Wayru,-14.4,-73.2,Papa
6255,Yana Suito,-13.65,-73.38,Papa
6257,Vilquina,-13.05,-73.7,Papa
6258,Qavillas,-13.05,-73.7,Papa
6259,Qarpas,-13.05,-73.7,Papa
6260,Llipucha,-13.05,-73.7,Papa
6262,Pi±a,-10.47,-76.43,Papa
6263,Yurac Suytu,-10.5,-76.58,Papa
6264,Jibia,-10.47,-76.43,Papa
6265,Walash,-10.45,-76.47,Papa
6266,Habas,-10.5,-76.58,Papa
6267,Chata Negra,-10.45,-76.47,Papa
6268,Blanca,-10.0,-76.3,Papa
6269,Musquina,-10.5,-76.58,Papa
6270,Rosada,-10.53,-76.17,Papa
6271,Auquin Suytu,-10.48,-76.52,Papa
6272,Blanca,-10.48,-76.52,Papa
6273,Waswa Gallo,-13.88,-72.77,Papa
6274,Acu Papa,-13.88,-72.77,Papa
6275,Yurac Papa,-13.88,-72.77,Papa
6276,Allqa Weqocho,-13.88,-72.77,Papa
6277,Puca Qavillas,-13.88,-72.77,Papa
6278,Ccompis,-13.88,-72.77,Papa
6279,Yurac Papa,-13.88,-72.77,Papa
6280,Papa Ernesto,-13.88,-72.77,Papa
6281,Maqta Papa,-13.88,-72.77,Papa
6282,Puca Suytu,-13.88,-72.77,Papa
6283,Yana Suytu,-13.88,-72.77,Papa
6284,Imilla,-13.68,-73.12,Papa
