UBIGEO;NOMBDEP;NOMBPROV;NOMBDIST;rango
130104;LA LIBERTAD;TRUJILLO;HUANCHACO;0 - 0.01
130207;LA LIBERTAD;ASCOPE;SANTIAGO DE CAO;0 - 0.01
130204;LA LIBERTAD;ASCOPE;MAGDALENA DE CAO;0 - 0.01
130206;LA LIBERTAD;ASCOPE;RAZURI;0 - 0.01
130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;0 - 0.01
230101;TACNA;TACNA;TACNA;0 - 0.01
230109;TACNA;TACNA;SAMA;0 - 0.01
230303;TACNA;JORGE BASADRE;ITE;0 - 0.01
180301;MOQUEGUA;ILO;ILO;0 - 0.01
230106;TACNA;TACNA;PACHIA;0 - 0.01
230403;TACNA;TARATA;ESTIQUE;0 - 0.01
230107;TACNA;TACNA;PALCA;0 - 0.01
230402;TACNA;TARATA;HEROES ALBARRACIN;0 - 0.01
230405;TACNA;TARATA;SITAJARA;0 - 0.01
180303;MOQUEGUA;ILO;PACOCHA;0 - 0.01
230401;TACNA;TARATA;TARATA;0 - 0.01
230408;TACNA;TARATA;TICACO;0 - 0.01
40706;AREQUIPA;ISLAY;PUNTA DE BOMBON;0 - 0.01
230406;TACNA;TARATA;SUSAPAYA;0 - 0.01
40703;AREQUIPA;ISLAY;DEAN VALDIVIA;0 - 0.01
230203;TACNA;CANDARAVE;CAMILACA;0 - 0.01
40705;AREQUIPA;ISLAY;MEJIA;0 - 0.01
230201;TACNA;CANDARAVE;CANDARAVE;0 - 0.01
40704;AREQUIPA;ISLAY;ISLAY;0 - 0.01
180106;MOQUEGUA;MARISCAL NIETO;TORATA;0 - 0.01
210405;PUNO;CHUCUITO;PISACOMA;0 - 0.01
40701;AREQUIPA;ISLAY;MOLLENDO;0 - 0.01
40201;AREQUIPA;CAMANA;CAMANA;0 - 0.01
180209;MOQUEGUA;GENERAL SANCHEZ CERRO;QUINISTAQUILLAS;0 - 0.01
210404;PUNO;CHUCUITO;KELLUYO;0 - 0.01
210402;PUNO;CHUCUITO;DESAGUADERO;0 - 0.01
40208;AREQUIPA;CAMANA;SAMUEL PASTOR;0 - 0.01
180201;MOQUEGUA;GENERAL SANCHEZ CERRO;OMATE;0 - 0.01
210504;PUNO;EL COLLAO;SANTA ROSA;0 - 0.01
180102;MOQUEGUA;MARISCAL NIETO;CARUMAS;0 - 0.01
40207;AREQUIPA;CAMANA;QUILCA;0 - 0.01
180203;MOQUEGUA;GENERAL SANCHEZ CERRO;COALAQUE;0 - 0.01
