Especie,Subsp,Especie_Su,Nombre_com,Departamen,Provincia,Distrito,Longitud,Latitud,Altitud
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pusho,PASCO,PASCO,TICLACAYAN,-76.1633333333,-10.5336111111,3545.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chapiña,APURIMAC,COTABAMBAS,MARA,-72.1080555556,-14.0852777778,3788.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Turuña,CUSCO,PAUCARTAMBO,KOSÑIPATA,-71.3763888889,-13.0411111111,1059.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,PUNO,SANDIA,CUYOCUYO,-69.5372222222,-14.4713888889,3427.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Roja,HUANUCO,HUANUCO,CHINCHAO,-76.0666666667,-9.63333333333,1545.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Ñawisapa,HUANUCO,HUANUCO,CHINCHAO,-76.0666666667,-9.63333333333,1545.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Ñawisapa,HUANUCO,HUANUCO,CHINCHAO,-76.0666666667,-9.63333333333,1545.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha blanca,HUANUCO,HUANUCO,CHINCHAO,-76.0666666667,-9.63333333333,1545.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Blanca,HUANUCO,HUANUCO,CHINCHAO,-76.0666666667,-9.63333333333,1545.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Camote Juitu,HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,-76.6761111111,-9.97638888889,3437.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Quitipshu,HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,-76.6761111111,-9.97638888889,3437.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Puka Muru Suyt ´u,HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,-76.6761111111,-9.97638888889,3437.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Gepshu,HUANUCO,HUAMALIES,LLATA,-76.82,-9.55,3496.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,s/n,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Ichipsa,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
