Departamento,Provincia,Distrito,2014,2015,2016
CAJAMARCA,CONTUMAZA,GUZMANGO,74.21875,70.9375,61.5625
CAJAMARCA,SAN PABLO,SAN LUIS,32.549019607843135,28.03921568627451,27.73109243697479
LAMBAYEQUE,CHICLAYO,LAGUNAS,0.0,0.0,0.0
LAMBAYEQUE,CHICLAYO,MONSEFU,0.0,0.0,0.0
LAMBAYEQUE,CHICLAYO,CAYALTI,2.2388059701492535,2.2388059701492535,2.2388059701492535
LIMA,BARRANCA,BARRANCA,87.96992481203007,59.899749373433586,60.0250626566416
LIMA,HUAURA,HUAURA,34.970612930310665,27.91771620486986,39.042821158690174
LIMA,OYON,COCHAMARCA,66.16106897797039,69.55063715627095,67.10003611412063
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,59.913419913419915,58.8474025974026,59.74025974025974
ANCASH,HUAYLAS,PAMPAROMAS,49.60748792270531,49.72826086956522,46.79951690821256
ANCASH,BOLOGNESI,CAJACAY,96.0691823899371,87.81446540880503,89.81132075471699
ANCASH,BOLOGNESI,CANIS,76.66666666666667,77.91666666666667,76.78571428571429
ANCASH,BOLOGNESI,TICLLOS,95.37671232876713,90.1541095890411,86.66666666666667
ANCASH,SANTA,NUEVO CHIMBOTE,14.27710843373494,15.829986613119143,11.47316538882804
AREQUIPA,CONDESUYOS,YANAQUIHUA,51.04611923509561,47.89088863892014,44.83189601299837
AREQUIPA,CASTILLA,MACHAGUAY,27.98573975044563,32.80542986425339,35.02178649237473
AREQUIPA,CASTILLA,ORCOPAMPA,92.12133550488599,95.9792345276873,87.39820846905538
AREQUIPA,CASTILLA,PAMPACOLCA,69.85446985446985,84.23423423423422,74.97952497952498
AREQUIPA,CASTILLA,URACA,57.383820998278836,44.29666718823345,43.21702393991551
AREQUIPA,CAYLLOMA,LLUTA,61.51622943530458,66.91714836223507,64.27424534360951
AREQUIPA,CAYLLOMA,MACA,84.65346534653465,91.98019801980199,87.62376237623762
AREQUIPA,CAYLLOMA,MADRIGAL,63.65432098765432,68.09876543209876,53.05555555555556
AREQUIPA,ISLAY,PUNTA DE BOMBON,63.70716510903427,48.25545171339564,43.18535825545171
AREQUIPA,LA UNION,QUECHUALLA,66.74174174174175,65.6964656964657,66.33906633906635
AREQUIPA,LA UNION,TORO,70.99395313681029,74.7601604744462,65.68405139833712
AREQUIPA,AREQUIPA,VITOR,81.90843905129618,50.09009009009009,61.38996138996139
AREQUIPA,CAMANA,CAMANA,36.36363636363637,36.36363636363637,36.36363636363637
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,27.920104211897524,24.41742654508612,18.106817194963092
AREQUIPA,AREQUIPA,CAYMA,78.8659793814433,84.86745213549337,72.04599524187152
AREQUIPA,AREQUIPA,POCSI,66.98630136986301,68.38777660695469,64.81942714819428
AREQUIPA,CARAVELI,BELLA UNION,10.775081492212966,10.717131474103587,10.041651575516116
AREQUIPA,AREQUIPA,AREQUIPA,87.5,87.5,87.5
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,55.55555555555556,55.55555555555556,55.55555555555556
AREQUIPA,AREQUIPA,MIRAFLORES,4.761904761904762,4.761904761904762,4.761904761904762
AREQUIPA,AREQUIPA,SACHACA,100.0,84.72222222222221,100.0
AREQUIPA,AREQUIPA,MARIANO MELGAR,11.11111111111111,11.11111111111111,9.764309764309765
AYACUCHO,LA MAR,ANCHIHUAY,72.16386554621849,71.875,71.63865546218487
AYACUCHO,HUANTA,PUCACOLPA,85.73405832921404,84.38952051408799,87.67177459218982
HUANCAVELICA,TAYACAJA,ANDAYMARCA,90.9392789373814,93.90120967741935,91.60341555977229
APURIMAC,ABANCAY,CURAHUASI,81.23873504833689,82.20547271833524,83.41799115189251
APURIMAC,CHINCHEROS,OCOBAMBA,88.4850543478261,85.52989130434783,82.48081841432226
APURIMAC,ANDAHUAYLAS,PACOBAMBA,85.7528332433891,84.72746896923907,86.8861305990286
PIURA,MORROPON,CHALACO,57.021791767554475,49.43502824858757,43.22033898305085
PIURA,PAITA,COLAN,0.0,0.0,0.0
PIURA,PAITA,TAMARINDO,0.0,0.0,0.0
PIURA,AYABACA,PAIMAS,0.0,0.0,0.0
PIURA,AYABACA,MONTERO,7.6923076923076925,7.115384615384615,7.451923076923077
PIURA,TALARA,LA BREA,0.0,0.0,0.0
PIURA,SULLANA,LANCONES,0.0,0.0,0.0
PIURA,TALARA,LOS ORGANOS,0.0,0.0,0.0
PIURA,SULLANA,BELLAVISTA,0.0,0.0,0.0
TACNA,TACNA,LA YARADA LOS PALOS,17.50082863771959,13.622804110043088,13.921113689095128
APURIMAC,CHINCHEROS,EL PORVENIR,81.61057692307693,76.6826923076923,71.26696832579185
APURIMAC,CHINCHEROS,ROCCHACC,97.96195652173914,94.15760869565217,88.36317135549872
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,70.62462098241359,72.97680412371133,70.4426925409339
HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,3.9416376306620213,3.934378629500581,3.9284006285441007
CAJAMARCA,CUTERVO,LA RAMADA,65.27777777777779,60.30092592592593,61.458333333333336
MADRE DE DIOS,TAHUAMANU,IÑAPARI,0.0,0.0,0.0
APURIMAC,CHINCHEROS,LOS CHANKAS,93.80165289256198,88.1198347107438,82.64462809917356
PUNO,SAN ROMAN,SAN MIGUEL,87.5,87.5,81.9110576923077
AREQUIPA,ISLAY,MOLLENDO,100.0,100.0,94.828025477707
AREQUIPA,ISLAY,COCACHACRA,70.95201992851727,60.57619408642911,70.88703563305533
AREQUIPA,AREQUIPA,CHARACATO,74.10958904109589,80.13698630136986,62.78538812785388
PUNO,EL COLLAO,SANTA ROSA,0.4748572683355292,0.4830917874396135,0.392512077294686
PUNO,CHUCUITO,HUACULLANI,95.92289719626169,99.4392523364486,89.64485981308411
PUNO,EL COLLAO,CONDURIRI,3.190743338008415,3.225806451612903,3.0201028517999067
PUNO,CHUCUITO,ZEPITA,83.80361173814899,85.32731376975168,75.57844243792326
PUNO,PUNO,CHUCUITO,85.0,88.0,81.86666666666666
PUNO,LAMPA,CALAPUJA,90.990990990991,90.990990990991,89.92117117117117
PUNO,AZANGARO,ACHAYA,68.11926605504587,71.55963302752293,67.54587155963303
PUNO,AZANGARO,CAMINACA,93.09895833333334,95.83333333333334,88.28125
PUNO,MELGAR,SANTA ROSA,99.7671385991058,100.0,95.6430262119751
PUNO,PUNO,MAÑAZO,71.49345930232558,70.25799418604652,70.32945736434108
PUNO,LAMPA,SANTA LUCIA,22.83096484667165,22.887060583395662,21.914734480179508
PUNO,PUNO,HUATA,61.46788990825688,61.46788990825688,59.8776758409786
PUNO,LAMPA,PARATIA,2.991706161137441,3.0015797788309637,2.962085308056872
PUNO,HUANCANE,PUSI,77.42647058823529,77.64705882352942,71.1029411764706
PUNO,HUANCANE,VILQUE CHICO,87.90697674418605,89.43313953488372,82.68895348837209
PUNO,AZANGARO,CHUPA,92.57172131147541,97.64344262295081,98.30601092896175
PUNO,AZANGARO,SANTIAGO DE PUPUJA,90.625,99.90808823529412,93.79595588235294
PUNO,LAMPA,PUCARA,87.54261363636363,89.53125,86.8465909090909
PUNO,AZANGARO,SAN JUAN DE SALINAS,95.01488095238095,97.61904761904762,97.06349206349206
PUNO,MELGAR,UMACHIRI,87.61160714285714,91.78571428571428,85.81932773109243
PUNO,MELGAR,CUPI,73.49016853932584,74.71910112359551,72.82303370786516
PUNO,AZANGARO,POTONI,98.82662835249042,98.85057471264368,98.65900383141762
PUNO,MELGAR,ANTAUTA,99.33970856102003,100.0,94.13907639558555
PUNO,CARABAYA,CRUCERO,70.3997905027933,70.9322625698324,67.39699720670392
PUNO,CARABAYA,USICAYOS,98.08043875685559,99.90859232175502,94.9154478976234
AREQUIPA,CAYLLOMA,TAPAY,83.7929799426934,84.31232091690545,77.17287488061127
ANCASH,PALLASCA,PALLASCA,74.03846153846155,73.69505494505495,67.10164835164835
ANCASH,PALLASCA,TAUCA,59.977409638554214,60.579819277108435,54.63102409638554
ANCASH,POMABAMBA,POMABAMBA,93.07795698924731,99.1263440860215,91.84587813620072
HUANUCO,HUAMALIES,JIRCAN,89.90743505524037,92.44923857868021,91.13168109883547
HUANUCO,MARAÑON,HUACRACHUCO,86.98006932409012,92.45017331022531,85.98353552859619
HUANUCO,MARAÑON,SAN BUENAVENTURA,92.16666666666666,97.0,91.58333333333334
JUNIN,TARMA,HUASAHUASI,89.82541977093294,88.78016234849328,87.97953964194375
JUNIN,CHANCHAMAYO,CHANCHAMAYO,3.6458333333333335,3.604983660130719,3.4211601307189548
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,90.74074074074075,96.29629629629629,95.14403292181069
ANCASH,ASUNCION,CHACAS,98.37101063829788,97.9720744680851,89.09574468085107
ANCASH,ASUNCION,ACOCHACA,94.95967741935483,94.05241935483872,90.02016129032258
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,97.65625,98.40625,91.5625
ANCASH,OCROS,SANTIAGO DE CHILCAS,79.64912280701755,79.04135338345864,81.9838056680162
ANCASH,RECUAY,LLACLLIN,57.41666666666667,53.25,53.25
ANCASH,RECUAY,PAMPAS CHICO,97.96511627906976,96.07558139534885,94.96124031007753
ANCASH,YUNGAY,MATACOTO,62.96874999999999,64.21875,61.16666666666667
ANCASH,YUNGAY,QUILLO,64.18041804180417,57.776402640264024,58.745874587458744
ANCASH,YUNGAY,RANRAHIRCA,82.56578947368422,85.52631578947368,83.15789473684211
ANCASH,YUNGAY,SHUPLUY,73.33333333333333,76.81236673773986,77.84156142365097
ANCASH,HUAYLAS,HUALLANCA,33.51831298557158,32.815390307066224,30.003699593044765
ANCASH,HUAYLAS,HUATA,70.28508771929825,73.68421052631578,66.44736842105263
ANCASH,HUAYLAS,MATO,62.85919540229885,64.58333333333334,56.18661257606491
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,90.86879432624113,89.84929078014184,83.42198581560284
ANCASH,HUAYLAS,SANTA CRUZ,84.99194198227235,90.77482876712328,78.74697824335215
ANCASH,HUAYLAS,SANTO TORIBIO,51.69642857142858,55.98214285714286,48.23529411764706
ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,89.0625,89.21130952380952,86.5079365079365
ANCASH,MARISCAL LUZURIAGA,LLUMPA,86.19565217391305,84.07608695652173,81.35869565217392
