Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,57.00,1078.00,61.00,312.00,...,...,...,15.00,50.00,124.00
JUL-2020,51.00,2169.00,16.00,71.00,...,34.00,...,30.00,98.00,93.00
AGO-2020,119.00,1700.00,...,116.00,...,31.00,...,...,89.00,93.00
SEP-2020,298.00,1309.00,...,47.00,...,75.00,...,...,...,115.00
OCT-2020,25.00,879.00,...,30.00,...,41.00,...,...,29.00,26.00
NOV-2020,...,238.00,...,...,...,22.00,...,...,...,35.00
DIC-2020,...,64.00,8.00,...,...,...,...,...,...,...
ENE-2021,...,50.00,13.00,9.00,...,...,...,...,...,13.00
FEB-2021,39.00,81.00,17.00,5.00,...,...,...,...,...,...
MAR-2021,20.00,270.00,15.00,17.00,...,...,...,...,...,...
ABR-2021,217.00,1028.00,33.00,127.00,...,12.00,...,63.00,16.00,150.00
MAY-2021,352.00,1268.00,...,64.00,...,32.00,...,18.00,36.00,146.00
JUN-2021,103.00,1184.00,33.00,61.00,...,...,...,71.00,...,143.00
JUL-2021,138.00,720.00,14.00,41.00,...,16.00,...,15.00,...,75.00
AGO-2021,102.00,932.00,58.00,85.00,...,37.00,...,...,31.00,100.00
SEP-2021,47.00,1138.00,...,30.00,...,16.00,...,...,30.00,55.00
OCT-2021,114.00,482.00,...,35.00,...,18.00,...,16.00,16.00,15.00
NOV-2021,23.00,684.00,...,16.00,...,...,...,...,...,13.00
DIC-2021,...,133.00,...,...,...,...,...,...,...,29.00
ENE-2022,34.00,322.00,17.00,17.00,...,...,...,...,...,51.00
FEB-2022,38.00,270.00,22.00,27.00,...,...,...,...,...,20.00
MAR-2022,58.00,456.00,20.00,72.00,...,90.00,...,31.00,...,21.00
ABR-2022,393.00,1114.00,42.00,94.00,...,86.00,...,38.00,...,58.00
MAY-2022,394.00,1608.00,96.00,47.00,...,215.00,...,104.00,24.00,71.00
JUN-2022,357.00,1841.00,66.00,34.00,...,81.00,...,39.00,...,31.00
JUL-2022,123.00,1343.00,41.00,91.00,...,32.00,...,19.00,...,67.00
AGO-2022,182.00,931.00,146.00,84.00,...,426.00,...,199.00,...,10.00
SEP-2022,147.00,436.00,142.00,78.00,22.00,434.00,...,117.00,...,10.00
OCT-2022,...,225.00,50.00,35.00,...,231.00,...,...,59.00,18.00
NOV-2022,...,65.00,...,...,...,...,...,...,...,11.00
DIC-2022,...,...,...,5.00,...,...,...,...,...,18.00
ENE-2023,...,49.00,...,...,...,15.00,...,...,...,1.00
FEB-2023,13.00,209.00,155.00,...,...,21.00,...,...,...,38.00
MAR-2023,...,120.00,104.00,...,...,...,...,...,...,18.00
ABR-2023,17.00,285.00,52.00,...,...,...,...,...,...,41.00
MAY-2023,97.00,585.00,30.00,32.00,...,...,...,16.00,...,...
JUN-2023,28.00,275.00,...,...,...,...,...,35.00,35.00,91.00
JUL-2023,69.00,594.00,...,...,...,16.00,...,...,...,82.00
AGO-2023,60.00,684.00,17.00,...,...,13.00,...,18.00,...,79.00
SEP-2023,176.00,771.00,...,31.00,...,71.00,...,35.00,...,83.00
OCT-2023,40.00,467.00,...,33.00,...,160.00,...,19.00,...,14.00
NOV-2023,...,202.00,...,...,...,35.00,...,...,...,...
DIC-2023,...,116.00,...,...,...,...,...,23.00,...,12.00
ENE-2024,...,519.00,...,2.00,...,...,...,...,...,...
FEB-2024,18.00,41.00,...,6.00,...,...,...,...,...,...
MAR-2024,33.00,510.00,...,...,...,...,...,8.00,...,17.00
ABR-2024,130.00,984.00,19.00,...,...,39.00,...,17.00,...,142.00
MAY-2024,137.00,1974.00,98.00,33.00,...,149.00,...,...,16.00,42.00
JUN-2024,103.00,2200.00,20.00,...,...,79.00,...,45.00,...,243.00
JUL-2024,38.00,2587.00,61.00,...,...,144.00,...,17.00,...,81.00
AGO-2024,40.00,2768.00,22.00,...,...,194.00,...,50.00,44.00,310.00
SEP-2024,9.00,1455.00,...,...,...,252.00,...,18.00,33.00,254.00
OCT-2024,9.00,773.00,38.00,10.00,...,188.00,...,18.00,...,103.00
NOV-2024,14.00,108.00,...,...,...,64.00,...,...,30.00,20.00
DIC-2024,14.00,176.00,24.00,...,...,...,...,...,...,...
