Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,47.00,18.00,...,21.00,...,...,...,...,...,...,15.00
FEB-2015,16.00,160.00,...,12.00,...,...,...,...,...,...,...
MAR-2015,46.00,637.00,...,240.00,...,...,...,...,29.00,...,42.00
ABR-2015,254.00,1008.00,...,400.00,...,...,...,...,136.00,...,...
MAY-2015,316.00,1503.00,12.00,277.00,...,...,...,...,60.00,...,18.00
JUN-2015,83.00,1384.00,...,589.00,...,31.00,...,...,48.00,...,16.00
JUL-2015,4.00,1808.00,30.00,402.00,...,32.00,...,...,21.00,...,...
AGO-2015,65.00,2385.00,...,639.00,...,205.00,...,...,89.00,...,...
SEP-2015,42.00,2471.00,...,545.00,...,180.00,...,...,48.00,9.00,...
OCT-2015,...,1251.00,...,809.00,...,263.00,...,...,25.00,...,...
NOV-2015,...,413.00,...,180.00,...,32.00,...,...,...,5.00,...
DIC-2015,13.00,141.00,...,127.00,...,...,...,...,...,...,...
ENE-2016,...,272.00,45.00,70.00,...,9.00,...,...,...,...,...
FEB-2016,198.00,229.00,139.00,...,...,...,...,...,25.00,...,...
MAR-2016,167.00,359.00,69.00,97.00,...,...,...,...,101.00,...,27.00
ABR-2016,274.00,650.00,54.00,240.00,...,20.00,...,...,292.00,...,109.00
MAY-2016,300.00,505.00,101.00,222.00,...,...,...,...,193.00,...,93.00
JUN-2016,178.00,553.00,83.00,226.00,...,117.00,...,...,178.00,...,32.00
JUL-2016,48.00,1083.00,45.00,373.00,...,318.00,...,...,350.00,...,50.00
AGO-2016,103.00,1029.00,166.00,1170.00,...,454.00,...,...,445.00,...,43.00
SEP-2016,65.00,1008.00,119.00,361.00,...,874.00,...,...,220.00,...,10.00
OCT-2016,...,432.00,113.00,131.00,...,376.00,...,...,64.00,...,...
NOV-2016,11.00,116.00,...,40.00,...,128.00,...,...,...,...,...
DIC-2016,...,45.00,102.00,17.00,...,...,...,...,...,...,1.00
ENE-2017,7.00,50.00,...,29.00,...,...,...,...,...,...,...
FEB-2017,25.00,81.00,94.00,16.00,...,...,...,...,...,...,17.00
MAR-2017,120.00,305.00,81.00,84.00,...,...,...,...,104.00,...,22.00
ABR-2017,210.00,840.00,156.00,412.00,...,15.00,...,...,241.00,...,125.00
MAY-2017,535.00,473.00,236.00,466.00,...,100.00,...,...,323.00,...,167.00
JUN-2017,224.00,492.00,97.00,223.00,...,170.00,...,...,185.00,...,162.00
JUL-2017,183.00,1220.00,46.00,282.00,...,466.00,...,...,451.00,...,93.00
AGO-2017,364.00,1094.00,231.00,538.00,...,680.00,...,...,366.00,...,226.00
SEP-2017,182.00,985.00,165.00,562.00,...,691.00,...,...,370.00,...,215.00
OCT-2017,70.00,1112.00,125.00,527.00,...,638.00,...,...,149.00,...,95.00
NOV-2017,64.00,603.00,120.00,248.00,...,432.00,...,...,27.00,...,94.00
DIC-2017,67.00,102.00,...,15.00,...,82.00,...,...,...,...,...
ENE-2018,59.00,344.00,58.00,86.00,...,...,...,...,...,...,32.00
FEB-2018,183.00,192.00,27.00,107.00,...,...,...,...,15.00,14.00,23.00
MAR-2018,274.00,877.00,209.00,349.00,...,14.00,...,...,202.00,...,52.00
ABR-2018,427.00,1448.00,224.00,393.00,...,33.00,...,...,260.00,...,48.00
MAY-2018,884.00,1099.00,216.00,866.00,...,41.00,...,17.00,149.00,...,141.00
JUN-2018,223.00,828.00,94.00,448.00,...,97.00,...,...,111.00,...,215.00
JUL-2018,156.00,817.00,...,747.00,...,188.00,...,...,223.00,...,52.00
AGO-2018,286.00,1420.00,1.00,750.00,17.00,238.00,...,...,309.00,...,106.00
SEP-2018,95.00,1293.00,49.00,861.00,...,503.00,...,...,171.00,...,44.00
OCT-2018,63.00,1067.00,...,468.00,...,555.00,...,...,74.00,...,105.00
NOV-2018,32.00,220.00,...,136.00,...,211.00,...,...,...,...,107.00
DIC-2018,5.00,70.00,...,...,...,...,...,...,...,...,...
ENE-2019,12.00,30.00,11.00,10.00,...,...,...,...,...,...,23.00
FEB-2019,14.00,58.00,29.00,31.00,...,...,...,...,16.00,...,26.00
MAR-2019,18.00,288.00,16.00,105.00,...,...,...,...,...,...,50.00
ABR-2019,501.00,745.00,42.00,276.00,...,...,...,...,114.00,...,117.00
MAY-2019,349.00,795.00,46.00,317.00,...,67.00,...,...,144.00,...,193.00
JUN-2019,216.00,757.00,61.00,132.00,...,166.00,...,...,132.00,...,92.00
JUL-2019,127.00,952.00,28.00,264.00,...,173.00,...,5.00,139.00,...,238.00
AGO-2019,154.00,1213.00,17.00,332.00,13.00,408.00,...,31.00,222.00,...,154.00
SEP-2019,78.00,863.00,...,241.00,...,745.00,...,...,144.00,...,42.00
OCT-2019,...,555.00,33.00,114.00,...,299.00,...,...,...,...,96.00
NOV-2019,21.00,...,...,...,...,23.00,...,...,...,...,18.00
DIC-2019,24.00,53.00,...,...,...,...,...,...,...,...,29.00
ENE-2020,8.00,23.00,11.00,...,...,...,...,...,...,...,...
FEB-2020,30.00,6.00,49.00,17.00,...,...,...,...,...,...,...
MAR-2020,104.00,243.00,...,51.00,...,16.00,...,...,116.00,...,79.00
ABR-2020,84.00,1240.00,20.00,153.00,...,...,...,...,128.00,...,260.00
MAY-2020,69.00,1219.00,75.00,282.00,...,37.00,...,...,35.00,...,308.00
