Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,28.00,2937.00,90.00,605.00,...,...,...,...,445.00,125.00
JUL-2020,...,4616.00,28.00,527.00,...,...,...,19.00,530.00,80.00
AGO-2020,...,2513.00,32.00,99.00,...,...,...,...,312.00,90.00
SEP-2020,...,2569.00,98.00,...,...,...,...,...,111.00,187.00
OCT-2020,...,1761.00,81.00,...,...,...,...,...,33.00,176.00
NOV-2020,...,34.00,...,17.00,...,...,...,...,33.00,...
DIC-2020,...,185.00,31.00,31.00,...,...,...,...,50.00,...
ENE-2021,...,1927.00,32.00,140.00,...,...,...,...,264.00,73.00
FEB-2021,...,4250.00,72.00,530.00,...,...,...,...,975.00,222.00
MAR-2021,...,3254.00,164.00,109.00,...,...,...,...,552.00,30.00
ABR-2021,...,3685.00,103.00,131.00,...,...,...,...,657.00,129.00
MAY-2021,...,4619.00,22.00,211.00,...,...,...,...,1246.00,38.00
JUN-2021,...,4949.00,15.00,143.00,...,...,...,...,1278.00,172.00
JUL-2021,...,2661.00,50.00,89.00,...,...,...,...,516.00,107.00
AGO-2021,...,2166.00,55.00,153.00,...,...,...,...,86.00,45.00
SEP-2021,...,2117.00,72.00,29.00,...,...,...,...,94.00,61.00
OCT-2021,...,2097.00,57.00,30.00,...,...,...,...,47.00,121.00
NOV-2021,...,2356.00,59.00,89.00,...,...,...,...,199.00,31.00
DIC-2021,...,2091.00,28.00,130.00,...,...,...,...,199.00,49.00
ENE-2022,...,1857.00,30.00,294.00,...,...,...,...,123.00,...
FEB-2022,...,3304.00,374.00,240.00,...,...,...,...,143.00,...
MAR-2022,...,3507.00,315.00,230.00,...,...,...,...,626.00,153.00
ABR-2022,...,5129.00,330.00,332.00,...,...,...,...,825.00,94.00
MAY-2022,...,4086.00,469.00,169.00,...,...,...,...,661.00,90.00
JUN-2022,...,2304.00,260.00,164.00,...,...,...,...,427.00,1356.00
JUL-2022,...,2111.00,211.00,122.00,...,...,...,...,514.00,37.00
AGO-2022,...,800.00,135.00,56.00,...,...,...,...,227.00,22.00
SEP-2022,...,662.00,1362.00,29.00,...,...,...,...,357.00,106.00
OCT-2022,...,2135.00,961.00,381.00,...,...,...,...,810.00,134.00
NOV-2022,...,700.00,374.00,...,...,...,...,...,260.00,106.00
DIC-2022,...,918.00,212.00,30.00,...,...,...,...,428.00,25.00
ENE-2023,...,1612.00,205.00,12.00,...,...,...,...,652.00,...
FEB-2023,...,4388.00,635.00,163.00,...,...,...,...,2458.00,153.00
MAR-2023,...,4934.00,751.00,...,...,...,...,...,2302.00,321.00
ABR-2023,...,4443.00,803.00,...,...,...,...,...,2976.00,154.00
MAY-2023,...,6359.00,486.00,68.00,...,...,...,...,1526.00,57.00
JUN-2023,...,3643.00,227.00,26.00,...,...,...,...,3198.00,125.00
JUL-2023,...,2092.00,185.00,22.00,...,...,...,...,1701.00,118.00
AGO-2023,...,1012.00,91.00,...,...,...,...,...,124.00,16.00
SEP-2023,...,1902.00,767.00,...,...,...,...,...,387.00,58.00
OCT-2023,...,1675.00,341.00,...,...,...,...,...,173.00,84.00
NOV-2023,...,1738.00,519.00,...,...,...,...,...,171.00,57.00
DIC-2023,...,1892.00,96.00,...,...,...,...,...,514.00,18.00
ENE-2024,...,5602.00,59.00,114.00,...,...,...,...,1958.00,210.00
FEB-2024,...,6556.00,90.00,59.00,...,...,...,...,1838.00,94.00
MAR-2024,...,5198.00,17.00,102.00,...,...,...,...,718.00,82.00
ABR-2024,...,3948.00,30.00,57.00,...,...,...,...,830.00,75.00
MAY-2024,...,4963.00,35.00,...,...,...,...,...,1033.00,57.00
JUN-2024,...,5181.00,34.00,...,...,...,...,...,1293.00,58.00
JUL-2024,...,2474.00,39.00,...,...,...,...,...,656.00,93.00
AGO-2024,...,3467.00,235.00,...,...,...,...,...,617.00,205.00
SEP-2024,...,3452.00,324.00,27.00,...,...,...,...,546.00,172.00
OCT-2024,...,3811.00,261.00,...,...,...,...,...,234.00,515.00
NOV-2024,1.00,1603.00,290.00,...,...,7.00,...,...,44.00,80.00
DIC-2024,...,1818.00,164.00,30.00,...,...,...,...,267.00,90.00
