Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,288.00,8115.00,584.00,1139.00,...,...,...,...,159.00,775.00
JUL-2020,173.00,7928.00,742.00,341.00,...,15.00,...,33.00,425.00,474.00
AGO-2020,107.00,3215.00,124.00,237.00,...,...,...,9.00,225.00,260.00
SEP-2020,197.00,1363.00,...,...,21.00,...,...,...,62.00,196.00
OCT-2020,...,274.00,19.00,...,...,31.00,...,...,...,10.00
NOV-2020,33.00,305.00,11.00,24.00,...,...,...,...,...,26.00
DIC-2020,13.00,622.00,25.00,41.00,...,...,...,...,13.00,66.00
ENE-2021,46.00,1982.00,414.00,31.00,...,11.00,...,...,...,57.00
FEB-2021,105.00,2763.00,462.00,95.00,...,...,...,14.00,119.00,309.00
MAR-2021,290.00,5214.00,496.00,251.00,...,...,...,18.00,29.00,471.00
ABR-2021,719.00,5371.00,554.00,304.00,...,20.00,...,...,86.00,777.00
MAY-2021,658.00,6666.00,303.00,153.00,...,...,...,...,320.00,631.00
JUN-2021,449.00,6455.00,429.00,231.00,...,13.00,...,22.00,79.00,812.00
JUL-2021,274.00,4624.00,327.00,287.00,...,11.00,...,15.00,87.00,581.00
AGO-2021,135.00,1100.00,54.00,147.00,...,...,...,43.00,...,149.00
SEP-2021,...,183.00,...,...,...,...,...,...,...,...
OCT-2021,33.00,93.00,...,...,...,...,...,...,...,...
NOV-2021,...,155.00,15.00,...,...,7.00,...,...,...,12.00
DIC-2021,41.00,524.00,26.00,42.00,...,...,...,...,17.00,29.00
ENE-2022,128.00,1791.00,46.00,121.00,...,...,...,...,51.00,13.00
FEB-2022,470.00,4956.00,780.00,415.00,...,...,...,...,59.00,18.00
MAR-2022,590.00,6620.00,1659.00,861.00,17.00,160.00,...,22.00,64.00,386.00
ABR-2022,789.00,10157.00,2356.00,826.00,...,589.00,...,31.00,132.00,627.00
MAY-2022,1483.00,11164.00,1952.00,505.00,...,1224.00,...,60.00,82.00,529.00
JUN-2022,1649.00,10417.00,1799.00,415.00,...,846.00,...,74.00,493.00,279.00
JUL-2022,505.00,9635.00,664.00,407.00,...,147.00,...,85.00,123.00,408.00
AGO-2022,125.00,1939.00,90.00,77.00,...,53.00,...,124.00,9.00,197.00
SEP-2022,4.00,564.00,30.00,...,...,118.00,...,8.00,31.00,16.00
OCT-2022,45.00,121.00,21.00,...,...,...,...,34.00,...,14.00
NOV-2022,...,137.00,37.00,...,...,...,...,...,...,7.00
DIC-2022,...,426.00,131.00,...,...,18.00,...,13.00,11.00,80.00
ENE-2023,15.00,940.00,409.00,...,...,...,...,5.00,13.00,86.00
FEB-2023,11.00,1990.00,1010.00,...,...,23.00,...,...,75.00,246.00
MAR-2023,97.00,4013.00,2576.00,23.00,...,47.00,...,...,113.00,556.00
ABR-2023,382.00,5011.00,1938.00,68.00,...,63.00,...,...,163.00,742.00
MAY-2023,489.00,8067.00,2714.00,75.00,...,288.00,...,23.00,134.00,376.00
JUN-2023,719.00,8593.00,1989.00,61.00,...,...,...,92.00,92.00,738.00
JUL-2023,448.00,6984.00,1548.00,90.00,...,47.00,...,116.00,100.00,1117.00
AGO-2023,143.00,3933.00,133.00,21.00,...,...,...,...,...,518.00
SEP-2023,172.00,785.00,49.00,2.00,...,4.00,...,17.00,...,116.00
OCT-2023,8.00,295.00,...,...,...,...,...,...,...,40.00
NOV-2023,30.00,564.00,25.00,...,...,...,...,...,...,263.00
DIC-2023,...,2553.00,351.00,11.00,...,...,...,...,108.00,222.00
ENE-2024,74.00,4238.00,588.00,74.00,...,21.00,...,...,85.00,812.00
FEB-2024,34.00,5777.00,1144.00,210.00,...,202.00,...,31.00,55.00,496.00
MAR-2024,137.00,9407.00,1449.00,156.00,...,353.00,...,16.00,175.00,691.00
ABR-2024,352.00,14329.00,1516.00,248.00,...,120.00,...,17.00,18.00,626.00
MAY-2024,540.00,15177.00,1454.00,50.00,...,1031.00,...,42.00,87.00,676.00
JUN-2024,318.00,14911.00,1602.00,20.00,...,265.00,...,...,352.00,1260.00
JUL-2024,140.00,11743.00,1142.00,34.00,...,262.00,...,37.00,54.00,503.00
AGO-2024,51.00,2638.00,144.00,...,...,91.00,...,15.00,22.00,308.00
SEP-2024,...,1147.00,...,...,...,36.00,...,...,...,52.00
OCT-2024,...,472.00,...,...,...,39.00,...,...,...,9.00
NOV-2024,43.00,954.00,42.00,...,...,30.00,...,...,21.00,98.00
DIC-2024,24.00,2262.00,230.00,32.00,...,60.00,...,...,38.00,235.00
