Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,15.00,710.00,76.00,135.00,...,...,...,...,...,...,...
FEB-2015,...,2786.00,193.00,453.00,...,...,...,...,...,...,...
MAR-2015,72.00,7664.00,736.00,1233.00,...,...,...,...,24.00,16.00,65.00
ABR-2015,121.00,12225.00,986.00,2235.00,...,...,...,...,76.00,22.00,307.00
MAY-2015,215.00,10924.00,796.00,1611.00,...,20.00,...,...,88.00,...,564.00
JUN-2015,157.00,9982.00,803.00,1538.00,...,29.00,...,...,177.00,...,644.00
JUL-2015,31.00,11011.00,549.00,282.00,...,...,...,...,91.00,...,535.00
AGO-2015,51.00,4796.00,31.00,780.00,...,...,...,16.00,15.00,...,382.00
SEP-2015,...,1068.00,...,246.00,...,31.00,...,...,43.00,...,26.00
OCT-2015,12.00,143.00,...,74.00,...,8.00,...,...,...,...,23.00
NOV-2015,...,39.00,5.00,6.00,...,...,...,...,...,...,...
DIC-2015,...,417.00,236.00,102.00,...,...,...,17.00,33.00,...,31.00
ENE-2016,...,701.00,301.00,231.00,...,...,...,...,...,16.00,15.00
FEB-2016,15.00,1709.00,1645.00,459.00,...,...,...,...,...,...,90.00
MAR-2016,69.00,3647.00,3605.00,673.00,...,3.00,...,...,131.00,...,342.00
ABR-2016,216.00,5456.00,4088.00,1296.00,...,...,...,...,304.00,17.00,1204.00
MAY-2016,416.00,5604.00,4554.00,1920.00,...,38.00,...,...,406.00,1.00,1700.00
JUN-2016,131.00,6640.00,3307.00,1386.00,...,58.00,...,...,163.00,...,1692.00
JUL-2016,139.00,7559.00,1712.00,260.00,...,102.00,...,...,251.00,...,1799.00
AGO-2016,34.00,1716.00,384.00,506.00,...,45.00,...,...,67.00,...,760.00
SEP-2016,9.00,337.00,112.00,105.00,...,10.00,...,...,56.00,...,244.00
OCT-2016,...,68.00,...,28.00,...,31.00,...,...,...,...,...
NOV-2016,...,58.00,8.00,52.00,11.00,...,...,...,...,...,...
DIC-2016,...,899.00,701.00,56.00,...,...,...,...,...,...,61.00
ENE-2017,15.00,1788.00,826.00,224.00,...,...,...,...,...,...,117.00
FEB-2017,30.00,3492.00,2176.00,403.00,...,...,...,...,11.00,54.00,442.00
MAR-2017,102.00,4865.00,3238.00,703.00,...,...,...,...,20.00,20.00,804.00
ABR-2017,344.00,4579.00,4172.00,1532.00,...,...,...,...,201.00,34.00,991.00
MAY-2017,493.00,4063.00,5222.00,1427.00,...,33.00,...,...,277.00,...,1825.00
JUN-2017,319.00,5067.00,3576.00,1460.00,16.00,37.00,31.00,...,197.00,14.00,2358.00
JUL-2017,168.00,6656.00,3374.00,373.00,49.00,93.00,13.00,...,207.00,...,1711.00
AGO-2017,229.00,3376.00,1381.00,1101.00,...,20.00,...,...,246.00,...,2120.00
SEP-2017,149.00,2059.00,579.00,298.00,...,4.00,...,...,166.00,...,1241.00
OCT-2017,114.00,292.00,50.00,71.00,...,23.00,...,...,13.00,25.00,260.00
NOV-2017,...,87.00,45.00,30.00,9.00,...,...,...,...,...,81.00
DIC-2017,...,616.00,710.00,103.00,...,...,...,...,...,62.00,163.00
ENE-2018,55.00,1872.00,1202.00,436.00,...,...,...,...,...,...,68.00
FEB-2018,92.00,2519.00,2339.00,516.00,...,...,...,...,...,32.00,136.00
MAR-2018,130.00,5309.00,4345.00,1265.00,...,...,...,...,16.00,15.00,184.00
ABR-2018,449.00,7547.00,5652.00,1029.00,...,...,...,30.00,193.00,47.00,1007.00
MAY-2018,788.00,7308.00,4955.00,1486.00,...,14.00,...,...,396.00,...,927.00
JUN-2018,293.00,8207.00,4100.00,1274.00,...,77.00,...,...,417.00,...,1112.00
JUL-2018,152.00,7801.00,3668.00,969.00,...,31.00,...,...,270.00,20.00,709.00
AGO-2018,51.00,1958.00,827.00,420.00,...,37.00,...,...,182.00,2.00,755.00
SEP-2018,...,359.00,...,98.00,...,...,...,...,25.00,...,85.00
OCT-2018,...,52.00,25.00,64.00,...,...,...,...,23.00,...,...
NOV-2018,...,21.00,...,15.00,...,...,...,...,...,...,30.00
DIC-2018,...,259.00,231.00,71.00,...,...,...,...,...,...,15.00
ENE-2019,301.00,1487.00,851.00,270.00,...,...,...,...,...,35.00,176.00
FEB-2019,23.00,2628.00,1468.00,670.00,...,...,...,...,...,35.00,464.00
MAR-2019,296.00,4741.00,1245.00,1133.00,...,...,18.00,...,13.00,...,637.00
ABR-2019,392.00,6755.00,2885.00,1499.00,...,...,...,...,97.00,...,976.00
MAY-2019,548.00,5305.00,3137.00,1016.00,...,...,...,32.00,446.00,26.00,1513.00
JUN-2019,412.00,5761.00,3348.00,790.00,...,46.00,...,15.00,336.00,28.00,1443.00
JUL-2019,334.00,4679.00,2088.00,976.00,...,...,...,...,124.00,41.00,1339.00
AGO-2019,50.00,1721.00,54.00,270.00,...,9.00,...,...,160.00,...,783.00
SEP-2019,14.00,287.00,24.00,15.00,...,49.00,...,...,15.00,...,126.00
OCT-2019,...,64.00,...,31.00,30.00,...,...,...,3.00,...,57.00
NOV-2019,...,145.00,15.00,2.00,...,15.00,...,...,...,...,...
DIC-2019,...,412.00,132.00,78.00,...,...,...,...,...,12.00,83.00
ENE-2020,107.00,1591.00,952.00,312.00,...,15.00,...,...,...,36.00,183.00
FEB-2020,226.00,4120.00,2879.00,669.00,...,34.00,...,...,...,49.00,449.00
MAR-2020,785.00,5865.00,3522.00,646.00,...,18.00,...,...,32.00,78.00,1442.00
ABR-2020,181.00,7746.00,1714.00,986.00,...,56.00,...,...,130.00,...,1244.00
MAY-2020,299.00,7170.00,913.00,1096.00,...,18.00,...,...,43.00,...,1099.00
