Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,...,555.00,22.00,109.00,...,...,...,...,...,60.00
JUL-2020,21.00,429.00,15.00,12.00,...,...,...,16.00,21.00,64.00
AGO-2020,21.00,437.00,...,12.00,...,13.00,...,...,19.00,...
SEP-2020,24.00,280.00,...,22.00,...,...,...,...,...,54.00
OCT-2020,...,159.00,...,8.00,...,...,...,...,...,14.00
NOV-2020,15.00,58.00,...,...,...,...,...,...,...,...
DIC-2020,16.00,173.00,...,18.00,...,...,...,...,...,13.00
ENE-2021,7.00,306.00,...,21.00,...,...,...,...,...,32.00
FEB-2021,13.00,672.00,20.00,15.00,...,...,...,...,...,67.00
MAR-2021,156.00,778.00,...,41.00,...,4.00,...,...,...,77.00
ABR-2021,286.00,1444.00,...,82.00,...,...,...,...,...,243.00
MAY-2021,31.00,1556.00,...,51.00,...,...,...,...,...,227.00
JUN-2021,...,976.00,...,...,...,...,19.00,...,...,146.00
JUL-2021,61.00,704.00,35.00,37.00,...,...,...,...,...,84.00
AGO-2021,...,626.00,...,12.00,...,...,...,...,19.00,59.00
SEP-2021,32.00,311.00,...,31.00,...,...,...,...,22.00,16.00
OCT-2021,58.00,196.00,...,...,...,...,...,...,...,...
NOV-2021,...,45.00,...,...,...,...,...,...,...,...
DIC-2021,...,86.00,...,...,...,...,...,...,...,...
ENE-2022,20.00,156.00,6.00,17.00,...,...,...,...,...,...
FEB-2022,29.00,336.00,...,38.00,...,...,...,...,...,22.00
MAR-2022,103.00,943.00,47.00,51.00,...,67.00,...,...,...,49.00
ABR-2022,114.00,1349.00,114.00,35.00,...,73.00,...,...,64.00,55.00
MAY-2022,112.00,1193.00,142.00,61.00,...,238.00,...,...,208.00,356.00
JUN-2022,107.00,635.00,89.00,56.00,...,166.00,...,...,76.00,220.00
JUL-2022,29.00,540.00,...,50.00,...,4.00,...,...,...,...
AGO-2022,11.00,389.00,28.00,19.00,...,56.00,...,27.00,...,98.00
SEP-2022,...,103.00,28.00,...,...,10.00,...,...,...,50.00
OCT-2022,...,59.00,21.00,...,...,...,...,...,14.00,4.00
NOV-2022,...,16.00,...,...,...,...,...,...,...,27.00
DIC-2022,5.00,23.00,...,...,...,...,...,...,...,31.00
ENE-2023,...,200.00,12.00,12.00,...,...,...,...,...,44.00
FEB-2023,...,258.00,...,...,...,33.00,...,...,...,109.00
MAR-2023,20.00,648.00,...,14.00,...,...,...,...,...,233.00
ABR-2023,118.00,962.00,40.00,31.00,...,19.00,...,13.00,...,162.00
MAY-2023,...,1296.00,44.00,19.00,...,10.00,...,...,...,128.00
JUN-2023,...,568.00,26.00,...,...,...,...,...,...,175.00
JUL-2023,11.00,332.00,...,...,...,...,...,...,...,111.00
AGO-2023,42.00,272.00,...,...,...,12.00,...,...,...,82.00
SEP-2023,44.00,199.00,...,...,...,...,...,...,...,33.00
OCT-2023,9.00,237.00,...,...,...,...,...,...,...,27.00
NOV-2023,...,179.00,...,...,...,...,...,...,...,70.00
DIC-2023,...,315.00,...,...,...,...,...,11.00,...,98.00
ENE-2024,...,451.00,19.00,...,...,...,...,20.00,...,49.00
FEB-2024,...,375.00,...,...,...,...,...,...,...,78.00
MAR-2024,18.00,1145.00,...,26.00,...,59.00,...,...,...,169.00
ABR-2024,12.00,1231.00,23.00,11.00,...,23.00,...,...,...,267.00
MAY-2024,17.00,890.00,...,...,...,97.00,...,...,...,34.00
JUN-2024,5.00,669.00,...,...,...,...,...,...,...,26.00
JUL-2024,...,277.00,...,...,...,11.00,...,...,...,92.00
AGO-2024,...,256.00,...,...,...,...,...,22.00,...,...
SEP-2024,...,114.00,...,...,...,...,...,...,...,21.00
OCT-2024,...,38.00,...,...,...,...,...,...,10.00,31.00
NOV-2024,...,90.00,...,...,...,7.00,...,...,...,14.00
DIC-2024,...,184.00,...,...,...,...,...,...,11.00,...
