Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,...,119.00,...,35.00,...,...,...,...,...,...,...
FEB-2015,2.00,441.00,...,15.00,...,...,...,...,...,...,...
MAR-2015,17.00,1175.00,11.00,242.00,...,...,...,...,...,...,103.00
ABR-2015,31.00,1015.00,...,232.00,...,21.00,...,...,...,14.00,130.00
MAY-2015,...,997.00,...,104.00,...,...,...,...,...,...,48.00
JUN-2015,...,639.00,...,121.00,...,...,...,...,...,...,41.00
JUL-2015,...,652.00,21.00,...,...,...,...,10.00,...,...,22.00
AGO-2015,14.00,570.00,...,...,...,...,...,...,...,...,32.00
SEP-2015,...,336.00,...,16.00,...,...,...,...,...,...,15.00
OCT-2015,...,39.00,...,...,...,...,...,...,...,...,...
NOV-2015,...,9.00,...,...,...,...,...,...,...,...,...
DIC-2015,...,10.00,...,...,...,...,...,...,...,...,...
ENE-2016,...,40.00,...,...,...,...,...,...,...,...,...
FEB-2016,...,475.00,...,30.00,...,...,...,...,16.00,...,116.00
MAR-2016,8.00,797.00,19.00,77.00,...,...,...,5.00,...,...,264.00
ABR-2016,14.00,718.00,66.00,120.00,...,11.00,...,...,...,...,338.00
MAY-2016,11.00,282.00,15.00,31.00,...,11.00,...,...,...,11.00,286.00
JUN-2016,17.00,173.00,...,75.00,...,...,...,...,...,...,132.00
JUL-2016,...,382.00,13.00,...,...,...,...,...,...,...,141.00
AGO-2016,20.00,417.00,37.00,87.00,...,16.00,...,...,8.00,...,168.00
SEP-2016,18.00,143.00,...,19.00,...,...,...,...,9.00,...,23.00
OCT-2016,...,47.00,...,8.00,...,...,...,...,...,...,2.00
NOV-2016,...,14.00,...,...,...,...,...,...,...,...,6.00
DIC-2016,...,32.00,...,...,...,...,...,...,...,...,13.00
ENE-2017,...,54.00,...,...,...,...,...,...,...,...,...
FEB-2017,...,147.00,32.00,77.00,...,...,...,...,...,11.00,38.00
MAR-2017,5.00,695.00,46.00,4.00,...,...,...,...,...,...,165.00
ABR-2017,...,1072.00,69.00,66.00,...,...,...,19.00,...,...,532.00
MAY-2017,2.00,710.00,114.00,78.00,...,...,...,...,...,...,658.00
JUN-2017,...,725.00,50.00,79.00,...,2.00,...,...,13.00,...,293.00
JUL-2017,...,500.00,30.00,41.00,...,...,...,...,...,...,274.00
AGO-2017,7.00,367.00,63.00,75.00,14.00,21.00,...,...,...,19.00,247.00
SEP-2017,3.00,198.00,...,13.00,...,19.00,...,...,...,...,309.00
OCT-2017,...,154.00,26.00,27.00,...,27.00,...,...,13.00,...,105.00
NOV-2017,2.00,56.00,5.00,16.00,...,...,...,...,...,...,52.00
DIC-2017,1.00,72.00,7.00,2.00,...,...,...,...,...,...,58.00
ENE-2018,...,203.00,...,14.00,...,...,...,...,...,...,29.00
FEB-2018,...,317.00,6.00,37.00,...,...,...,...,9.00,...,26.00
MAR-2018,13.00,729.00,34.00,74.00,...,...,16.00,...,...,...,232.00
ABR-2018,...,1288.00,134.00,114.00,...,...,...,...,...,...,247.00
MAY-2018,59.00,1316.00,25.00,183.00,...,...,3.00,15.00,...,13.00,375.00
JUN-2018,...,953.00,51.00,129.00,...,...,...,...,...,...,395.00
JUL-2018,21.00,479.00,...,125.00,...,1.00,...,...,16.00,...,150.00
AGO-2018,7.00,654.00,27.00,427.00,...,45.00,...,...,12.00,45.00,84.00
SEP-2018,...,268.00,...,185.00,...,16.00,...,...,26.00,42.00,29.00
OCT-2018,8.00,261.00,...,401.00,...,7.00,...,...,...,39.00,37.00
NOV-2018,...,115.00,...,76.00,...,...,...,...,...,...,10.00
DIC-2018,...,102.00,...,143.00,...,...,...,...,7.00,...,...
ENE-2019,17.00,273.00,...,618.00,...,...,...,...,...,...,43.00
FEB-2019,41.00,286.00,...,619.00,...,...,...,...,...,32.00,64.00
MAR-2019,50.00,835.00,...,567.00,...,...,...,...,...,...,188.00
ABR-2019,17.00,974.00,27.00,614.00,...,13.00,...,...,30.00,21.00,279.00
MAY-2019,21.00,715.00,87.00,96.00,...,...,...,...,...,24.00,649.00
JUN-2019,33.00,528.00,17.00,94.00,...,32.00,...,...,...,...,278.00
JUL-2019,26.00,266.00,13.00,115.00,...,...,...,...,...,12.00,110.00
AGO-2019,107.00,430.00,9.00,48.00,...,46.00,...,...,4.00,27.00,109.00
SEP-2019,...,215.00,...,...,...,...,...,...,...,...,64.00
OCT-2019,12.00,167.00,17.00,123.00,...,1.00,...,...,...,90.00,101.00
NOV-2019,35.00,132.00,...,102.00,...,...,...,...,...,89.00,49.00
DIC-2019,4.00,141.00,...,76.00,...,...,...,...,...,15.00,46.00
ENE-2020,21.00,404.00,...,62.00,...,...,...,...,...,...,53.00
FEB-2020,99.00,450.00,21.00,64.00,...,...,...,...,...,...,123.00
MAR-2020,35.00,927.00,65.00,118.00,...,...,...,...,...,...,397.00
ABR-2020,...,876.00,...,126.00,...,...,...,...,7.00,...,284.00
MAY-2020,...,913.00,55.00,52.00,...,14.00,...,...,...,12.00,147.00
