Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,888.00,5245.00,231.00,667.00,...,215.00,...,...,26.00,628.00
JUL-2020,1052.00,5661.00,269.00,635.00,...,142.00,...,...,129.00,797.00
AGO-2020,1127.00,6310.00,229.00,364.00,...,...,...,...,67.00,971.00
SEP-2020,1697.00,8208.00,102.00,539.00,...,...,...,...,120.00,1197.00
OCT-2020,2508.00,10830.00,608.00,532.00,...,102.00,36.00,...,117.00,1242.00
NOV-2020,2248.00,9171.00,99.00,461.00,...,29.00,...,...,148.00,1628.00
DIC-2020,2401.00,10430.00,391.00,522.00,...,168.00,...,...,391.00,1389.00
ENE-2021,2934.00,14154.00,656.00,579.00,23.00,348.00,...,40.00,432.00,1264.00
FEB-2021,1653.00,12059.00,540.00,762.00,43.00,213.00,...,20.00,64.00,2266.00
MAR-2021,2719.00,14423.00,312.00,823.00,...,331.00,...,...,79.00,1860.00
ABR-2021,2273.00,9360.00,193.00,1255.00,17.00,336.00,...,...,83.00,1305.00
MAY-2021,1400.00,5369.00,102.00,201.00,41.00,386.00,...,...,116.00,589.00
JUN-2021,1248.00,5847.00,24.00,194.00,37.00,213.00,...,...,51.00,548.00
JUL-2021,1306.00,9150.00,317.00,383.00,...,15.00,...,...,127.00,1005.00
AGO-2021,1482.00,9375.00,42.00,377.00,...,75.00,...,...,36.00,1153.00
SEP-2021,1831.00,10812.00,126.00,198.00,...,84.00,...,15.00,91.00,1054.00
OCT-2021,2785.00,12891.00,32.00,793.00,...,63.00,...,...,97.00,587.00
NOV-2021,2391.00,13055.00,152.00,820.00,...,12.00,18.00,...,82.00,1274.00
DIC-2021,3284.00,16439.00,331.00,988.00,...,50.00,...,...,179.00,1239.00
ENE-2022,2162.00,15189.00,139.00,1580.00,...,45.00,...,22.00,203.00,906.00
FEB-2022,3142.00,15616.00,1129.00,1141.00,...,81.00,...,...,167.00,676.00
MAR-2022,3089.00,10622.00,1069.00,1313.00,18.00,517.00,25.00,...,161.00,1238.00
ABR-2022,1911.00,7533.00,388.00,470.00,...,587.00,...,...,209.00,491.00
MAY-2022,1305.00,3664.00,375.00,109.00,...,420.00,...,...,116.00,166.00
JUN-2022,1271.00,3490.00,371.00,151.00,...,366.00,...,...,40.00,185.00
JUL-2022,951.00,6300.00,95.00,245.00,...,330.00,...,...,21.00,363.00
AGO-2022,1991.00,5405.00,477.00,338.00,...,180.00,...,4.00,120.00,1014.00
SEP-2022,2299.00,6591.00,704.00,356.00,...,232.00,...,...,119.00,1470.00
OCT-2022,2140.00,11458.00,803.00,546.00,38.00,480.00,...,...,268.00,2641.00
NOV-2022,2133.00,10467.00,1261.00,411.00,...,11.00,...,...,168.00,2998.00
DIC-2022,2528.00,10699.00,840.00,344.00,...,456.00,...,...,156.00,2389.00
ENE-2023,3079.00,14744.00,2409.00,126.00,24.00,626.00,1.00,...,65.00,2434.00
FEB-2023,3175.00,16452.00,1966.00,316.00,...,581.00,...,...,123.00,3758.00
MAR-2023,4485.00,15085.00,660.00,346.00,9.00,399.00,...,...,23.00,2468.00
ABR-2023,3935.00,12225.00,1040.00,237.00,...,516.00,...,...,19.00,1709.00
MAY-2023,2405.00,9664.00,693.00,43.00,...,430.00,...,...,24.00,520.00
JUN-2023,2106.00,8907.00,373.00,120.00,...,278.00,...,10.00,17.00,806.00
JUL-2023,2067.00,7978.00,582.00,149.00,...,133.00,...,...,6.00,1173.00
AGO-2023,2153.00,8151.00,130.00,64.00,...,32.00,...,...,98.00,947.00
SEP-2023,1960.00,9469.00,38.00,10.00,19.00,11.00,...,...,55.00,1084.00
OCT-2023,2335.00,13304.00,85.00,45.00,...,21.00,11.00,...,...,1616.00
NOV-2023,2560.00,11469.00,92.00,47.00,1.00,...,...,...,32.00,1809.00
DIC-2023,2108.00,12919.00,165.00,17.00,...,78.00,...,24.00,75.00,1815.00
ENE-2024,2326.00,15701.00,171.00,152.00,...,179.00,...,19.00,34.00,2352.00
FEB-2024,1904.00,13652.00,124.00,237.00,...,173.00,...,...,60.00,928.00
MAR-2024,2290.00,11350.00,133.00,535.00,...,506.00,...,...,...,809.00
ABR-2024,1638.00,7975.00,17.00,448.00,...,333.00,...,...,80.00,411.00
MAY-2024,858.00,5175.00,75.00,32.00,...,301.00,...,...,...,190.00
JUN-2024,764.00,4292.00,...,14.00,...,224.00,...,...,...,303.00
JUL-2024,849.00,4980.00,98.00,14.00,...,312.00,...,...,...,537.00
AGO-2024,1150.00,5974.00,35.00,...,...,173.00,10.00,...,70.00,785.00
SEP-2024,1480.00,8427.00,...,94.00,45.00,348.00,...,...,22.00,1623.00
OCT-2024,2504.00,11021.00,...,74.00,...,467.00,...,...,77.00,2388.00
NOV-2024,2175.00,13963.00,189.00,163.00,...,275.00,...,...,44.00,1719.00
DIC-2024,1914.00,13385.00,1174.00,105.00,...,316.00,...,...,...,1339.00
