Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1704.00,16940.00,389.00,3091.00,...,81.00,20.00,...,14.00,11.00,1177.00
FEB-2015,1105.00,13561.00,23.00,3104.00,...,36.00,...,...,2.00,...,134.00
MAR-2015,1240.00,8341.00,38.00,2012.00,...,212.00,...,23.00,23.00,25.00,263.00
ABR-2015,753.00,3139.00,12.00,872.00,...,169.00,...,21.00,26.00,...,21.00
MAY-2015,562.00,1752.00,...,348.00,...,36.00,...,...,4.00,...,15.00
JUN-2015,965.00,2541.00,36.00,412.00,...,24.00,...,...,...,...,77.00
JUL-2015,1429.00,4397.00,33.00,167.00,...,31.00,...,...,...,11.00,207.00
AGO-2015,1064.00,6784.00,198.00,714.00,...,...,...,...,...,38.00,394.00
SEP-2015,698.00,9422.00,204.00,1219.00,...,11.00,...,...,...,27.00,819.00
OCT-2015,1057.00,12106.00,84.00,1136.00,...,...,...,...,...,52.00,1043.00
NOV-2015,1568.00,10671.00,51.00,1421.00,...,...,...,...,2.00,...,1057.00
DIC-2015,3155.00,10019.00,399.00,2178.00,37.00,290.00,...,...,111.00,21.00,1910.00
ENE-2016,1024.00,4047.00,354.00,837.00,...,82.00,...,...,74.00,...,696.00
FEB-2016,2742.00,9191.00,945.00,2397.00,...,1022.00,23.00,...,172.00,...,2828.00
MAR-2016,2553.00,7903.00,232.00,1770.00,...,1832.00,...,...,108.00,22.00,2306.00
ABR-2016,1714.00,4421.00,375.00,1346.00,...,1063.00,...,...,5.00,31.00,1154.00
MAY-2016,1278.00,1895.00,386.00,727.00,...,800.00,...,...,...,31.00,485.00
JUN-2016,1727.00,3335.00,610.00,862.00,...,491.00,15.00,...,12.00,...,921.00
JUL-2016,1917.00,3692.00,289.00,410.00,...,241.00,...,...,8.00,...,943.00
AGO-2016,1569.00,2289.00,266.00,988.00,...,13.00,...,...,21.00,21.00,665.00
SEP-2016,2089.00,4120.00,768.00,1004.00,13.00,...,...,...,3.00,20.00,1445.00
OCT-2016,2609.00,7667.00,856.00,1314.00,17.00,32.00,...,...,105.00,...,3366.00
NOV-2016,3479.00,6981.00,1223.00,1289.00,...,61.00,...,...,61.00,111.00,4120.00
DIC-2016,3096.00,10644.00,2262.00,1809.00,22.00,590.00,...,...,112.00,52.00,4226.00
ENE-2017,2421.00,14529.00,3552.00,2503.00,...,489.00,...,23.00,18.00,102.00,4133.00
FEB-2017,1634.00,12947.00,2476.00,1792.00,...,812.00,...,...,30.00,41.00,3842.00
MAR-2017,1842.00,11052.00,1614.00,2154.00,...,960.00,24.00,...,27.00,58.00,3212.00
ABR-2017,1919.00,5602.00,914.00,1598.00,...,720.00,1.00,...,...,...,2340.00
MAY-2017,1398.00,2661.00,541.00,929.00,...,729.00,...,10.00,4.00,60.00,1581.00
JUN-2017,2050.00,2427.00,407.00,566.00,...,503.00,...,...,...,64.00,1052.00
JUL-2017,2129.00,3180.00,494.00,291.00,15.00,262.00,...,...,...,26.00,827.00
AGO-2017,2244.00,3741.00,552.00,846.00,...,78.00,...,...,9.00,48.00,1981.00
SEP-2017,2488.00,6106.00,735.00,724.00,...,2.00,...,...,...,57.00,3069.00
OCT-2017,3619.00,7769.00,1175.00,1330.00,...,32.00,...,6.00,17.00,52.00,4497.00
NOV-2017,4080.00,8739.00,1063.00,1861.00,...,142.00,...,...,81.00,16.00,4674.00
DIC-2017,3606.00,9535.00,1205.00,2713.00,...,301.00,...,...,174.00,34.00,4451.00
ENE-2018,3102.00,10376.00,863.00,2132.00,3.00,338.00,13.00,...,90.00,16.00,2306.00
FEB-2018,2429.00,8756.00,1000.00,1895.00,...,421.00,...,...,80.00,41.00,2356.00
MAR-2018,2689.00,8551.00,594.00,1552.00,...,814.00,...,...,161.00,10.00,2214.00
ABR-2018,1532.00,3692.00,320.00,955.00,...,650.00,...,...,59.00,10.00,982.00
MAY-2018,857.00,1501.00,292.00,398.00,...,615.00,...,...,...,6.00,222.00
JUN-2018,932.00,1936.00,179.00,436.00,...,552.00,...,...,...,...,229.00
JUL-2018,1074.00,2453.00,33.00,645.00,...,174.00,...,...,...,32.00,358.00
AGO-2018,1520.00,4040.00,348.00,1345.00,...,98.00,16.00,...,...,30.00,1075.00
SEP-2018,1788.00,7513.00,59.00,1800.00,20.00,6.00,...,...,...,13.00,1469.00
OCT-2018,1836.00,11533.00,299.00,1711.00,3.00,20.00,...,...,...,64.00,2981.00
NOV-2018,2200.00,13300.00,226.00,1633.00,...,58.00,...,...,37.00,126.00,4722.00
DIC-2018,2481.00,11102.00,185.00,1343.00,...,332.00,...,...,19.00,116.00,3181.00
ENE-2019,3043.00,9889.00,357.00,2415.00,...,398.00,...,...,51.00,5.00,2761.00
FEB-2019,2208.00,9970.00,469.00,2764.00,...,527.00,...,16.00,44.00,39.00,3415.00
