Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,...,...,29.00,31.00,...,...,...,...,...,...
JUL-2020,...,2416.00,50.00,99.00,...,...,...,...,371.00,88.00
AGO-2020,...,10481.00,194.00,530.00,...,...,...,...,635.00,329.00
SEP-2020,...,12194.00,686.00,440.00,...,...,...,...,877.00,586.00
OCT-2020,...,8384.00,992.00,469.00,...,...,...,...,540.00,759.00
NOV-2020,...,1067.00,52.00,59.00,...,...,...,...,105.00,92.00
DIC-2020,...,66.00,31.00,...,...,...,...,...,...,...
ENE-2021,...,44.00,...,...,...,...,...,...,...,...
FEB-2021,...,2.00,...,...,...,...,...,...,...,...
MAR-2021,...,28.00,...,...,...,...,...,...,...,...
ABR-2021,...,5.00,...,...,...,...,...,...,...,...
MAY-2021,...,...,...,...,...,...,...,...,...,...
JUN-2021,...,...,...,...,...,...,...,...,...,...
JUL-2021,...,6649.00,227.00,254.00,...,...,...,...,1175.00,429.00
AGO-2021,...,11512.00,481.00,838.00,...,...,...,...,850.00,810.00
SEP-2021,...,14793.00,515.00,170.00,...,...,...,...,1027.00,577.00
OCT-2021,...,8700.00,125.00,463.00,...,...,...,...,265.00,396.00
NOV-2021,...,2049.00,91.00,108.00,...,...,...,...,87.00,111.00
DIC-2021,...,228.00,...,...,...,...,...,...,65.00,...
ENE-2022,...,56.00,...,29.00,...,...,...,...,...,...
FEB-2022,...,54.00,...,...,...,...,...,...,...,...
MAR-2022,...,47.00,3.00,21.00,...,...,...,...,16.00,...
ABR-2022,...,40.00,8.00,...,...,...,...,...,7.00,34.00
MAY-2022,...,89.00,2.00,...,...,...,...,...,12.00,37.00
JUN-2022,...,29.00,5.00,...,...,...,...,...,32.00,141.00
JUL-2022,...,7224.00,69.00,465.00,...,...,...,...,660.00,36.00
AGO-2022,...,11122.00,2407.00,522.00,...,...,...,...,3060.00,760.00
SEP-2022,...,9825.00,2957.00,550.00,...,...,...,...,3262.00,522.00
OCT-2022,...,5109.00,2121.00,352.00,...,...,...,...,1457.00,296.00
NOV-2022,...,596.00,239.00,33.00,...,...,...,...,203.00,44.00
DIC-2022,...,150.00,50.00,...,...,...,...,...,31.00,...
ENE-2023,...,79.00,47.00,...,...,...,...,...,...,...
FEB-2023,...,98.00,...,...,...,...,...,...,...,...
MAR-2023,...,30.00,...,...,...,...,...,...,...,...
ABR-2023,...,23.00,...,...,...,...,...,...,...,3.00
MAY-2023,...,35.00,...,...,...,...,...,...,...,...
JUN-2023,...,...,...,...,...,...,...,...,...,...
JUL-2023,...,4126.00,133.00,64.00,...,...,...,...,1567.00,309.00
AGO-2023,...,10141.00,670.00,31.00,...,...,...,...,2919.00,445.00
SEP-2023,...,9319.00,1556.00,15.00,...,...,...,...,2113.00,810.00
OCT-2023,...,8790.00,1418.00,1.00,...,...,...,...,2190.00,614.00
NOV-2023,...,1884.00,235.00,...,...,...,...,...,561.00,109.00
DIC-2023,...,381.00,51.00,...,...,...,...,...,128.00,15.00
ENE-2024,...,80.00,...,...,...,...,...,...,2.00,3.00
FEB-2024,...,49.00,...,...,...,...,...,...,...,...
MAR-2024,...,67.00,...,...,...,...,...,...,11.00,2.00
ABR-2024,...,66.00,2.00,...,...,...,...,...,...,...
MAY-2024,...,99.00,...,...,...,...,...,...,5.00,3.00
JUN-2024,...,50.00,9.00,...,...,...,...,...,...,2.00
JUL-2024,...,8189.00,72.00,...,...,...,...,...,1290.00,297.00
AGO-2024,...,14746.00,448.00,306.00,...,...,...,...,3071.00,581.00
SEP-2024,...,15044.00,643.00,156.00,...,247.00,...,...,2517.00,1404.00
OCT-2024,...,11998.00,852.00,40.00,...,...,...,...,2453.00,1876.00
NOV-2024,...,4682.00,142.00,83.00,...,29.00,...,...,656.00,156.00
DIC-2024,...,1639.00,135.00,...,...,...,...,...,189.00,197.00
