Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,396.00,13126.00,363.00,1252.00,...,47.00,...,...,134.00,1356.00
JUL-2020,293.00,12794.00,487.00,864.00,...,43.00,...,20.00,87.00,1913.00
AGO-2020,543.00,9704.00,297.00,446.00,...,...,...,11.00,...,844.00
SEP-2020,626.00,6312.00,134.00,264.00,...,54.00,...,...,66.00,771.00
OCT-2020,527.00,5926.00,203.00,436.00,...,43.00,...,14.00,223.00,896.00
NOV-2020,677.00,6368.00,222.00,347.00,...,12.00,...,2.00,66.00,1012.00
DIC-2020,563.00,9094.00,444.00,266.00,9.00,...,12.00,...,248.00,803.00
ENE-2021,1003.00,11683.00,307.00,393.00,...,5.00,...,57.00,230.00,1125.00
FEB-2021,500.00,11612.00,673.00,646.00,...,...,...,72.00,207.00,1970.00
MAR-2021,979.00,13022.00,314.00,589.00,...,29.00,...,12.00,344.00,1557.00
ABR-2021,1122.00,13530.00,296.00,1219.00,...,...,16.00,16.00,221.00,1619.00
MAY-2021,1513.00,14509.00,331.00,690.00,20.00,28.00,...,2.00,273.00,1608.00
JUN-2021,920.00,15251.00,294.00,669.00,...,52.00,...,...,95.00,1491.00
JUL-2021,488.00,12614.00,127.00,635.00,40.00,27.00,...,1.00,70.00,1617.00
AGO-2021,717.00,9608.00,87.00,520.00,...,14.00,...,17.00,191.00,1179.00
SEP-2021,1172.00,8256.00,47.00,171.00,...,13.00,...,3.00,84.00,967.00
OCT-2021,1529.00,7191.00,54.00,272.00,15.00,87.00,...,31.00,57.00,352.00
NOV-2021,836.00,7565.00,93.00,325.00,...,40.00,2.00,20.00,57.00,1247.00
DIC-2021,1807.00,9389.00,19.00,640.00,...,...,...,1.00,94.00,739.00
ENE-2022,710.00,9969.00,19.00,1332.00,...,36.00,...,36.00,95.00,1085.00
FEB-2022,1259.00,12701.00,988.00,1166.00,7.00,105.00,...,16.00,130.00,444.00
MAR-2022,1770.00,14016.00,951.00,1419.00,...,792.00,...,29.00,185.00,1519.00
ABR-2022,1225.00,15146.00,1770.00,1335.00,...,877.00,34.00,16.00,160.00,1091.00
MAY-2022,2120.00,16225.00,1475.00,637.00,...,1125.00,32.00,18.00,284.00,1533.00
JUN-2022,2027.00,14259.00,1527.00,779.00,...,1131.00,3.00,...,752.00,1491.00
JUL-2022,971.00,14030.00,157.00,855.00,...,310.00,...,15.00,62.00,1143.00
AGO-2022,637.00,10092.00,261.00,536.00,...,489.00,8.00,79.00,175.00,3142.00
SEP-2022,736.00,8281.00,483.00,335.00,...,315.00,83.00,20.00,140.00,1742.00
OCT-2022,455.00,6403.00,590.00,401.00,...,400.00,23.00,94.00,32.00,1045.00
NOV-2022,523.00,7517.00,534.00,418.00,...,202.00,...,125.00,97.00,2057.00
DIC-2022,1086.00,8974.00,547.00,126.00,...,419.00,...,147.00,201.00,1840.00
ENE-2023,518.00,10106.00,918.00,46.00,...,454.00,5.00,41.00,161.00,2016.00
FEB-2023,390.00,9225.00,764.00,179.00,...,349.00,2.00,42.00,393.00,2623.00
MAR-2023,1083.00,14204.00,1114.00,79.00,...,225.00,...,...,204.00,3250.00
ABR-2023,550.00,13553.00,993.00,190.00,...,171.00,...,40.00,253.00,3061.00
MAY-2023,307.00,15411.00,1083.00,109.00,...,107.00,...,...,91.00,1613.00
JUN-2023,434.00,14660.00,871.00,150.00,...,25.00,...,...,147.00,3777.00
JUL-2023,301.00,13368.00,677.00,145.00,...,87.00,...,15.00,55.00,2928.00
AGO-2023,1371.00,12465.00,114.00,71.00,...,4.00,...,...,11.00,1866.00
SEP-2023,1399.00,12687.00,138.00,101.00,...,52.00,...,...,...,1382.00
OCT-2023,276.00,11955.00,105.00,71.00,...,8.00,1.00,10.00,23.00,1377.00
NOV-2023,381.00,13204.00,147.00,24.00,...,19.00,...,36.00,104.00,1625.00
DIC-2023,303.00,13742.00,152.00,23.00,...,4.00,...,72.00,55.00,2002.00
ENE-2024,139.00,12538.00,36.00,206.00,...,195.00,10.00,13.00,167.00,2205.00
FEB-2024,249.00,15731.00,262.00,439.00,...,236.00,1.00,...,232.00,1798.00
MAR-2024,174.00,17570.00,189.00,456.00,...,375.00,...,62.00,316.00,2067.00
ABR-2024,112.00,17195.00,50.00,852.00,...,296.00,...,2.00,339.00,1713.00
MAY-2024,206.00,17874.00,263.00,76.00,22.00,611.00,30.00,4.00,204.00,1487.00
JUN-2024,113.00,16272.00,185.00,165.00,8.00,332.00,21.00,22.00,50.00,2091.00
JUL-2024,209.00,14945.00,127.00,227.00,...,589.00,8.00,...,23.00,1410.00
AGO-2024,130.00,12667.00,67.00,244.00,...,553.00,49.00,...,119.00,1933.00
SEP-2024,59.00,6973.00,61.00,92.00,4.00,191.00,...,23.00,56.00,1619.00
OCT-2024,184.00,9045.00,66.00,40.00,25.00,414.00,20.00,60.00,33.00,1718.00
NOV-2024,115.00,9934.00,84.00,241.00,...,354.00,68.00,55.00,...,1363.00
DIC-2024,107.00,11920.00,800.00,253.00,...,242.00,...,29.00,100.00,1517.00
