Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,122.00,7110.00,133.00,974.00,...,...,48.00,27.00,8.00,55.00,363.00
FEB-2015,94.00,10785.00,37.00,2028.00,...,...,24.00,29.00,...,39.00,35.00
MAR-2015,137.00,12486.00,248.00,2305.00,...,10.00,...,72.00,10.00,49.00,642.00
ABR-2015,36.00,12861.00,393.00,2530.00,...,39.00,20.00,266.00,...,126.00,504.00
MAY-2015,36.00,15674.00,583.00,1439.00,...,31.00,21.00,270.00,5.00,256.00,977.00
JUN-2015,140.00,14402.00,564.00,1224.00,...,15.00,...,138.00,...,114.00,1000.00
JUL-2015,110.00,13634.00,509.00,178.00,...,7.00,14.00,133.00,...,28.00,474.00
AGO-2015,49.00,7882.00,228.00,694.00,2.00,...,32.00,...,...,12.00,599.00
SEP-2015,44.00,6347.00,112.00,528.00,...,2.00,...,29.00,3.00,87.00,363.00
OCT-2015,104.00,4962.00,334.00,434.00,...,22.00,...,...,23.00,54.00,376.00
NOV-2015,82.00,5007.00,501.00,622.00,...,7.00,6.00,13.00,...,60.00,412.00
DIC-2015,210.00,5310.00,222.00,776.00,...,19.00,53.00,57.00,45.00,93.00,972.00
ENE-2016,116.00,2241.00,104.00,352.00,...,6.00,13.00,...,23.00,70.00,281.00
FEB-2016,151.00,9512.00,1297.00,1544.00,...,35.00,85.00,389.00,15.00,226.00,2000.00
MAR-2016,166.00,10644.00,1473.00,1140.00,...,73.00,44.00,456.00,16.00,169.00,2771.00
ABR-2016,172.00,7899.00,1540.00,1692.00,...,88.00,134.00,363.00,22.00,250.00,3365.00
MAY-2016,96.00,7961.00,2410.00,1432.00,...,72.00,2.00,371.00,23.00,206.00,3858.00
JUN-2016,120.00,9085.00,1672.00,1401.00,...,132.00,...,172.00,5.00,86.00,3122.00
JUL-2016,230.00,8632.00,824.00,457.00,...,166.00,...,175.00,41.00,70.00,3205.00
AGO-2016,235.00,5650.00,645.00,1365.00,...,161.00,9.00,...,15.00,116.00,2474.00
SEP-2016,89.00,3546.00,499.00,582.00,...,109.00,...,...,64.00,120.00,984.00
OCT-2016,90.00,2714.00,238.00,702.00,...,86.00,41.00,...,39.00,39.00,1579.00
NOV-2016,112.00,3300.00,588.00,569.00,1.00,5.00,29.00,...,72.00,110.00,1888.00
DIC-2016,157.00,4406.00,799.00,881.00,12.00,11.00,11.00,33.00,135.00,84.00,2111.00
ENE-2017,163.00,6152.00,1179.00,1023.00,22.00,19.00,30.00,14.00,66.00,58.00,1720.00
