Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,...,38.00,...,...,...,...,...,...,...,39.00
JUL-2020,...,305.00,...,...,...,...,...,...,...,2.00
AGO-2020,...,557.00,...,39.00,...,...,...,...,...,...
SEP-2020,...,309.00,...,1.00,...,...,...,...,...,...
OCT-2020,...,139.00,...,...,...,...,...,...,...,7.00
NOV-2020,...,49.00,...,...,...,...,...,...,...,...
DIC-2020,...,51.00,...,...,...,...,...,...,...,...
ENE-2021,...,152.00,20.00,...,...,...,...,...,...,...
FEB-2021,...,558.00,...,...,...,...,...,...,...,86.00
MAR-2021,...,1748.00,...,83.00,...,...,...,...,...,263.00
ABR-2021,...,1919.00,31.00,229.00,...,...,...,...,129.00,368.00
MAY-2021,...,2264.00,35.00,15.00,...,...,...,...,108.00,144.00
JUN-2021,...,2910.00,126.00,90.00,...,...,...,...,28.00,501.00
JUL-2021,...,2253.00,...,48.00,...,...,...,...,22.00,464.00
AGO-2021,...,549.00,...,24.00,...,...,...,...,29.00,76.00
SEP-2021,...,60.00,...,...,...,...,...,...,...,...
OCT-2021,...,40.00,...,...,...,...,...,...,...,...
NOV-2021,...,44.00,...,...,...,...,...,...,...,...
DIC-2021,...,56.00,...,...,...,...,...,...,...,...
ENE-2022,...,203.00,...,15.00,...,...,...,...,...,17.00
FEB-2022,...,720.00,54.00,...,...,...,...,...,...,...
MAR-2022,...,92.00,...,...,...,...,...,...,...,32.00
ABR-2022,...,68.00,...,...,...,...,...,...,...,...
MAY-2022,...,78.00,...,...,...,...,...,...,...,...
JUN-2022,...,12.00,15.00,...,...,...,...,...,...,...
JUL-2022,...,13.00,...,...,...,...,...,...,...,...
AGO-2022,...,29.00,12.00,...,...,...,...,...,...,...
SEP-2022,...,9.00,...,...,...,...,...,...,18.00,...
OCT-2022,...,68.00,...,31.00,...,...,...,...,...,...
NOV-2022,...,114.00,...,19.00,...,...,...,...,...,...
DIC-2022,...,168.00,15.00,10.00,...,...,...,...,...,...
ENE-2023,...,107.00,...,...,...,...,...,...,...,...
FEB-2023,...,52.00,...,...,...,...,...,...,...,10.00
MAR-2023,...,102.00,...,...,...,...,...,...,52.00,...
ABR-2023,...,110.00,...,...,...,...,...,...,...,...
MAY-2023,...,262.00,...,15.00,...,...,...,...,...,...
JUN-2023,...,182.00,29.00,...,...,...,...,...,...,38.00
JUL-2023,...,109.00,45.00,22.00,...,...,...,...,...,...
AGO-2023,...,58.00,37.00,...,...,...,...,...,...,10.00
SEP-2023,...,38.00,...,...,...,...,...,...,...,...
OCT-2023,...,18.00,...,...,...,...,...,...,...,...
NOV-2023,...,48.00,...,...,...,...,...,...,...,...
DIC-2023,...,102.00,...,...,...,...,...,...,...,...
ENE-2024,...,52.00,...,...,...,...,...,...,...,...
FEB-2024,...,20.00,...,...,...,...,...,...,12.00,...
MAR-2024,...,93.00,...,...,...,...,...,...,...,...
ABR-2024,...,321.00,...,...,...,...,...,...,...,...
MAY-2024,...,34.00,...,...,...,...,...,...,...,...
JUN-2024,...,17.00,...,...,...,...,...,...,...,...
JUL-2024,...,...,...,...,...,...,...,...,...,...
AGO-2024,...,26.00,...,...,...,...,...,...,...,45.00
SEP-2024,...,10.00,...,...,...,...,...,...,...,...
OCT-2024,...,10.00,...,2.00,...,...,...,...,...,...
NOV-2024,...,...,...,...,...,...,...,...,...,...
DIC-2024,...,...,...,...,...,...,...,...,...,...
