Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,...,1802.00,...,70.00,...,...,...,...,...,58.00
JUL-2020,...,1628.00,14.00,48.00,...,...,...,...,53.00,74.00
AGO-2020,...,3856.00,95.00,117.00,...,...,...,...,114.00,104.00
SEP-2020,...,5680.00,112.00,101.00,...,...,...,...,229.00,277.00
OCT-2020,...,11356.00,415.00,670.00,...,...,...,...,691.00,1186.00
NOV-2020,4.00,18437.00,712.00,883.00,...,...,...,...,2094.00,1910.00
DIC-2020,...,21536.00,1315.00,336.00,...,...,...,...,1553.00,1128.00
ENE-2021,...,10814.00,324.00,344.00,18.00,17.00,...,...,1067.00,230.00
FEB-2021,...,1667.00,17.00,33.00,...,...,...,...,129.00,91.00
MAR-2021,...,1524.00,58.00,22.00,...,...,...,...,15.00,41.00
ABR-2021,...,1029.00,14.00,24.00,...,...,...,1.00,5.00,122.00
MAY-2021,...,2323.00,46.00,80.00,...,...,...,...,67.00,69.00
JUN-2021,...,1907.00,12.00,32.00,...,...,...,...,36.00,37.00
JUL-2021,...,1833.00,17.00,88.00,...,...,...,...,104.00,109.00
AGO-2021,...,3982.00,149.00,235.00,...,...,...,8.00,132.00,201.00
SEP-2021,...,5649.00,84.00,236.00,...,...,...,...,313.00,358.00
OCT-2021,...,13425.00,248.00,421.00,...,...,...,...,285.00,344.00
NOV-2021,...,16732.00,592.00,771.00,...,...,...,...,1023.00,882.00
DIC-2021,...,16344.00,604.00,1194.00,...,...,...,...,1464.00,421.00
ENE-2022,...,9699.00,104.00,1099.00,...,...,...,...,454.00,302.00
FEB-2022,...,2281.00,113.00,123.00,...,...,...,...,158.00,1.00
MAR-2022,...,900.00,163.00,105.00,...,...,...,...,61.00,95.00
ABR-2022,...,350.00,105.00,6.00,...,...,...,...,39.00,52.00
MAY-2022,...,273.00,52.00,2.00,...,...,...,...,12.00,70.00
JUN-2022,...,366.00,90.00,5.00,...,...,...,...,15.00,179.00
JUL-2022,...,997.00,24.00,37.00,...,...,...,...,23.00,22.00
AGO-2022,...,2028.00,176.00,105.00,...,...,...,...,716.00,247.00
SEP-2022,...,3004.00,282.00,207.00,...,...,...,...,1339.00,256.00
OCT-2022,...,5390.00,1222.00,397.00,...,...,...,...,2536.00,344.00
NOV-2022,...,8739.00,2179.00,666.00,...,...,...,...,5867.00,967.00
DIC-2022,...,11592.00,2923.00,212.00,...,...,...,...,5405.00,767.00
ENE-2023,...,7860.00,1173.00,66.00,...,...,...,...,3199.00,321.00
FEB-2023,...,1676.00,34.00,...,...,...,...,...,396.00,74.00
MAR-2023,...,1140.00,5.00,...,...,...,...,...,17.00,42.00
ABR-2023,...,940.00,38.00,...,...,...,...,...,14.00,67.00
MAY-2023,...,1173.00,15.00,...,...,...,...,...,18.00,17.00
JUN-2023,...,771.00,5.00,...,...,...,...,...,37.00,44.00
JUL-2023,...,1440.00,73.00,21.00,...,...,...,...,342.00,143.00
AGO-2023,...,1745.00,...,6.00,...,...,...,...,185.00,176.00
SEP-2023,...,4231.00,19.00,40.00,...,...,...,...,395.00,188.00
OCT-2023,...,5357.00,79.00,3.00,...,...,...,...,869.00,211.00
NOV-2023,...,12104.00,859.00,62.00,...,...,...,...,2767.00,879.00
DIC-2023,...,15629.00,589.00,48.00,...,...,...,...,3938.00,602.00
ENE-2024,...,4749.00,49.00,38.00,...,...,...,...,1288.00,382.00
FEB-2024,...,2224.00,6.00,2.00,...,...,...,...,69.00,99.00
MAR-2024,...,2099.00,7.00,18.00,...,...,...,...,4.00,23.00
ABR-2024,...,1774.00,...,15.00,...,...,...,...,7.00,17.00
MAY-2024,...,2128.00,63.00,...,...,...,...,...,1.00,13.00
JUN-2024,...,1545.00,10.00,...,...,...,...,...,5.00,24.00
JUL-2024,...,2006.00,49.00,20.00,...,...,...,...,103.00,80.00
AGO-2024,...,3944.00,61.00,1.00,...,...,...,...,291.00,22.00
SEP-2024,...,6349.00,35.00,40.00,...,8.00,...,...,743.00,268.00
OCT-2024,...,9131.00,68.00,57.00,...,...,...,...,1816.00,946.00
NOV-2024,...,16856.00,546.00,79.00,...,12.00,...,...,3298.00,860.00
DIC-2024,...,17448.00,1556.00,127.00,...,...,...,...,2390.00,1343.00
