Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,...,5810.00,190.00,782.00,...,...,...,138.00,...,497.00,33.00
FEB-2015,...,711.00,...,197.00,...,...,...,...,...,10.00,...
MAR-2015,...,197.00,9.00,58.00,...,...,...,...,...,...,...
ABR-2015,...,203.00,...,83.00,...,...,...,...,...,...,...
MAY-2015,...,412.00,17.00,40.00,...,...,...,...,...,...,13.00
JUN-2015,...,283.00,11.00,34.00,...,...,...,...,...,...,...
JUL-2015,...,992.00,33.00,18.00,...,...,...,104.00,...,...,...
AGO-2015,...,819.00,27.00,48.00,...,...,...,19.00,...,20.00,31.00
SEP-2015,...,1058.00,...,82.00,...,...,...,...,...,65.00,17.00
OCT-2015,...,4965.00,121.00,709.00,...,33.00,...,99.00,...,291.00,6.00
NOV-2015,...,8972.00,696.00,1881.00,...,...,...,144.00,...,768.00,60.00
DIC-2015,...,6236.00,1013.00,1440.00,...,26.00,...,361.00,...,1335.00,43.00
ENE-2016,...,726.00,63.00,134.00,...,...,...,101.00,...,102.00,9.00
FEB-2016,...,307.00,45.00,21.00,...,...,...,15.00,...,36.00,2.00
MAR-2016,...,61.00,26.00,...,...,...,...,...,...,...,...
ABR-2016,...,12.00,5.00,4.00,...,...,...,...,...,...,14.00
MAY-2016,...,8.00,...,...,...,...,...,...,...,24.00,...
JUN-2016,...,16.00,15.00,5.00,...,...,...,...,...,...,41.00
JUL-2016,...,222.00,8.00,8.00,...,...,...,23.00,...,25.00,...
AGO-2016,...,99.00,...,50.00,...,...,...,92.00,...,63.00,3.00
SEP-2016,...,782.00,69.00,89.00,...,...,...,64.00,...,447.00,78.00
OCT-2016,22.00,3066.00,1084.00,675.00,...,5.00,...,182.00,...,2248.00,476.00
NOV-2016,4.00,5673.00,4268.00,823.00,...,...,...,247.00,...,3223.00,747.00
DIC-2016,45.00,5740.00,3683.00,1001.00,...,...,...,352.00,...,1856.00,913.00
ENE-2017,...,2271.00,1065.00,484.00,...,...,...,125.00,...,373.00,241.00
FEB-2017,...,178.00,89.00,28.00,...,...,...,22.00,...,26.00,1.00
MAR-2017,...,139.00,16.00,8.00,...,...,...,2.00,...,...,19.00
ABR-2017,...,170.00,41.00,11.00,...,...,...,...,...,...,29.00
MAY-2017,...,108.00,45.00,12.00,...,...,...,2.00,...,5.00,26.00
JUN-2017,...,163.00,47.00,18.00,...,...,...,...,...,...,45.00
JUL-2017,...,252.00,13.00,11.00,...,...,...,...,...,58.00,42.00
AGO-2017,...,342.00,11.00,52.00,...,1.00,...,25.00,...,51.00,67.00
SEP-2017,...,513.00,251.00,111.00,...,...,...,14.00,...,327.00,56.00
OCT-2017,...,1550.00,716.00,340.00,...,...,...,95.00,...,645.00,289.00
NOV-2017,...,5259.00,2245.00,955.00,...,...,...,90.00,...,2720.00,1020.00
DIC-2017,...,6405.00,2960.00,2702.00,...,...,...,175.00,...,2829.00,1566.00
ENE-2018,...,6707.00,1633.00,1334.00,...,...,...,70.00,...,2624.00,645.00
FEB-2018,...,1992.00,256.00,266.00,...,...,...,71.00,...,1309.00,199.00
MAR-2018,...,664.00,62.00,38.00,...,...,...,6.00,...,24.00,74.00
ABR-2018,...,526.00,109.00,16.00,...,...,...,...,...,36.00,35.00
MAY-2018,...,756.00,68.00,38.00,...,...,...,...,1.00,29.00,71.00
JUN-2018,...,442.00,47.00,38.00,...,...,...,...,...,...,59.00
JUL-2018,...,638.00,42.00,48.00,...,...,...,46.00,...,54.00,65.00
AGO-2018,1.00,1778.00,178.00,674.00,...,5.00,...,38.00,...,471.00,149.00
SEP-2018,...,2248.00,186.00,1260.00,...,...,...,...,1.00,567.00,76.00
OCT-2018,...,4431.00,228.00,892.00,...,...,...,29.00,...,1486.00,512.00
NOV-2018,...,9088.00,1777.00,1713.00,...,...,...,134.00,...,3669.00,1084.00
DIC-2018,...,12458.00,1932.00,1305.00,...,...,...,162.00,...,5397.00,1256.00
ENE-2019,...,6004.00,557.00,1626.00,...,...,...,84.00,...,2628.00,513.00
FEB-2019,...,884.00,78.00,1730.00,...,...,...,43.00,...,204.00,147.00
MAR-2019,...,1308.00,51.00,1455.00,...,...,...,14.00,...,21.00,162.00
ABR-2019,5.00,1126.00,95.00,929.00,...,10.00,...,7.00,...,13.00,103.00
MAY-2019,1.00,814.00,75.00,21.00,...,...,...,...,...,34.00,160.00
JUN-2019,...,599.00,57.00,25.00,...,...,...,...,...,...,91.00
JUL-2019,...,1230.00,111.00,122.00,...,...,...,37.00,...,97.00,94.00
AGO-2019,...,1623.00,121.00,151.00,...,12.00,...,...,...,294.00,400.00
SEP-2019,...,3100.00,292.00,272.00,...,...,...,17.00,...,1304.00,797.00
OCT-2019,...,4688.00,523.00,1125.00,...,...,...,...,...,3156.00,810.00
NOV-2019,...,9011.00,2132.00,1207.00,...,31.00,...,...,...,5094.00,2760.00
DIC-2019,...,10997.00,2073.00,550.00,...,...,...,49.00,...,4843.00,2451.00
ENE-2020,...,5940.00,608.00,767.00,...,...,...,132.00,...,3065.00,533.00
FEB-2020,...,1195.00,61.00,172.00,...,...,...,31.00,2.00,205.00,143.00
MAR-2020,4.00,1372.00,5.00,117.00,...,2.00,...,1.00,...,27.00,64.00
ABR-2020,...,2126.00,44.00,118.00,...,...,...,...,...,...,104.00
MAY-2020,4.00,1827.00,41.00,129.00,...,22.00,...,3.00,...,32.00,32.00
