Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Peruanita,Papa Unica,Papa Yungay
JUN-2020,27.00,1893.00,97.00,340.00,...,10.00,...,9.00,...,264.00
JUL-2020,60.00,2022.00,67.00,200.00,...,53.00,...,...,8.00,201.00
AGO-2020,81.00,1917.00,13.00,62.00,...,49.00,...,...,20.00,197.00
SEP-2020,69.00,994.00,46.00,42.00,...,9.00,...,...,17.00,102.00
OCT-2020,37.00,672.00,8.00,11.00,...,1.00,...,...,...,14.00
NOV-2020,56.00,790.00,11.00,59.00,...,...,...,...,14.00,63.00
DIC-2020,117.00,1428.00,...,38.00,...,...,...,...,22.00,178.00
ENE-2021,164.00,1387.00,44.00,33.00,...,...,...,...,24.00,76.00
FEB-2021,42.00,1092.00,30.00,39.00,...,11.00,...,...,...,104.00
MAR-2021,181.00,1830.00,23.00,173.00,...,11.00,...,...,...,228.00
ABR-2021,335.00,1833.00,11.00,111.00,...,61.00,20.00,...,10.00,308.00
MAY-2021,261.00,1798.00,...,124.00,4.00,...,...,...,...,194.00
JUN-2021,54.00,1778.00,...,47.00,...,61.00,...,...,...,129.00
JUL-2021,51.00,2187.00,28.00,111.00,...,65.00,...,...,18.00,230.00
AGO-2021,160.00,2219.00,8.00,144.00,...,...,...,...,...,247.00
SEP-2021,82.00,1716.00,...,47.00,...,...,...,...,...,280.00
OCT-2021,150.00,1375.00,...,79.00,...,19.00,...,...,8.00,80.00
NOV-2021,44.00,900.00,23.00,61.00,...,...,...,...,...,41.00
DIC-2021,133.00,1586.00,...,80.00,...,...,...,...,...,11.00
ENE-2022,39.00,717.00,...,63.00,...,...,...,...,...,...
FEB-2022,55.00,683.00,57.00,65.00,...,...,...,10.00,...,...
MAR-2022,182.00,1443.00,118.00,181.00,...,46.00,...,...,...,147.00
ABR-2022,254.00,1314.00,120.00,97.00,...,104.00,...,...,...,73.00
MAY-2022,136.00,821.00,102.00,39.00,...,93.00,...,...,10.00,52.00
JUN-2022,170.00,1061.00,16.00,40.00,...,80.00,...,...,12.00,103.00
JUL-2022,172.00,1907.00,...,170.00,...,52.00,...,...,17.00,35.00
AGO-2022,141.00,1397.00,85.00,128.00,...,104.00,...,35.00,...,58.00
SEP-2022,98.00,364.00,30.00,63.00,...,78.00,...,...,...,60.00
OCT-2022,19.00,292.00,10.00,16.00,...,...,...,...,...,16.00
NOV-2022,73.00,246.00,20.00,52.00,...,12.00,...,...,...,62.00
DIC-2022,115.00,507.00,42.00,48.00,...,104.00,...,...,...,52.00
ENE-2023,91.00,666.00,97.00,15.00,...,71.00,...,...,...,90.00
FEB-2023,65.00,571.00,107.00,23.00,...,10.00,...,15.00,...,190.00
MAR-2023,60.00,724.00,58.00,33.00,...,21.00,...,...,12.00,151.00
ABR-2023,108.00,1230.00,168.00,94.00,...,36.00,...,...,...,221.00
MAY-2023,50.00,1524.00,14.00,48.00,...,85.00,...,...,18.00,75.00
JUN-2023,61.00,1226.00,17.00,74.00,...,156.00,...,...,...,210.00
JUL-2023,69.00,1443.00,21.00,56.00,...,117.00,...,...,...,60.00
AGO-2023,136.00,1589.00,...,21.00,...,35.00,...,...,...,259.00
SEP-2023,72.00,1110.00,8.00,30.00,...,34.00,...,18.00,...,110.00
OCT-2023,16.00,635.00,...,26.00,...,12.00,...,...,...,51.00
NOV-2023,42.00,729.00,...,...,...,...,...,...,...,31.00
DIC-2023,88.00,989.00,29.00,18.00,...,48.00,...,...,...,79.00
ENE-2024,112.00,753.00,5.00,26.00,...,...,...,...,...,71.00
FEB-2024,21.00,796.00,17.00,2.00,...,10.00,...,...,...,42.00
MAR-2024,23.00,1085.00,3.00,84.00,...,40.00,...,...,...,36.00
ABR-2024,29.00,1051.00,...,139.00,...,18.00,...,...,...,23.00
MAY-2024,34.00,1080.00,19.00,22.00,...,58.00,...,...,...,7.00
JUN-2024,26.00,1255.00,...,11.00,...,36.00,...,...,...,142.00
JUL-2024,68.00,1895.00,43.00,60.00,...,105.00,...,...,...,156.00
AGO-2024,50.00,1586.00,...,15.00,...,170.00,...,...,13.00,177.00
SEP-2024,39.00,989.00,35.00,11.00,...,70.00,...,...,...,115.00
OCT-2024,12.00,581.00,24.00,4.00,...,56.00,...,...,...,73.00
NOV-2024,11.00,590.00,7.00,31.00,...,68.00,...,...,...,53.00
DIC-2024,45.00,799.00,31.00,26.00,...,27.00,...,...,...,17.00
