Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,80.00,1627.00,88.00,400.00,...,...,4.00,...,...,...,41.00
FEB-2015,73.00,2630.00,27.00,565.00,...,17.00,...,...,...,...,11.00
MAR-2015,117.00,2885.00,13.00,789.00,...,65.00,21.00,...,...,...,149.00
ABR-2015,91.00,2442.00,24.00,493.00,...,100.00,19.00,...,...,...,63.00
MAY-2015,81.00,2135.00,11.00,634.00,...,128.00,...,...,...,...,54.00
JUN-2015,64.00,1892.00,23.00,507.00,...,153.00,...,8.00,16.00,...,27.00
JUL-2015,105.00,2225.00,21.00,178.00,...,104.00,...,...,...,...,45.00
AGO-2015,70.00,1736.00,15.00,262.00,...,83.00,...,...,...,...,21.00
SEP-2015,40.00,859.00,...,136.00,...,50.00,...,...,...,...,...
OCT-2015,34.00,277.00,...,48.00,...,6.00,...,...,...,...,...
NOV-2015,8.00,161.00,...,40.00,...,9.00,...,...,...,...,12.00
DIC-2015,91.00,625.00,29.00,228.00,...,292.00,11.00,...,...,8.00,15.00
ENE-2016,5.00,450.00,37.00,91.00,...,7.00,...,8.00,...,...,38.00
FEB-2016,334.00,1783.00,234.00,354.00,...,68.00,44.00,7.00,12.00,...,332.00
MAR-2016,329.00,2479.00,260.00,520.00,...,138.00,10.00,...,...,...,365.00
ABR-2016,92.00,1310.00,236.00,459.00,10.00,303.00,21.00,...,3.00,...,328.00
MAY-2016,20.00,1126.00,224.00,470.00,...,462.00,4.00,...,38.00,...,321.00
JUN-2016,142.00,1362.00,204.00,511.00,...,272.00,6.00,...,...,...,155.00
JUL-2016,216.00,1453.00,109.00,332.00,...,142.00,9.00,...,11.00,...,320.00
AGO-2016,99.00,772.00,86.00,410.00,...,134.00,7.00,...,9.00,...,161.00
SEP-2016,146.00,304.00,100.00,71.00,...,118.00,...,...,14.00,...,70.00
OCT-2016,49.00,246.00,14.00,40.00,...,43.00,...,...,...,...,26.00
NOV-2016,82.00,138.00,59.00,56.00,...,10.00,...,...,...,...,50.00
DIC-2016,265.00,1038.00,347.00,215.00,...,296.00,5.00,...,...,...,144.00
ENE-2017,183.00,1681.00,373.00,323.00,...,31.00,...,...,...,52.00,305.00
FEB-2017,106.00,1506.00,268.00,225.00,20.00,18.00,...,...,...,16.00,258.00
MAR-2017,198.00,1931.00,162.00,472.00,...,71.00,19.00,...,...,...,275.00
ABR-2017,222.00,1656.00,330.00,585.00,...,227.00,...,9.00,...,...,304.00
MAY-2017,94.00,1049.00,139.00,561.00,...,336.00,64.00,...,11.00,...,632.00
JUN-2017,71.00,1310.00,52.00,419.00,...,181.00,20.00,...,...,...,388.00
JUL-2017,171.00,1275.00,92.00,289.00,...,171.00,29.00,...,...,...,164.00
