Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,15.00,710.0,76.00,135.0,...,...,...,...,...,...,...
FEB-2015,...,2786.0,193.00,453.0,...,...,...,...,...,...,...
MAR-2015,72.00,7664.0,736.00,1233.0,...,...,...,...,24.00,16.00,65.00
ABR-2015,121.00,12225.0,986.00,2235.0,...,...,...,...,76.00,22.00,307.00
MAY-2015,215.00,10924.0,796.00,1611.0,...,20.00,...,...,88.00,...,564.00
JUN-2015,157.00,9982.0,803.00,1538.0,...,29.00,...,...,177.00,...,644.00
JUL-2015,31.00,11011.0,549.00,282.0,...,...,...,...,91.00,...,535.00
AGO-2015,51.00,4796.0,31.00,780.0,...,...,...,16.00,15.00,...,382.00
SEP-2015,...,1068.0,...,246.0,...,31.00,...,...,43.00,...,26.00
OCT-2015,12.00,143.0,...,74.0,...,8.00,...,...,...,...,23.00
NOV-2015,...,39.0,5.00,6.0,...,...,...,...,...,...,...
DIC-2015,...,417.0,236.00,102.0,...,...,...,17.00,33.00,...,31.00
ENE-2016,...,701.0,301.00,231.0,...,...,...,...,...,16.00,15.00
FEB-2016,15.00,1709.0,1645.00,459.0,...,...,...,...,...,...,90.00
MAR-2016,69.00,3647.0,3605.00,673.0,...,3.00,...,...,131.00,...,342.00
ABR-2016,216.00,5456.0,4088.00,1296.0,...,...,...,...,304.00,17.00,1204.00
MAY-2016,416.00,5604.0,4554.00,1920.0,...,38.00,...,...,406.00,1.00,1700.00
JUN-2016,131.00,6640.0,3307.00,1386.0,...,58.00,...,...,163.00,...,1692.00
JUL-2016,139.00,7559.0,1712.00,260.0,...,102.00,...,...,251.00,...,1799.00
AGO-2016,34.00,1716.0,384.00,506.0,...,45.00,...,...,67.00,...,760.00
SEP-2016,9.00,337.0,112.00,105.0,...,10.00,...,...,56.00,...,244.00
OCT-2016,...,68.0,...,28.0,...,31.00,...,...,...,...,...
NOV-2016,...,58.0,8.00,52.0,11.00,...,...,...,...,...,...
DIC-2016,...,899.0,701.00,56.0,...,...,...,...,...,...,61.00
ENE-2017,15.00,1788.0,826.00,224.0,...,...,...,...,...,...,117.00
FEB-2017,30.00,3492.0,2176.00,403.0,...,...,...,...,11.00,54.00,442.00
MAR-2017,102.00,4865.0,3238.00,703.0,...,...,...,...,20.00,20.00,804.00
ABR-2017,344.00,4579.0,4172.00,1532.0,...,...,...,...,201.00,34.00,991.00
MAY-2017,493.00,4063.0,5222.00,1427.0,...,33.00,...,...,277.00,...,1825.00
JUN-2017,319.00,5067.0,3576.00,1460.0,16.00,37.00,31.00,...,197.00,14.00,2358.00
JUL-2017,168.00,6656.0,3374.00,373.0,49.00,93.00,13.00,...,207.00,...,1711.00
AGO-2017,229.00,3376.0,1381.00,1101.0,...,20.00,...,...,246.00,...,2120.00
SEP-2017,149.00,2059.0,579.00,298.0,...,4.00,...,...,166.00,...,1241.00
OCT-2017,114.00,292.0,50.00,71.0,...,23.00,...,...,13.00,25.00,260.00
