Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,...,119.0,...,35.00,...,...,...,...,...,...,...
FEB-2015,2.00,441.0,...,15.00,...,...,...,...,...,...,...
MAR-2015,17.00,1175.0,11.00,242.00,...,...,...,...,...,...,103.00
ABR-2015,31.00,1015.0,...,232.00,...,21.00,...,...,...,14.00,130.00
MAY-2015,...,997.0,...,104.00,...,...,...,...,...,...,48.00
JUN-2015,...,639.0,...,121.00,...,...,...,...,...,...,41.00
JUL-2015,...,652.0,21.00,...,...,...,...,10.00,...,...,22.00
AGO-2015,14.00,570.0,...,...,...,...,...,...,...,...,32.00
SEP-2015,...,336.0,...,16.00,...,...,...,...,...,...,15.00
OCT-2015,...,39.0,...,...,...,...,...,...,...,...,...
NOV-2015,...,9.0,...,...,...,...,...,...,...,...,...
DIC-2015,...,10.0,...,...,...,...,...,...,...,...,...
ENE-2016,...,40.0,...,...,...,...,...,...,...,...,...
FEB-2016,...,475.0,...,30.00,...,...,...,...,16.00,...,116.00
MAR-2016,8.00,797.0,19.00,77.00,...,...,...,5.00,...,...,264.00
ABR-2016,14.00,718.0,66.00,120.00,...,11.00,...,...,...,...,338.00
MAY-2016,11.00,282.0,15.00,31.00,...,11.00,...,...,...,11.00,286.00
JUN-2016,17.00,173.0,...,75.00,...,...,...,...,...,...,132.00
JUL-2016,...,382.0,13.00,...,...,...,...,...,...,...,141.00
AGO-2016,20.00,417.0,37.00,87.00,...,16.00,...,...,8.00,...,168.00
SEP-2016,18.00,143.0,...,19.00,...,...,...,...,9.00,...,23.00
OCT-2016,...,47.0,...,8.00,...,...,...,...,...,...,2.00
NOV-2016,...,14.0,...,...,...,...,...,...,...,...,6.00
DIC-2016,...,32.0,...,...,...,...,...,...,...,...,13.00
ENE-2017,...,54.0,...,...,...,...,...,...,...,...,...
FEB-2017,...,147.0,32.00,77.00,...,...,...,...,...,11.00,38.00
MAR-2017,5.00,695.0,46.00,4.00,...,...,...,...,...,...,165.00
ABR-2017,...,1072.0,69.00,66.00,...,...,...,19.00,...,...,532.00
MAY-2017,2.00,710.0,114.00,78.00,...,...,...,...,...,...,658.00
JUN-2017,...,725.0,50.00,79.00,...,2.00,...,...,13.00,...,293.00
JUL-2017,...,500.0,30.00,41.00,...,...,...,...,...,...,274.00
AGO-2017,7.00,367.0,63.00,75.00,14.00,21.00,...,...,...,19.00,247.00
SEP-2017,3.00,198.0,...,13.00,...,19.00,...,...,...,...,309.00
OCT-2017,...,154.0,26.00,27.00,...,27.00,...,...,13.00,...,105.00
NOV-2017,2.00,56.0,5.00,16.00,...,...,...,...,...,...,52.00
DIC-2017,1.00,72.0,7.00,2.00,...,...,...,...,...,...,58.00
ENE-2018,...,203.0,...,14.00,...,...,...,...,...,...,29.00
