Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,1704.0,16940.0,389.00,3091.0,...,81.00,20.00,...,14.00,11.00,1177.0
FEB-2015,1105.0,13561.0,23.00,3104.0,...,36.00,...,...,2.00,...,134.0
MAR-2015,1240.0,8341.0,38.00,2012.0,...,212.00,...,23.00,23.00,25.00,263.0
ABR-2015,753.0,3139.0,12.00,872.0,...,169.00,...,21.00,26.00,...,21.0
MAY-2015,562.0,1752.0,...,348.0,...,36.00,...,...,4.00,...,15.0
JUN-2015,965.0,2541.0,36.00,412.0,...,24.00,...,...,...,...,77.0
JUL-2015,1429.0,4397.0,33.00,167.0,...,31.00,...,...,...,11.00,207.0
AGO-2015,1064.0,6784.0,198.00,714.0,...,...,...,...,...,38.00,394.0
SEP-2015,698.0,9422.0,204.00,1219.0,...,11.00,...,...,...,27.00,819.0
OCT-2015,1057.0,12106.0,84.00,1136.0,...,...,...,...,...,52.00,1043.0
NOV-2015,1568.0,10671.0,51.00,1421.0,...,...,...,...,2.00,...,1057.0
DIC-2015,3155.0,10019.0,399.00,2178.0,37.00,290.00,...,...,111.00,21.00,1910.0
ENE-2016,1024.0,4047.0,354.00,837.0,...,82.00,...,...,74.00,...,696.0
FEB-2016,2742.0,9191.0,945.00,2397.0,...,1022.00,23.00,...,172.00,...,2828.0
MAR-2016,2553.0,7903.0,232.00,1770.0,...,1832.00,...,...,108.00,22.00,2306.0
ABR-2016,1714.0,4421.0,375.00,1346.0,...,1063.00,...,...,5.00,31.00,1154.0
MAY-2016,1278.0,1895.0,386.00,727.0,...,800.00,...,...,...,31.00,485.0
JUN-2016,1727.0,3335.0,610.00,862.0,...,491.00,15.00,...,12.00,...,921.0
JUL-2016,1917.0,3692.0,289.00,410.0,...,241.00,...,...,8.00,...,943.0
AGO-2016,1569.0,2289.0,266.00,988.0,...,13.00,...,...,21.00,21.00,665.0
SEP-2016,2089.0,4120.0,768.00,1004.0,13.00,...,...,...,3.00,20.00,1445.0
OCT-2016,2609.0,7667.0,856.00,1314.0,17.00,32.00,...,...,105.00,...,3366.0
NOV-2016,3479.0,6981.0,1223.00,1289.0,...,61.00,...,...,61.00,111.00,4120.0
DIC-2016,3096.0,10644.0,2262.00,1809.0,22.00,590.00,...,...,112.00,52.00,4226.0
ENE-2017,2421.0,14529.0,3552.00,2503.0,...,489.00,...,23.00,18.00,102.00,4133.0
FEB-2017,1634.0,12947.0,2476.00,1792.0,...,812.00,...,...,30.00,41.00,3842.0
MAR-2017,1842.0,11052.0,1614.00,2154.0,...,960.00,24.00,...,27.00,58.00,3212.0
ABR-2017,1919.0,5602.0,914.00,1598.0,...,720.00,1.00,...,...,...,2340.0
MAY-2017,1398.0,2661.0,541.00,929.0,...,729.00,...,10.00,4.00,60.00,1581.0
JUN-2017,2050.0,2427.0,407.00,566.0,...,503.00,...,...,...,64.00,1052.0
JUL-2017,2129.0,3180.0,494.00,291.0,15.00,262.00,...,...,...,26.00,827.0
AGO-2017,2244.0,3741.0,552.00,846.0,...,78.00,...,...,9.00,48.00,1981.0
SEP-2017,2488.0,6106.0,735.00,724.0,...,2.00,...,...,...,57.00,3069.0
OCT-2017,3619.0,7769.0,1175.00,1330.0,...,32.00,...,6.00,17.00,52.00,4497.0
NOV-2017,4080.0,8739.0,1063.00,1861.0,...,142.00,...,...,81.00,16.00,4674.0
DIC-2017,3606.0,9535.0,1205.00,2713.0,...,301.00,...,...,174.00,34.00,4451.0
ENE-2018,3102.0,10376.0,863.00,2132.0,3.00,338.00,13.00,...,90.00,16.00,2306.0
FEB-2018,2429.0,8756.0,1000.00,1895.0,...,421.00,...,...,80.00,41.00,2356.0
MAR-2018,2689.0,8551.0,594.00,1552.0,...,814.00,...,...,161.00,10.00,2214.0
ABR-2018,1532.0,3692.0,320.00,955.0,...,650.00,...,...,59.00,10.00,982.0
MAY-2018,857.0,1501.0,292.00,398.0,...,615.00,...,...,...,6.00,222.0
JUN-2018,932.0,1936.0,179.00,436.0,...,552.00,...,...,...,...,229.0
JUL-2018,1074.0,2453.0,33.00,645.0,...,174.00,...,...,...,32.00,358.0
AGO-2018,1520.0,4040.0,348.00,1345.0,...,98.00,16.00,...,...,30.00,1075.0
SEP-2018,1788.0,7513.0,59.00,1800.0,20.00,6.00,...,...,...,13.00,1469.0
OCT-2018,1836.0,11533.0,299.00,1711.0,3.00,20.00,...,...,...,64.00,2981.0
NOV-2018,2200.0,13300.0,226.00,1633.0,...,58.00,...,...,37.00,126.00,4722.0
DIC-2018,2481.0,11102.0,185.00,1343.0,...,332.00,...,...,19.00,116.00,3181.0
ENE-2019,3043.0,9889.0,357.00,2415.0,...,398.00,...,...,51.00,5.00,2761.0
FEB-2019,2208.0,9970.0,469.00,2764.0,...,527.00,...,16.00,44.00,39.00,3415.0
MAR-2019,1726.0,8931.0,189.00,2331.0,...,369.00,...,55.00,...,57.00,1901.0
ABR-2019,1104.0,4992.0,49.00,1536.0,...,335.00,...,...,39.00,49.00,602.0
MAY-2019,1398.0,1725.0,52.00,344.0,...,806.00,...,...,...,65.00,237.0
JUN-2019,1295.0,2597.0,166.00,507.0,...,788.00,...,...,...,...,459.0
JUL-2019,1927.0,3629.0,791.00,997.0,...,272.00,...,...,12.00,124.00,1518.0
AGO-2019,2322.0,4715.0,175.00,1007.0,...,79.00,...,52.00,...,43.00,2408.0
SEP-2019,2689.0,8448.0,153.00,945.0,...,108.00,...,...,9.00,96.00,3790.0
OCT-2019,3238.0,9267.0,90.00,1619.0,35.00,36.00,22.00,22.00,49.00,141.00,4770.0
NOV-2019,3226.0,5674.0,15.00,1688.0,45.00,71.00,...,...,51.00,116.00,4891.0
DIC-2019,3160.0,9580.0,109.00,634.0,...,385.00,...,...,23.00,228.00,4302.0
ENE-2020,3069.0,10688.0,966.00,1574.0,58.00,675.00,...,14.00,26.00,171.00,3939.0
FEB-2020,3340.0,9221.0,470.00,1751.0,21.00,992.00,...,...,26.00,23.00,3008.0
MAR-2020,2838.0,9475.0,256.00,1356.0,28.00,912.00,...,...,25.00,15.00,2881.0
ABR-2020,1553.0,7332.0,398.00,1243.0,...,678.00,...,...,9.00,...,1843.0
MAY-2020,689.0,4713.0,206.00,510.0,49.00,253.00,...,...,...,...,658.0
JUN-2020,888.0,5245.0,231.00,667.00,...,215.00,...,,...,26.00,628.0
JUL-2020,1052.0,5661.0,269.00,635.00,...,142.00,...,,...,129.00,797.0
AGO-2020,1127.0,6310.0,229.00,364.00,...,...,...,,...,67.00,971.0
SEP-2020,1697.0,8208.0,102.00,539.00,...,...,...,,...,120.00,1197.0
OCT-2020,2508.0,10830.0,608.00,532.00,...,102.00,36.00,,...,117.00,1242.0
NOV-2020,2248.0,9171.0,99.00,461.00,...,29.00,...,,...,148.00,1628.0
DIC-2020,2401.0,10430.0,391.00,522.00,...,168.00,...,,...,391.00,1389.0
ENE-2021,2934.0,14154.0,656.00,579.00,23.00,348.00,...,,40.00,432.00,1264.0
FEB-2021,1653.0,12059.0,540.00,762.00,43.00,213.00,...,,20.00,64.00,2266.0
MAR-2021,2719.0,14423.0,312.00,823.00,...,331.00,...,,...,79.00,1860.0
