Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,122.0,7110.0,133.0,974.0,...,...,48.00,27.00,8.00,55.00,363.0
FEB-2015,94.0,10785.0,37.0,2028.0,...,...,24.00,29.00,...,39.00,35.0
MAR-2015,137.0,12486.0,248.0,2305.0,...,10.00,...,72.00,10.00,49.00,642.0
ABR-2015,36.0,12861.0,393.0,2530.0,...,39.00,20.00,266.00,...,126.00,504.0
MAY-2015,36.0,15674.0,583.0,1439.0,...,31.00,21.00,270.00,5.00,256.00,977.0
JUN-2015,140.0,14402.0,564.0,1224.0,...,15.00,...,138.00,...,114.00,1000.0
JUL-2015,110.0,13634.0,509.0,178.0,...,7.00,14.00,133.00,...,28.00,474.0
AGO-2015,49.0,7882.0,228.0,694.0,2.00,...,32.00,...,...,12.00,599.0
SEP-2015,44.0,6347.0,112.0,528.0,...,2.00,...,29.00,3.00,87.00,363.0
OCT-2015,104.0,4962.0,334.0,434.0,...,22.00,...,...,23.00,54.00,376.0
NOV-2015,82.0,5007.0,501.0,622.0,...,7.00,6.00,13.00,...,60.00,412.0
DIC-2015,210.0,5310.0,222.0,776.0,...,19.00,53.00,57.00,45.00,93.00,972.0
ENE-2016,116.0,2241.0,104.0,352.0,...,6.00,13.00,...,23.00,70.00,281.0
FEB-2016,151.0,9512.0,1297.0,1544.0,...,35.00,85.00,389.00,15.00,226.00,2000.0
MAR-2016,166.0,10644.0,1473.0,1140.0,...,73.00,44.00,456.00,16.00,169.00,2771.0
ABR-2016,172.0,7899.0,1540.0,1692.0,...,88.00,134.00,363.00,22.00,250.00,3365.0
MAY-2016,96.0,7961.0,2410.0,1432.0,...,72.00,2.00,371.00,23.00,206.00,3858.0
JUN-2016,120.0,9085.0,1672.0,1401.0,...,132.00,...,172.00,5.00,86.00,3122.0
JUL-2016,230.0,8632.0,824.0,457.0,...,166.00,...,175.00,41.00,70.00,3205.0
AGO-2016,235.0,5650.0,645.0,1365.0,...,161.00,9.00,...,15.00,116.00,2474.0
SEP-2016,89.0,3546.0,499.0,582.0,...,109.00,...,...,64.00,120.00,984.0
OCT-2016,90.0,2714.0,238.0,702.0,...,86.00,41.00,...,39.00,39.00,1579.0
NOV-2016,112.0,3300.0,588.0,569.0,1.00,5.00,29.00,...,72.00,110.00,1888.0
DIC-2016,157.0,4406.0,799.0,881.0,12.00,11.00,11.00,33.00,135.00,84.00,2111.0
ENE-2017,163.0,6152.0,1179.0,1023.0,22.00,19.00,30.00,14.00,66.00,58.00,1720.0
FEB-2017,117.0,7800.0,1514.0,1053.0,...,13.00,32.00,81.00,...,132.00,2212.0
MAR-2017,159.0,8674.0,1544.0,1241.0,12.00,10.00,23.00,51.00,32.00,98.00,2231.0
ABR-2017,107.0,8876.0,1643.0,1293.0,...,37.00,46.00,73.00,21.00,178.00,2851.0
MAY-2017,119.0,7719.0,2043.0,1237.0,...,49.00,17.00,159.00,...,323.00,5866.0
JUN-2017,178.0,9224.0,1695.0,1439.0,...,89.00,22.00,172.00,25.00,132.00,5354.0
JUL-2017,162.0,10967.0,1422.0,421.0,17.00,64.00,4.00,41.00,...,33.00,4017.0
AGO-2017,239.0,6048.0,935.0,1319.0,...,181.00,31.00,2.00,5.00,91.00,3880.0
SEP-2017,369.0,5256.0,559.0,560.0,11.00,148.00,25.00,...,67.00,161.00,3039.0
OCT-2017,276.0,4569.0,505.0,737.0,...,90.00,19.00,...,125.00,90.00,2567.0
NOV-2017,167.0,4678.0,445.0,959.0,...,36.00,93.00,...,162.00,49.00,2432.0
DIC-2017,420.0,5363.0,345.0,1341.0,8.00,114.00,47.00,...,122.00,16.00,2409.0
ENE-2018,394.0,6523.0,434.0,1215.0,...,13.00,11.00,...,79.00,12.00,1576.0
FEB-2018,294.0,8750.0,967.0,1131.0,...,19.00,...,2.00,90.00,310.00,1603.0
MAR-2018,311.0,10616.0,1096.0,1388.0,35.00,16.00,34.00,125.00,7.00,471.00,2635.0
ABR-2018,142.0,11510.0,1945.0,1088.0,1.00,30.00,27.00,96.00,34.00,688.00,2470.0
MAY-2018,333.0,14115.0,1854.0,1479.0,...,191.00,15.00,166.00,15.00,370.00,3694.0
JUN-2018,167.0,12760.0,1766.0,1227.0,...,69.00,2.00,66.00,2.00,259.00,3531.0
JUL-2018,262.0,11079.0,742.0,1498.0,...,60.00,15.00,...,31.00,207.00,2362.0
AGO-2018,266.0,6936.0,511.0,985.0,...,53.00,6.00,...,...,...,2091.0
SEP-2018,231.0,3744.0,40.0,533.0,...,1.00,11.00,...,87.00,...,636.0
OCT-2018,111.0,3442.0,67.0,638.0,...,33.00,...,...,11.00,79.00,778.0
NOV-2018,468.0,4624.0,90.0,834.0,...,45.00,...,...,143.00,45.00,1372.0
DIC-2018,450.0,6650.0,99.0,939.0,...,...,8.00,...,115.00,29.00,1597.0
ENE-2019,1144.0,6063.0,93.0,1712.0,...,27.00,...,12.00,40.00,94.00,1879.0
FEB-2019,316.0,7853.0,459.0,2219.0,...,54.00,24.00,68.00,136.00,283.00,3134.0
MAR-2019,375.0,11260.0,311.0,2833.0,...,172.00,...,59.00,10.00,332.00,2051.0
ABR-2019,342.0,12446.0,549.0,2672.0,...,115.00,...,33.00,15.00,486.00,2572.0
MAY-2019,271.0,12758.0,2001.0,997.0,...,35.00,17.00,65.00,129.00,560.00,5410.0
JUN-2019,425.0,13301.0,2017.0,790.0,...,122.00,5.00,221.00,...,452.00,3809.0
JUL-2019,586.0,10284.0,1058.0,1226.0,...,124.00,5.00,...,46.00,306.00,2837.0
AGO-2019,480.0,9026.0,104.0,714.0,...,123.00,...,...,...,35.00,2495.0
SEP-2019,763.0,4190.0,92.0,227.0,...,100.00,13.00,...,90.00,17.00,936.0
OCT-2019,431.0,5954.0,131.0,677.0,16.00,60.00,39.00,1.00,226.00,73.00,1924.0
NOV-2019,468.0,5529.0,131.0,673.0,...,...,43.00,24.00,278.00,185.00,2741.0
DIC-2019,414.0,7395.0,121.0,470.0,...,51.00,22.00,...,204.00,186.00,2549.0
ENE-2020,873.0,9939.0,371.0,981.0,...,98.00,...,...,158.00,142.00,2501.0
FEB-2020,775.0,11330.0,362.0,1269.0,19.00,60.00,2.00,...,94.00,350.00,2926.0
MAR-2020,852.0,12393.0,391.0,490.0,...,...,31.00,...,31.00,341.00,3475.0
ABR-2020,229.0,11270.0,945.0,1110.0,41.00,43.00,...,...,17.00,70.00,3140.0
MAY-2020,342.0,12847.0,966.0,1204.0,...,16.00,...,...,...,88.00,2647.0
JUN-2020,396.0,13126.0,363.0,1252.0,...,47.00,...,,...,134.00,1356.0
JUL-2020,293.0,12794.0,487.0,864.0,...,43.00,...,,20.00,87.00,1913.0
AGO-2020,543.0,9704.0,297.0,446.0,...,...,...,,11.00,...,844.0
SEP-2020,626.0,6312.0,134.0,264.0,...,54.00,...,,...,66.00,771.0
OCT-2020,527.0,5926.0,203.0,436.0,...,43.00,...,,14.00,223.00,896.0
NOV-2020,677.0,6368.0,222.0,347.0,...,12.00,...,,2.00,66.00,1012.0
DIC-2020,563.0,9094.0,444.0,266.0,9.00,...,12.00,,...,248.00,803.0
ENE-2021,1003.0,11683.0,307.0,393.0,...,5.00,...,,57.00,230.00,1125.0
FEB-2021,500.0,11612.0,673.0,646.0,...,...,...,,72.00,207.00,1970.0
MAR-2021,979.0,13022.0,314.0,589.0,...,29.00,...,,12.00,344.00,1557.0
ABR-2021,1122.0,13530.0,296.0,1219.0,...,...,16.00,,16.00,221.00,1619.0
MAY-2021,1513.0,14509.0,331.0,690.0,20.00,28.00,...,,2.00,273.00,1608.0
JUN-2021,920.0,15251.0,294.0,669.0,...,52.00,...,,...,95.00,1491.0
JUL-2021,488.0,12614.0,127.0,635.0,40.00,27.00,...,,1.00,70.00,1617.0
AGO-2021,717.0,9608.0,87.0,520.0,...,14.00,...,,17.00,191.00,1179.0
SEP-2021,1172.0,8256.0,47.0,171.0,...,13.00,...,,3.00,84.00,967.0
OCT-2021,1529.0,7191.0,54.0,272.0,15.00,87.00,...,,31.00,57.00,352.0
NOV-2021,836.0,7565.0,93.0,325.0,...,40.00,2.00,,20.00,57.00,1247.0
DIC-2021,1807.0,9389.0,19.0,640.0,...,...,...,,1.00,94.00,739.0
ENE-2022,710.0,9969.0,19.0,1332.0,...,36.00,...,,36.00,95.00,1085.0
FEB-2022,1259.0,12701.0,988.0,1166.0,7.00,105.00,...,,16.00,130.00,444.0
MAR-2022,1770.0,14016.0,951.0,1419.0,...,792.00,...,,29.00,185.00,1519.0
ABR-2022,1225.0,15146.0,1770.0,1335.0,...,877.00,34.00,,16.00,160.00,1091.0
MAY-2022,2120.0,16225.0,1475.0,637.0,...,1125.00,32.00,,18.00,284.00,1533.0
JUN-2022,2027.0,14259.0,1527.0,779.0,...,1131.00,3.00,,...,752.00,1491.0
JUL-2022,971.0,14030.0,157.0,855.0,...,310.00,...,,15.00,62.00,1143.0
AGO-2022,637.0,10092.0,261.0,536.0,...,489.00,8.00,,79.00,175.00,3142.0
SEP-2022,736.0,8281.0,483.0,335.0,...,315.00,83.00,,20.00,140.00,1742.0
OCT-2022,455.0,6403.0,590.0,401.0,...,400.00,23.00,,94.00,32.00,1045.0
NOV-2022,523.0,7517.0,534.0,418.0,...,202.00,...,,125.00,97.00,2057.0
DIC-2022,1086.0,8974.0,547.0,126.0,...,419.00,...,,147.00,201.00,1840.0
ENE-2023,518.0,10106.0,918.0,46.0,...,454.00,5.00,,41.00,161.00,2016.0
FEB-2023,390.0,9225.0,764.0,179.0,...,349.00,2.00,,42.00,393.00,2623.0
MAR-2023,1083.0,14204.0,1114.0,79.0,...,225.00,...,,...,204.00,3250.0
ABR-2023,550.0,13553.0,993.0,190.0,...,171.00,...,,40.00,253.00,3061.0
MAY-2023,307.0,15411.0,1083.0,109.0,...,107.00,...,,...,91.00,1613.0
JUN-2023,434.0,14660.0,871.0,150.0,...,25.00,...,,...,147.00,3777.0
JUL-2023,301.0,13368.0,677.0,145.0,...,87.00,...,,15.00,55.00,2928.0
AGO-2023,1371.0,12465.0,114.0,71.0,...,4.00,...,,...,11.00,1866.0
SEP-2023,1399.0,12687.0,138.0,101.0,...,52.00,...,,...,...,1382.0
OCT-2023,276.0,11955.0,105.0,71.0,...,8.00,1.00,,10.00,23.00,1377.0
NOV-2023,381.0,13204.0,147.0,24.0,...,19.00,...,,36.00,104.00,1625.0
DIC-2023,303.0,13742.0,152.0,23.0,...,4.00,...,,72.00,55.00,2002.0
ENE-2024,139.0,12538.0,36.0,206.0,...,195.00,10.00,,13.00,167.00,2205.0
FEB-2024,249.0,15731.0,262.0,439.0,...,236.00,1.00,,...,232.00,1798.0
MAR-2024,174.0,17570.0,189.0,456.0,...,375.00,...,,62.00,316.00,2067.0
ABR-2024,112.0,17195.0,50.0,852.0,...,296.00,...,,2.00,339.00,1713.0
MAY-2024,206.0,17874.0,263.0,76.0,22.00,611.00,30.00,,4.00,204.00,1487.0
JUN-2024,113.0,16272.0,185.0,165.0,8.00,332.00,21.00,,22.00,50.00,2091.0
JUL-2024,209.0,14945.0,127.0,227.0,...,589.00,8.00,,...,23.00,1410.0
AGO-2024,130.0,12667.0,67.0,244.0,...,553.00,49.00,,...,119.00,1933.0
SEP-2024,59.0,6973.0,61.0,92.0,4.00,191.00,...,,23.00,56.00,1619.0
OCT-2024,184.0,9045.0,66.0,40.0,25.00,414.00,20.00,,60.00,33.00,1718.0
NOV-2024,115.0,9934.0,84.0,241.0,...,354.00,68.00,,55.00,...,1363.0
DIC-2024,107.0,11920.0,800.0,253.0,...,242.00,...,,29.00,100.00,1517.0
