Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,...,346.00,...,134.00,...,...,...,...,...,16.00,37.00
FEB-2015,...,1498.00,2.00,355.00,...,...,...,...,9.00,...,15.00
MAR-2015,...,1632.00,...,400.00,...,...,...,...,...,...,56.00
ABR-2015,...,639.00,20.00,74.00,...,...,17.00,...,...,18.00,68.00
MAY-2015,...,310.00,14.00,14.00,...,...,...,...,...,...,...
JUN-2015,...,98.00,11.00,12.00,...,...,...,...,...,...,...
JUL-2015,...,145.00,...,8.00,...,...,...,...,...,25.00,...
AGO-2015,...,...,...,...,...,...,...,...,...,...,...
SEP-2015,...,...,...,...,...,...,...,...,...,...,...
OCT-2015,...,...,...,...,...,...,...,...,...,...,...
NOV-2015,...,...,...,...,...,...,...,...,...,...,...
DIC-2015,...,...,...,...,...,...,...,...,...,...,...
ENE-2016,...,...,...,...,...,...,...,...,...,...,...
FEB-2016,...,294.00,13.00,62.00,...,...,...,...,...,...,14.00
MAR-2016,...,913.00,113.00,215.00,...,...,15.00,...,...,15.00,90.00
ABR-2016,...,614.00,88.00,131.00,...,15.00,...,...,...,41.00,189.00
MAY-2016,...,67.00,33.00,19.00,...,...,15.00,...,...,...,136.00
JUN-2016,...,237.00,38.00,118.00,...,...,16.00,...,...,...,58.00
JUL-2016,...,493.00,26.00,77.00,...,...,...,20.00,...,...,20.00
AGO-2016,...,407.00,42.00,71.00,...,...,...,...,10.00,20.00,13.00
SEP-2016,50.00,323.00,53.00,27.00,...,18.00,...,...,15.00,...,67.00
OCT-2016,...,71.00,20.00,38.00,...,9.00,...,...,...,...,40.00
NOV-2016,17.00,58.00,...,13.00,...,...,4.00,...,...,...,...
DIC-2016,...,8.00,...,17.00,...,...,...,...,...,...,...
ENE-2017,...,...,7.00,...,...,...,...,...,...,2.00,...
FEB-2017,...,9.00,...,...,...,...,...,...,...,...,...
MAR-2017,...,8.00,18.00,...,...,...,...,...,...,...,...
ABR-2017,...,121.00,21.00,16.00,...,...,...,...,...,...,...
MAY-2017,...,48.00,53.00,...,...,...,18.00,...,...,...,...
JUN-2017,...,...,...,...,...,...,...,...,...,...,27.00
JUL-2017,...,10.00,...,...,...,...,...,...,...,...,...
AGO-2017,...,...,...,...,...,...,...,...,...,...,...
SEP-2017,...,...,...,...,...,...,...,...,...,...,...
OCT-2017,...,...,...,...,...,...,...,...,...,...,...
NOV-2017,...,...,...,...,...,...,...,...,...,...,...
DIC-2017,...,45.00,...,...,...,...,...,...,...,...,...
ENE-2018,...,372.00,72.00,63.00,...,...,...,...,...,...,56.00
FEB-2018,...,732.00,...,110.00,...,...,...,...,29.00,...,207.00
MAR-2018,...,1227.00,48.00,232.00,...,...,...,...,18.00,137.00,138.00
ABR-2018,...,437.00,34.00,107.00,...,...,...,...,...,...,112.00
MAY-2018,...,214.00,...,26.00,...,...,...,...,...,...,19.00
JUN-2018,...,414.00,97.00,62.00,...,...,...,...,...,...,19.00
JUL-2018,...,575.00,17.00,86.00,...,...,...,...,...,...,109.00
AGO-2018,...,894.00,121.00,250.00,...,21.00,...,...,...,...,139.00
SEP-2018,...,427.00,19.00,143.00,...,...,...,...,...,...,44.00
OCT-2018,...,61.00,...,...,...,...,...,...,...,...,...
NOV-2018,...,20.00,...,...,...,...,...,...,...,...,...
DIC-2018,...,22.00,...,...,...,...,...,...,...,...,...
ENE-2019,...,179.00,...,30.00,...,...,...,...,...,...,33.00
FEB-2019,...,153.00,...,62.00,...,...,...,...,...,27.00,13.00
MAR-2019,15.00,1012.00,...,262.00,...,...,...,...,...,32.00,99.00
ABR-2019,32.00,717.00,...,140.00,...,...,...,...,...,...,16.00
MAY-2019,...,171.00,...,...,...,...,...,...,...,...,155.00
JUN-2019,...,56.00,...,16.00,...,20.00,...,...,...,...,...
JUL-2019,...,237.00,19.00,8.00,...,...,...,...,...,21.00,60.00
AGO-2019,...,106.00,...,12.00,...,...,...,...,...,...,45.00
SEP-2019,...,66.00,...,13.00,...,...,...,...,...,...,...
OCT-2019,...,70.00,...,53.00,...,...,...,...,...,...,...
NOV-2019,...,120.00,...,32.00,...,...,...,...,...,...,69.00
DIC-2019,...,262.00,...,...,...,...,...,...,...,...,28.00
ENE-2020,...,262.00,...,19.00,...,...,...,...,...,...,12.00
FEB-2020,...,214.00,...,33.00,...,...,...,...,...,63.00,6.00
MAR-2020,...,124.00,...,...,...,...,...,...,...,13.00,89.00
ABR-2020,...,...,...,...,...,...,...,...,...,...,...
MAY-2020,...,...,...,...,...,...,...,...,...,...,...
JUN-2020,...,38.00,...,...,...,...,...,,...,...,39.00
JUL-2020,...,305.00,...,...,...,...,...,,...,...,2.00
AGO-2020,...,557.00,...,39.00,...,...,...,,...,...,...
SEP-2020,...,309.00,...,1.00,...,...,...,,...,...,...
OCT-2020,...,139.00,...,...,...,...,...,,...,...,7.00
NOV-2020,...,49.00,...,...,...,...,...,,...,...,...
DIC-2020,...,51.00,...,...,...,...,...,,...,...,...
ENE-2021,...,152.00,20.00,...,...,...,...,,...,...,...
FEB-2021,...,558.00,...,...,...,...,...,,...,...,86.00
MAR-2021,...,1748.00,...,83.00,...,...,...,,...,...,263.00
ABR-2021,...,1919.00,31.00,229.00,...,...,...,,...,129.00,368.00
MAY-2021,...,2264.00,35.00,15.00,...,...,...,,...,108.00,144.00
JUN-2021,...,2910.00,126.00,90.00,...,...,...,,...,28.00,501.00
JUL-2021,...,2253.00,...,48.00,...,...,...,,...,22.00,464.00
AGO-2021,...,549.00,...,24.00,...,...,...,,...,29.00,76.00
SEP-2021,...,60.00,...,...,...,...,...,,...,...,...
OCT-2021,...,40.00,...,...,...,...,...,,...,...,...
NOV-2021,...,44.00,...,...,...,...,...,,...,...,...
DIC-2021,...,56.00,...,...,...,...,...,,...,...,...
ENE-2022,...,203.00,...,15.00,...,...,...,,...,...,17.00
FEB-2022,...,720.00,54.00,...,...,...,...,,...,...,...
MAR-2022,...,92.00,...,...,...,...,...,,...,...,32.00
ABR-2022,...,68.00,...,...,...,...,...,,...,...,...
MAY-2022,...,78.00,...,...,...,...,...,,...,...,...
JUN-2022,...,12.00,15.00,...,...,...,...,,...,...,...
JUL-2022,...,13.00,...,...,...,...,...,,...,...,...
AGO-2022,...,29.00,12.00,...,...,...,...,,...,...,...
SEP-2022,...,9.00,...,...,...,...,...,,...,18.00,...
OCT-2022,...,68.00,...,31.00,...,...,...,,...,...,...
NOV-2022,...,114.00,...,19.00,...,...,...,,...,...,...
DIC-2022,...,168.00,15.00,10.00,...,...,...,,...,...,...
ENE-2023,...,107.00,...,...,...,...,...,,...,...,...
FEB-2023,...,52.00,...,...,...,...,...,,...,...,10.00
MAR-2023,...,102.00,...,...,...,...,...,,...,52.00,...
ABR-2023,...,110.00,...,...,...,...,...,,...,...,...
MAY-2023,...,262.00,...,15.00,...,...,...,,...,...,...
JUN-2023,...,182.00,29.00,...,...,...,...,,...,...,38.00
JUL-2023,...,109.00,45.00,22.00,...,...,...,,...,...,...
AGO-2023,...,58.00,37.00,...,...,...,...,,...,...,10.00
SEP-2023,...,38.00,...,...,...,...,...,,...,...,...
OCT-2023,...,18.00,...,...,...,...,...,,...,...,...
NOV-2023,...,48.00,...,...,...,...,...,,...,...,...
DIC-2023,...,102.00,...,...,...,...,...,,...,...,...
ENE-2024,...,52.00,...,...,...,...,...,,...,...,...
FEB-2024,...,20.00,...,...,...,...,...,,...,12.00,...
MAR-2024,...,93.00,...,...,...,...,...,,...,...,...
ABR-2024,...,321.00,...,...,...,...,...,,...,...,...
MAY-2024,...,34.00,...,...,...,...,...,,...,...,...
JUN-2024,...,17.00,...,...,...,...,...,,...,...,...
JUL-2024,...,...,...,...,...,...,...,,...,...,...
AGO-2024,...,26.00,...,...,...,...,...,,...,...,45.00
SEP-2024,...,10.00,...,...,...,...,...,,...,...,...
OCT-2024,...,10.00,...,2.00,...,...,...,,...,...,...
NOV-2024,...,...,...,...,...,...,...,,...,...,...
DIC-2024,...,...,...,...,...,...,...,,...,...,...
