Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,80.00,1627.0,88.00,400.0,...,...,4.00,...,...,...,41.00
FEB-2015,73.00,2630.0,27.00,565.0,...,17.00,...,...,...,...,11.00
MAR-2015,117.00,2885.0,13.00,789.0,...,65.00,21.00,...,...,...,149.00
ABR-2015,91.00,2442.0,24.00,493.0,...,100.00,19.00,...,...,...,63.00
MAY-2015,81.00,2135.0,11.00,634.0,...,128.00,...,...,...,...,54.00
JUN-2015,64.00,1892.0,23.00,507.0,...,153.00,...,8.00,16.00,...,27.00
JUL-2015,105.00,2225.0,21.00,178.0,...,104.00,...,...,...,...,45.00
AGO-2015,70.00,1736.0,15.00,262.0,...,83.00,...,...,...,...,21.00
SEP-2015,40.00,859.0,...,136.0,...,50.00,...,...,...,...,...
OCT-2015,34.00,277.0,...,48.0,...,6.00,...,...,...,...,...
NOV-2015,8.00,161.0,...,40.0,...,9.00,...,...,...,...,12.00
DIC-2015,91.00,625.0,29.00,228.0,...,292.00,11.00,...,...,8.00,15.00
ENE-2016,5.00,450.0,37.00,91.0,...,7.00,...,8.00,...,...,38.00
FEB-2016,334.00,1783.0,234.00,354.0,...,68.00,44.00,7.00,12.00,...,332.00
MAR-2016,329.00,2479.0,260.00,520.0,...,138.00,10.00,...,...,...,365.00
ABR-2016,92.00,1310.0,236.00,459.0,10.00,303.00,21.00,...,3.00,...,328.00
MAY-2016,20.00,1126.0,224.00,470.0,...,462.00,4.00,...,38.00,...,321.00
JUN-2016,142.00,1362.0,204.00,511.0,...,272.00,6.00,...,...,...,155.00
JUL-2016,216.00,1453.0,109.00,332.0,...,142.00,9.00,...,11.00,...,320.00
AGO-2016,99.00,772.0,86.00,410.0,...,134.00,7.00,...,9.00,...,161.00
SEP-2016,146.00,304.0,100.00,71.0,...,118.00,...,...,14.00,...,70.00
OCT-2016,49.00,246.0,14.00,40.0,...,43.00,...,...,...,...,26.00
NOV-2016,82.00,138.0,59.00,56.0,...,10.00,...,...,...,...,50.00
DIC-2016,265.00,1038.0,347.00,215.0,...,296.00,5.00,...,...,...,144.00
ENE-2017,183.00,1681.0,373.00,323.0,...,31.00,...,...,...,52.00,305.00
FEB-2017,106.00,1506.0,268.00,225.0,20.00,18.00,...,...,...,16.00,258.00
MAR-2017,198.00,1931.0,162.00,472.0,...,71.00,19.00,...,...,...,275.00
ABR-2017,222.00,1656.0,330.00,585.0,...,227.00,...,9.00,...,...,304.00
MAY-2017,94.00,1049.0,139.00,561.0,...,336.00,64.00,...,11.00,...,632.00
JUN-2017,71.00,1310.0,52.00,419.0,...,181.00,20.00,...,...,...,388.00
JUL-2017,171.00,1275.0,92.00,289.0,...,171.00,29.00,...,...,...,164.00
AGO-2017,184.00,1142.0,129.00,392.0,...,214.00,57.00,...,...,...,385.00
SEP-2017,80.00,749.0,54.00,275.0,...,114.00,4.00,...,35.00,...,226.00
OCT-2017,13.00,384.0,89.00,83.0,...,43.00,...,...,...,...,150.00
NOV-2017,56.00,286.0,45.00,114.0,...,43.00,...,...,8.00,...,180.00
DIC-2017,262.00,794.0,127.00,406.0,8.00,160.00,9.00,...,...,...,245.00
ENE-2018,198.00,1212.0,37.00,210.0,...,54.00,...,...,...,...,113.00
FEB-2018,118.00,1170.0,136.00,176.0,...,19.00,...,...,...,...,147.00
MAR-2018,337.00,1252.0,138.00,336.0,...,124.00,11.00,...,...,...,229.00
ABR-2018,137.00,1504.0,139.00,374.0,...,138.00,10.00,...,...,...,246.00
MAY-2018,104.00,1310.0,154.00,451.0,...,269.00,...,...,10.00,...,238.00
JUN-2018,125.00,1147.0,87.00,433.0,...,295.00,20.00,...,10.00,...,180.00
JUL-2018,165.00,1112.0,...,508.0,...,147.00,30.00,...,18.00,...,129.00
AGO-2018,84.00,1082.0,52.00,383.0,...,114.00,...,...,...,...,122.00
SEP-2018,...,597.0,...,285.0,...,41.00,...,...,...,...,42.00
OCT-2018,17.00,241.0,...,20.0,...,21.00,...,...,...,4.00,43.00
NOV-2018,39.00,329.0,8.00,82.0,...,22.00,...,...,...,...,55.00
DIC-2018,244.00,1060.0,...,112.0,...,101.00,...,...,...,...,174.00
ENE-2019,65.00,774.0,34.00,258.0,...,4.00,...,3.00,...,...,203.00
FEB-2019,140.00,1053.0,40.00,136.0,...,18.00,...,...,...,...,220.00
MAR-2019,105.00,1893.0,13.00,385.0,...,33.00,...,...,...,...,276.00
ABR-2019,165.00,1546.0,...,458.0,...,219.00,...,...,34.00,10.00,209.00
MAY-2019,107.00,930.0,45.00,364.0,9.00,268.00,...,...,...,8.00,255.00
JUN-2019,128.00,966.0,25.00,389.0,...,313.00,...,...,...,15.00,229.00
JUL-2019,130.00,911.0,88.00,614.0,...,238.00,...,...,17.00,...,294.00
AGO-2019,108.00,903.0,45.00,335.0,11.00,112.00,...,...,24.00,8.00,295.00
SEP-2019,73.00,435.0,...,116.0,...,66.00,...,...,...,...,16.00
OCT-2019,106.00,240.0,38.00,44.0,...,10.00,...,...,...,...,60.00
NOV-2019,68.00,283.0,11.00,66.0,2.00,22.00,...,...,...,...,126.00
DIC-2019,305.00,926.0,...,40.0,...,178.00,...,...,...,12.00,237.00
ENE-2020,270.00,1263.0,31.00,215.0,...,25.00,...,...,...,...,265.00
FEB-2020,185.00,1289.0,38.00,193.0,...,28.00,...,...,...,10.00,270.00
MAR-2020,208.00,1253.0,84.00,238.0,...,23.00,...,...,...,11.00,413.00
ABR-2020,53.00,1691.0,32.00,284.0,...,83.00,...,...,...,...,333.00
MAY-2020,...,1853.0,217.00,213.0,...,18.00,...,...,...,...,367.00
JUN-2020,27.0,1893.0,97.00,340.00,...,10.00,...,,9.00,...,264.00
JUL-2020,60.0,2022.0,67.00,200.00,...,53.00,...,,...,8.00,201.00
AGO-2020,81.0,1917.0,13.00,62.00,...,49.00,...,,...,20.00,197.00
SEP-2020,69.0,994.0,46.00,42.00,...,9.00,...,,...,17.00,102.00
OCT-2020,37.0,672.0,8.00,11.00,...,1.00,...,,...,...,14.00
NOV-2020,56.0,790.0,11.00,59.00,...,...,...,,...,14.00,63.00
DIC-2020,117.0,1428.0,...,38.00,...,...,...,,...,22.00,178.00
ENE-2021,164.0,1387.0,44.00,33.00,...,...,...,,...,24.00,76.00
FEB-2021,42.0,1092.0,30.00,39.00,...,11.00,...,,...,...,104.00
MAR-2021,181.0,1830.0,23.00,173.00,...,11.00,...,,...,...,228.00
ABR-2021,335.0,1833.0,11.00,111.00,...,61.00,20.00,,...,10.00,308.00
